업소명,업종명,서비스대상구분,외국어안내서비스,소재지도로명주소,소재지지번주소,객실수,위도,경도,데이터기준일자
나드리펜션,민박,내국인+외국인,없음,경기도 가평군 북면 화악산로 729-57,경기도 가평군 북면 화악리 702-1,5,37.93196656,127.5545641,2021-06-09
하늘목민박,민박,내국인+외국인,없음,경기도 가평군 상면 수목원로 201,경기도 가평군 상면 행현리 456-3,7,37.7606585,127.3625598,2021-06-09
가평유명산오즈펜션,민박,내국인+외국인,없음,경기도 가평군 설악면 유명산길 61-100,경기도 가평군 설악면 가일리 215-2,5,37.59708232,127.4942453,2021-06-09
청평하늘정원펜션,민박,내국인+외국인,없음,경기도 가평군 청평면 수리재길 343-43,경기도 가평군 청평면 상천리 964-1,3,37.79247235,127.4314435,2021-06-09
산새소리민박,민박,내국인+외국인,없음,경기도 가평군 청평면 오댓골길 25,경기도 가평군 청평면 청평리 42,6,37.72839473,127.4275762,2021-06-09
가평비타민팜체험농장,민박,내국인+외국인,없음,경기도 가평군 북면 제령아랫말길 64,경기도 가평군 북면 제령리 216-8,2,37.88873728,127.5387923,2021-06-09
아주특별한여행,민박,내국인+외국인,없음,경기도 가평군 가평읍 복장포길 3-4,경기도 가평군 가평읍 복장리 106,6,37.73967432,127.5079676,2021-06-09
"안녕, 이화리",민박,내국인+외국인,없음,경기도 가평군 가평읍 염창길 32,경기도 가평군 가평읍 이화리 253-3,6,37.79816045,127.5164703,2021-06-09
대성캠프타운,민박,내국인+외국인,없음,경기도 가평군 청평면 모꼬지로 118,경기도 가평군 청평면 대성리 572-4,7,37.68681036,127.368696,2021-06-09
남이터집,민박,내국인+외국인,없음,경기도 가평군 청평면 남이터길 6,경기도 가평군 청평면 대성리 409-2,5,37.68573119,127.3708982,2021-06-09
명지민박,민박,내국인+외국인,없음,경기도 가평군 북면 가화로 2089-22,경기도 가평군 북면 도대리 240-8,2,37.93577312,127.4885177,2021-06-09
나빌레라,민박,내국인+외국인,없음,경기도 가평군 가평읍 북한강변로 326-53,경기도 가평군 가평읍 금대리 55-48,5,37.75750548,127.5388713,2021-06-09
펜션아로마,민박,내국인+외국인,없음,경기도 가평군 설악면 어비산길 105,경기도 가평군 설악면 가일리 151-1,5,37.5982722,127.5034099,2021-06-09
숲속의산장,민박,내국인+외국인,없음,경기도 가평군 청평면 양진길 77-28,경기도 가평군 청평면 고성리 662,2,37.72185445,127.4860544,2021-06-09
도로시,민박,내국인+외국인,없음,경기도 가평군 북면 조무락골길 17,경기도 가평군 북면 적목리 489-6,6,37.98957667,127.4439015,2021-06-09
산이랑물이랑,민박,내국인+외국인,없음,경기도 가평군 가평읍 태봉두밀로 228,경기도 가평군 가평읍 하색리 771,6,37.81412022,127.4702563,2021-06-09
유명산주말농원,민박,내국인+외국인,없음,경기도 가평군 설악면 평촌길 44-539,경기도 가평군 설악면 방일리 360-2,3,37.61876873,127.4928612,2021-06-09
파인빌펜션,민박,내국인+외국인,없음,경기도 가평군 가평읍 당목가일길 645,경기도 가평군 가평읍 개곡리 147,6,37.87819034,127.5783127,2021-06-09
청류민박,민박,내국인+외국인,없음,경기도 가평군 북면 화악산로356번길 35-39,경기도 가평군 북면 소법리 24,1,37.91584606,127.5648596,2021-06-09
산속의별장,민박,내국인+외국인,없음,경기도 가평군 가평읍 용추로 508-39,경기도 가평군 가평읍 승안리 632,2,37.86071845,127.4712266,2021-06-09
예해든,민박,내국인+외국인,없음,경기도 가평군 조종면 와곡길 3-43,경기도 가평군 조종면 운악리 482,3,37.86601351,127.3478573,2021-06-09
하늘로열린창,민박,내국인+외국인,없음,경기도 가평군 가평읍 당목가일길 691-11,경기도 가평군 가평읍 개곡리 127-1,1,37.87901573,127.5838513,2021-06-09
안나하우스벨리,민박,내국인+외국인,없음,경기도 가평군 가평읍 당목가일길 724,경기도 가평군 가평읍 개곡리 101-2,1,37.87831983,127.5864773,2021-06-09
여행스케치,민박,내국인+외국인,없음,경기도 가평군 조종면 운악청계로 864,경기도 가평군 조종면 운악리  221-7,7,37.88617491,127.354298,2021-06-09
얼음골,민박,내국인+외국인,없음,경기도 가평군 가평읍 태봉두밀로406번길 185-7,경기도 가평군 가평읍 두밀리 363-1,1,37.82607119,127.4440823,2021-06-09
해피패밀리,민박,내국인+외국인,없음,경기도 가평군 가평읍 태봉두밀로406번길 153-6,경기도 가평군 가평읍 두밀리 124,1,37.82493649,127.4461512,2021-06-09
호수의아침,민박,내국인+외국인,없음,경기도 가평군 청평면 양진길 72,경기도 가평군 청평면 고성리 687-2,2,37.71931273,127.4864293,2021-06-09
풀향기머무는집,민박,내국인+외국인,없음,경기도 가평군 조종면 연인산로474번길 67,경기도 가평군 조종면 마일리 299-2,6,37.84639545,127.3823826,2021-06-09
모짜르트,민박,내국인+외국인,없음,경기도 가평군 가평읍 태봉두밀로 522-144,경기도 가평군 가평읍 두밀리 351,5,37.81798467,127.4406003,2021-06-09
하늘그리기,민박,내국인+외국인,없음,경기도 가평군 가평읍 용추로 587-28,경기도 가평군 가평읍 승안리 615,7,37.85941875,127.4645767,2021-06-09
개똥이네집,민박,내국인+외국인,없음,경기도 가평군 가평읍 각담말길 150-52,경기도 가평군 가평읍 마장리 183,1,37.87154547,127.517021,2021-06-09
종점민박,민박,내국인+외국인,없음,경기도 가평군 북면 가화로 3042,경기도 가평군 북면 적목리 517-1,1,37.9866714,127.4377087,2021-06-09
강변민박,민박,내국인+외국인,없음,경기도 가평군 가평읍 북한강변로 1057,경기도 가평군 가평읍 달전리 115-1,6,37.8068297,127.5247878,2021-06-09
콘도민박,민박,내국인+외국인,없음,경기도 가평군 가평읍 북한강변로 1044-7,경기도 가평군 가평읍 달전리 112-1,5,37.80589217,127.5255032,2021-06-09
블루스카이,민박,내국인+외국인,없음,경기도 가평군 가평읍 북한강변로 326-187,경기도 가평군 가평읍 금대리  55-19,4,37.75827986,127.5411195,2021-06-09
산마을펜션,민박,내국인+외국인,없음,경기도 가평군 설악면 유명산길 73,경기도 가평군 설악면 가일리  252-2,6,37.59543266,127.4911529,2021-06-09
농원민박,민박,내국인+외국인,없음,경기도 가평군 설악면 봉미산안길13번길 89,경기도 가평군 설악면 설곡리 312,1,37.62482258,127.528433,2021-06-09
해피하우스,민박,내국인+외국인,없음,경기도 가평군 설악면 미사리로 267-21,경기도 가평군 설악면 송산리 554-5,3,37.68683657,127.5207329,2021-06-09
동림캠프,민박,내국인+외국인,없음,경기도 가평군 청평면 모꼬지로 22-9,경기도 가평군 청평면 대성리 589,6,37.68129303,127.3759639,2021-06-09
하늘정원,민박,내국인+외국인,없음,경기도 가평군 청평면 남이터길 23,경기도 가평군 청평면 대성리 420-2,7,37.68716405,127.3706575,2021-06-09
나무터캠프,민박,내국인+외국인,없음,경기도 가평군 청평면 모꼬지로 114,경기도 가평군 청평면 대성리 572-12,2,37.68650453,127.3692523,2021-06-09
선녀와나무터,민박,내국인+외국인,없음,경기도 가평군 청평면 모꼬지로 112,경기도 가평군 청평면 대성리 414,4,37.68614388,127.3691508,2021-06-09
원두막캠프,민박,내국인+외국인,없음,경기도 가평군 청평면 모꼬지로 96,경기도 가평군 청평면 대성리 412-1,7,37.68564872,127.3696734,2021-06-09
늘푸른캠프,민박,내국인+외국인,없음,경기도 가평군 청평면 모꼬지로 145,경기도 가평군 청평면 대성리 570-2,7,37.68919724,127.367206,2021-06-09
언덕위에하얀집,민박,내국인+외국인,없음,경기도 가평군 청평면 남가로 1871,경기도 가평군 청평면 대성리 518-10,6,37.69438274,127.3618088,2021-06-09
강언덕,민박,내국인+외국인,없음,경기도 가평군 가평읍 북한강변로 527,경기도 가평군 가평읍 금대리 306,5,37.77330698,127.5348599,2021-06-09
채록지펜션,민박,내국인+외국인,없음,경기도 가평군 상면  수목원로 415(A동),경기도 가평군 상면  행현리 622-6(A동),7,37.74487468,127.3537582,2021-06-09
펜션로망,민박,내국인+외국인,없음,경기도 가평군 상면 수목원로 410,경기도 가평군 상면 행현리 659-2,6,37.74646015,127.3530627,2021-06-09
옐로우스톤,민박,내국인+외국인,없음,경기도 가평군 상면 수목원로 354-16,경기도 가평군 상면 행현리 677-1,4,37.75004156,127.3555983,2021-06-09
두메산골,민박,내국인+외국인,없음,경기도 가평군 상면 수목원로 417-32,경기도 가평군 상면 행현리 614-1,7,37.74387436,127.353885,2021-06-09
명성민박,민박,내국인+외국인,없음,경기도 가평군 조종면 와곡길 15,경기도 가평군 조종면 운악리 462-17,4,37.86589051,127.3503474,2021-06-09
꽃무리,민박,내국인+외국인,없음,경기도 가평군 상면 축령로 256-11,경기도 가평군 상면 행현리 901,3,37.77461037,127.3473975,2021-06-09
계곡여행,민박,내국인+외국인,없음,경기도 가평군 가평읍 용추로 508-10,경기도 가평군 가평읍 승안리 628,7,37.85998844,127.4714656,2021-06-09
옥펜션,민박,내국인+외국인,없음,경기도 가평군 북면 가화로 1448-24,경기도 가평군 북면 제령리 628-3,3,37.89861258,127.5095771,2021-06-09
산새소리,민박,내국인+외국인,없음,경기도 가평군 북면 가화로 2159-9,경기도 가평군 북면 도대리 268,5,37.93956739,127.4866279,2021-06-09
강마을민박,민박,내국인+외국인,없음,경기도 가평군 청평면 강변로 89,경기도 가평군 청평면 청평리 92-27,4,37.73242916,127.4220454,2021-06-09
빨간우체통,민박,내국인+외국인,없음,경기도 가평군 청평면 강변로 101-1,경기도 가평군 청평면 청평리 134-19,4,37.73219568,127.4233621,2021-06-09
친구야 MT가자,민박,내국인+외국인,없음,경기도 가평군 청평면 안대성길 33,경기도 가평군 청평면 대성리 357-3,1,37.69657415,127.3792961,2021-06-09
대덕펜션,민박,내국인+외국인,없음,경기도 가평군 청평면 고재길 248,경기도 가평군 청평면 고성리 105,6,37.7041524,127.5126151,2021-06-09
흐르는강물처럼,민박,내국인+외국인,없음,경기도 가평군 가평읍 호반로 1540,경기도 가평군 가평읍 복장리 391-1,5,37.73555533,127.5066053,2021-06-09
가평애견카페 리버뷰펜션,민박,내국인+외국인,없음,경기도 가평군 가평읍 북한강변로 274-24,경기도 가평군 가평읍 금대리 84-1,7,37.75243193,127.5359399,2021-06-09
리스캐빈,민박,내국인+외국인,없음,경기도 가평군 설악면 유명산길 61-19,경기도 가평군 설악면 가일리 261-10,6,37.59691995,127.491991,2021-06-09
유명산둥지,민박,내국인+외국인,없음,경기도 가평군 설악면 유명산길 20,경기도 가평군 설악면 가일리 290-49,6,37.6000657,127.4925798,2021-06-09
코지Ⅰ,민박,내국인+외국인,없음,경기도 가평군 설악면 유명산길 38,경기도 가평군 설악면 가일리 278-2,7,37.59870461,127.4917529,2021-06-09
