연번,시설명,시설유형,입소정원수,주소,전화번호
1,희망의마을양로원,노인주거복지시설,61,경기도 고양시 덕양구 내유길 30 (내유동),031-962-8338
2,예승실버타운,노인주거복지시설,69,"경기도 고양시 덕양구 중앙로 628, 9층 (화정동, 예일프라자)",031-979-9919
3,효누림실버타운,노인주거복지시설,99,경기도 고양시 일산동구 고양대로 866-29 (중산동),031-975-7371
4,베아투스 카운티 실버타운,노인주거복지시설,29,경기도 고양시 일산동구 고봉로770번길 112-11 (설문동),031-977-1003
5,은혜실버타운,노인주거복지시설,29,"경기도 고양시 덕양구 고양대로 1387, 6층 (성사동, 성원코아)",031-968-9001
6,늘푸른실버타운,노인주거복지시설,80,경기도 고양시 일산동구 성현로 185-33 (성석동),031-977-0421
7,기쁨이가득한집,노인주거복지시설,5,경기도 고양시 덕양구 원당로319번길 73 (원당동),031-963-2871
8,효마루실버홈,노인주거복지시설,9,경기도 고양시 덕양구 고골길84번길 11 (관산동),031-964-4325
9,바오로성모의집,노인주거복지시설,9,경기도 고양시 덕양구 중고개길 98 (지축동),02-381-7510
10,푸른숲,노인의료복지시설,9,"경기도 고양시 일산동구 중산로 234 (중산동,승산빌딩 3층)",031-975-6687
11,신성노인요양센터,노인의료복지시설,28,경기도 고양시 일산동구 노첨길 74 (장항동),070-8848-9335
12,일산시티요양원,노인의료복지시설,77,"경기도 고양시 일산서구 원일로 69, 4층 (일산동, 씨티프라자)",031-976-1200
13,일산차요양원2,노인의료복지시설,46,"경기도 고양시 일산동구 탄중로 311-16, 6층, 7층 (중산동, 한진프라자)",031-913-2900
14,미소인요양원,노인의료복지시설,99,경기도 고양시 덕양구 행주산성로 177 (행주외동),031-974-7888
15,엔젤요양원,노인의료복지시설,49,"경기도 고양시 일산동구 중산로 235, 5,6층 (중산동, 아카데미타운)",031-977-1655
16,은빛사랑요양원,노인의료복지시설,9,경기도 고양시 덕양구 독곶이길 45 (주교동),031-965-2701
17,일산성모요양원,노인의료복지시설,18,"경기도 고양시 일산서구 산현로 7 (탄현동, 풍성플라자 802호)",031-911-7890
18,행복누림요양원,노인의료복지시설,99,경기도 고양시 일산동구 고양대로 866-27 (중산동),031-975-3773
19,민들레실버홈,노인의료복지시설,27,"경기도 고양시 덕양구 성신로 6-27, 2층 (화정동, 선우빌딩)",031-971-7373
20,연세노블요양원,노인의료복지시설,49,"경기도 고양시 일산동구 장백로 172, 6,7층 (장항동)",031-904-5220
21,샤론요양원,노인의료복지시설,41,"경기도 고양시 덕양구 중앙로 559, 7층 (행신동, 그랑프리빌딩)",031-978-1788
22,온누리요양원2호,노인의료복지시설,29,"경기도 고양시 일산서구 원일로 69, 306호 (일산동, 씨티프라자)",031-976-2226
23,에이스요양원,노인의료복지시설,84,경기도 고양시 일산동구 성현로138번길 99-7 (성석동),031-977-1238
24,민들레요양원,노인의료복지시설,9,"경기도 고양시 덕양구 중앙로 628, 403,404호 (화정동, 예일프라자)",031-938-7373
25,아름다운인생요양원,노인의료복지시설,88,경기도 고양시 일산동구 고양대로 866-17 (중산동),031-975-3131
26,설문시니어스,노인의료복지시설,9,경기도 고양시 일산동구 고봉로867번길 69 (설문동),031-976-0708
27,중산요양원,노인의료복지시설,49,"경기도 고양시 일산동구 탄중로 326-16, 2~3층 (중산동, 가든프라자)",031-976-7172
28,덕양요양원,노인의료복지시설,29,"경기도 고양시 덕양구 화중로130번길 48, 404호·5층 (화정동, 삼원프라자)",031-968-2501
29,들판요양원,노인의료복지시설,9,경기도 고양시 덕양구 흥도로178번길 163-19 (도내동),031-973-0191
30,행복가득요양원,노인의료복지시설,9,"경기도 고양시 일산동구 고봉로814번길 112-4, 1층 (설문동)",031-975-7003
31,우리요양원,노인의료복지시설,99,경기도 고양시 일산동구 성현로377번길 128-2 (문봉동),031-975-3318
32,복음케어요양원,노인의료복지시설,9,"경기도 고양시 일산서구 고봉로 339, 3층 (일산동, 승민빌딩)",031-975-5690
33,수정실버하우스,노인의료복지시설,9,경기도 고양시 일산서구 법곳길 567-45 (구산동),031-925-2887
34,한나요양원,노인의료복지시설,29,"경기도 고양시 덕양구 도래울로 110, 602호 (도내동, 테마시티)",031-966-6932
35,우리집요양원,노인의료복지시설,24,"경기도 고양시 일산동구 탄중로 326-16, 5층 (중산동, 가든프라자)",031-977-3611
36,신원당요양원,노인의료복지시설,23,경기도 고양시 덕양구 고양대로 1349 (주교동),031-963-0815
37,보금자리요양원,노인의료복지시설,14,"경기도 고양시 일산서구 원일로 69, 3층 5호 (일산동, 시티프라자)",031-975-1252
