종류,명칭,위치,대표자(관할동),조성일,묘지면적(㎡),묘역면적(㎡),총매장가능기수,기매장기수,향후매장가능기수,비고
공설묘지,내유동 공설묘지,경기도 고양시 덕양구 내유동 산82,관산동,1974. 1.17,"15,868","7,920",767,767,-,
공설묘지,성석동 공설묘지,경기도 고양시 일산동구 성석동 973-23,고봉동,1974. 1.17,"10,158","4,656",454,454,-,
공동묘지,내유동 공동묘지,경기도 고양시 덕양구 내유동 산82,관산동,1938. 7. 6,"30,454","9,088",563,563,-,
공동묘지,도내동 공동묘지,경기도 고양시 덕양구 도내동 454-2,흥도동,1938. 7. 6,"19,339","10,750","1,050","1,050",-,
공동묘지,성사동 공동묘지,경기도 고양시 덕양구 성사동 342-8,성사2동,1938. 7. 6,"7,466","2,911",192,192,-,
공동묘지,효자동 공동묘지,경기도 고양시 덕양구 효자동 산27,효자동,1957. 7. 4,"19,438","1,802",119,119,-,국립공원 매장불가
공동묘지,화전동 공동묘지,경기도 고양시 덕양구 화전동 663-9,대덕동,1974. 1.17,"27,312","10,029",534,534,-,
공동묘지,강매동 공동묘지,경기도 고양시 덕양구 강매동193-6,행신2동,1951.11.20,"34,612","7,366",414,414,-,
공동묘지,행주외동 공동묘지,경기도 고양시 덕양구 행주외동 119-3,행주동,1951.11.20,"22,017","1,693",93,93,-,문화재보호구역매장불가
공동묘지,벽제동 공동묘지,경기도 고양시 덕양구 벽제동 산75,고양동,1938. 7. 6,"14,281",842,47,47,-,
공동묘지,식사동 공동묘지,경기도 고양시 일산동구 식사동 158-1,식사동,1938. 7. 6,"27,391","15,147","1,407","1,407",-,
공동묘지,지영동 공동묘지,경기도 고양시  일산동구 지영동 357-3,고봉동,1957. 7. 4,"6,269","1,900",12,12,-,
사설묘지,백란공원,경기도 고양시 덕양구 내유동 산83,(재)백란 공원묘원,1979. 9.26,"172,883","61,111","2,000","1,800",200,
사설묘지,자하연 일산,경기도 고양시 덕양구 지영동 산 44,(재)자하연,1975. 1.28,"143,851","143,851","3,791","2,870",921,
