구분,시설명,소재지,입소정원(명),운영주체,국고보조여부,전화번호
아동양육시설,신애원,경기도 고양시 덕양구 통일로 43-168,50,법인,Y,02-355-4305
공동생활가정,고양좋은이웃,"경기도 고양시 덕양구 화신로 170, 2105동 103호 (행신동, 햇빛마을)",7,법인,Y,031-979-5448
공동생활가정,일산별사랑,"경기도 고양시 일산동구 일산로372번길 58-29, 2층 (정발산동)",7,개인,Y,070-4064-5677
공동생활가정,사랑공동체 사랑의집,"경기도 고양시 일산서구 탄중로101번길 36, 102동 103호 (덕이동)",7,개인,Y,02-362-1119
공동생활가정,햇살고운집,"경기도 고양시 덕양구 보광로222-15, C-301(벽제동, 다연빌라)",7,개인,Y,031-967-8811
공동생활가정,앤하우스 그룹홈,"경기도 고양시 일산동구 산두로261번길 42, 1층 (정발산동)",7,개인,Y,031-919-0031
공동생활가정,모해 그룹홈,"경기도 고양시 일산서구 대화로 142-9, 2층(대화동)",7,개인,Y,031-931-3325
지역아동센터,가나안,"경기도 고양시 덕양구 지도로115번길 35, 201호",48,개인,Y,031-973-3181
지역아동센터,가람,경기도 고양시 덕양구 중앙로 472번길 85-1(행신동),40,개인,Y,031-979-0122
지역아동센터,강선,경기도 고양시 일산서구 중앙로 1376 한양상가304호(주엽동),19,개인,Y,031-914-5130
지역아동센터,그루터기,"고양시 덕양구 토당로42번길 19, 지하 1층 (토당동)",29,개인,Y,070-7137-8275
지역아동센터,글로리아,경기도 고양시 덕양구 호국로 716번길 21-7,40,개인,Y,031-938-7942
지역아동센터,꿈나무,"경기도 고양시 덕양구 통일로 797,3층",36,개인,Y,031-967-3006
지역아동센터,늘푸른교실,"경기도 고양시 일산서구 주엽로 134, 시대프라자 5층",49,법인,Y,070-7834-6186
지역아동센터,다메섹,경기도 고양시 일산동구 산두로 109번길  19(정발산동) 1층,26,법인,Y,031-906-1033
지역아동센터,동녘,"경기도 고양시 덕양구 대양로 285번길 73, 2-4층",40,개인,Y,031-964-9923
지역아동센터,둥지,경기도 고양시 일산서구 대화동 호수로 856번길 73-14 3층(대화동),29,개인,Y,031-925-1690
지역아동센터,맑은샘,"경기도 고양시 일산동구 중앙로 1123, 1층 160호",29,법인,Y,031-903-2760
지역아동센터,밀알,경기도 고양시 일산동구 고양대로1037번길 17 3층(식사동),25,개인,Y,031-968-8066
지역아동센터,반석,경기도 고양시 일산동구 고봉로 658번길 13,29,개인,Y,031-977-4454
지역아동센터,사랑샘,"경기도 고양시 일산동구 하늘마을로 57-5, 4층 ",35,법인,Y,031-975-9166
지역아동센터,삼송,경기도 고양시 덕양구 용현로 33 (행신동),19,법인,Y,031-970-8806
지역아동센터,새꿈터,경기도 고양시 일산서구 가좌4로 12-12 1층(가좌동),24,개인,Y,031-923-9109
지역아동센터,쉴가,"경기도 고양시 덕양구 오금2로 26(신원동, 신원마을 2단지 주민복지관 2층)",25,법인,Y,070-5111-9923
지역아동센터,신성,"경기도 고양시 일산동구 산두로229번길 29, 2층 (정발산동)",19,법인,Y,031-911-0611
지역아동센터,아가페,경기도 고양시 일산서구 성저로42번길 64(대화동),29,개인,Y,070-4307-0692
지역아동센터,아가페21,경기도 고양시 일산동구 일산로 11 (백석동 서안A5단지 분산상가 지하),35,법인,Y,031-904-9336
지역아동센터,어울림,"경기도 고양시 일산동구 경의로 309, 2동 201호(마두동, 백마상가)",29,개인,Y,031-908-9232
지역아동센터,예안,"고양시 덕양구 고양대로1395번길 76, 2층(성사동)",29,개인,Y,031-977-1004
지역아동센터,일산,경기도 고양시 덕양구 행신로 143번길 130 3층,29,법인,Y,031-972-6653
지역아동센터,정발신성,"경기도 고양시 일산동구 백석로 153, 지하 1층",29,개인,Y,031-905-5133
지역아동센터,주향,경기도 고양시 덕양구 호국로 790번길 87 (성사동) 2층,27,개인,Y,031-964-1988
지역아동센터,푸른우리,경기도 고양시 일산서구 고양대로 695번길 10,29,개인,Y,031-975-3987
지역아동센터,푸른학교반디교실,"경기도 고양시 일산동구 대산로 20, 301(정발산동, 메디컬프라자)",29,개인,Y,031-916-8610
지역아동센터,하늘그림,"고양시 일산서구 일산서구 원일로 20 2층, 3층 ",34,개인,Y,031-902-9183
지역아동센터,한빛,경기도 고양시 일산동구 장백로 61 고양시흰돌종합사회복지관 내,29,법인,Y,031-905-3400
지역아동센터,한사랑푸른,경기도 고양시 덕양구 토당로 78번길 7-22 2층,29,법인,Y,031-818-1236
지역아동센터,한울타리,"경기도 고양시 일산서구 원일로 21번길, 19 201호(일산동 일신건영빌딩)",19,개인,Y,031-976-0387
지역아동센터,행복한,경기도 고양시 덕양구 행당로 11번길 11(토당동)삼윤상가5층,19,개인,Y,031-970-5025
다함께돌봄센터,중산,경기도 고양시 일산동구 중산로 73-2 (중산동),40,법인,Y,070-5220-2620
다함께돌봄센터,대화,경기도 고양시 일산서구 대화2로 121 (대화동),40,법인,Y,031-923-0818
