"구  분","조성년도","소재지"," 면적(㎡) "
"주엽초등학교","2003","고양시  일산서구 강선로 29","1240"
"흥도초등학교","2004","고양시 덕양구 도래울1로 83","987"
"일산초등학교","2004","고양시 일산서구 일중로15번길 38","975"
"백마초등학교","2004","고양시 일산동구 일산로 230","978"
"성사초등학교","2005","고양시 덕양구 호국로834번길 89","1072"
"성신초등학교","2005","고양시 덕양구 성신로 104","637"
"장성초등학교","2005","고양시 일산서구 일산로 738","384"
"원당초등학교","2006","고양시 덕양구 마상로107번길 13","959"
"성석초등학교","2006","고양시 일산동구 문봉길 110","727"
"냉천초등학교","2006","고양시 일산동구 산두로 99","1272"
"한뫼초등학교","2006","고양시 일산서구 고양대로 629","1270"
"가좌초등학교","2007","고양시 일산서구 가좌2로 31","1500"
"백석초등학교","2007","고양시 일산동구 강촌로 140","400"
"벽제초등학교","2007","고양시 일산동구 공릉천로 13","1050"
"성저초등학교","2007","고양시 일산서구 성저로 92","1150"
"저동초등학교","2007","고양시 일산동구 대산로11번길 37","950"
"행신초등학교","2007","고양시 덕양구 중앙로 527","570"
"황룡초등학교","2008","고양시 일산서구 탄현로 75","953"
"화중초등학교","2008","고양시 덕양구 화중로 152번길 43","795"
"덕은초등학교","2008","고양시 덕양구 중앙로176번길 18-4","1402"
"장촌초등학교","2008","고양시 일산서구 호수로856번길 43","869"
"일산고등학교","2008","고양시 일산서구 원일로 53","450"
"성사고등학교","2009","고양시 덕양구 호국로 869","1033"
"용정초등학교","2009","고양시 덕양구 은빛로17번길 53","850"
"원당중학교","2010","고양시 덕양구 마상로 1","1677"
"내유초등학교","2011","고양시 덕양구 통일로 1132","420"
"풍산초등학교","2011","고양시 일산동구 숲속마을로 51","410"
"고양제일중학교","2011","고양시 덕양구 통일로 820","530"
"금계초등학교","2012","고양시 일산동구 강촌로 90","500"
"한내초등학교","2012","고양시 일산서구 고양대로255번길 27","300"
"덕이초등학교","2013","고양시 일산서구 덕이로 104","500"
"호곡초등학교","2015","고양시 일산서구 탄현로 109","700"
"강선초등학교","2016","고양시 일산서구 강선로 77","775"
"저동고등학교","2017","고양시 일산동구 무궁화로 165","365"
"중산고등학교","2018","고양시 일산동구 중산로 290","250"
"신일비즈니스고등학교","2019","고양시 일산서구 킨텍스로 452","730"
"행남초등학교","2020","고양시 덕양구 소만로 22","500"
