업소명,소재지(도로명),주된음식,영업시간,휴무안내,좌석안내,주차안내,소재지전화번호,행정동
청해해물,"경기도 광명시 광명로 954, 1층 102호 (광명동)","해물찜, 아귀찜",11:00~22:00,"2, 4주 화요일",40석,,02-2682-4973,광명2동
가장맛있는족발광명사거리역점,"경기도 광명시 오리로985번길 11 (광명동,,  1층 102호,103호)","족발,보쌈",15:00~02:00,"설,추석",66석,,02-2686-2255,광명4동
광명참숮화로구이 > 황금돼지무한리필,"경기도 광명시 오리로949번길 8-1, 1층 (광명동)",갈비,10:00~22:00,"설,추석",48석,,02-2616-5003,광명4동
김명태(광명점),"경기도 광명시 오리로 986 (광명동,,1층)",부대찌개,10:00~22:30,"설,추석",60석,1시간무료,02-2611-3140,광명4동
채상궁(광명점),"경기도 광명시 오리로 1003-1 (광명동,,2층)",샤브샤브,10:00~22:00,"설,추석",120석,2시간무료,02-2687-7770,광명4동
철산명가양마루,"경기도 광명시 안양천로 459, 4층 (철산동)",양대창구이,11:30~22:30,"설,추석",88석,30대,02-2060-0292,철산1동
철산명가,"경기도 광명시 안양천로 459 (철산동,2층)",한정식,11:30~21:30,"설,추석",118석,30대,02-2060-9219,철산1동
명품,"경기도 광명시 시청로 15, 지하층 (철산동, 2호,4호,5호)",자장면,11:00~21:00,"설,추석",100석,,02-2066-0977,철산2동
사조참치,"경기도 광명시 철산로30번길 11 (철산동,광동빌딩 1층전체)",참치회,10:00~24:00,"설,추석",100석,,02-2611-8013,철산3동
본가갈비,경기도 광명시 오리로856번길 14 (철산동),갈비,10:00~23:00,"설,추석",152석,2시간무료,02-2681-3983,철산3동
횟집도화,경기도 광명시 오리로856번길 18 (철산동),"생선회, 탕",11:00~23:00,"설,추석",100석,2시간무료,02-2615-6566,철산3동
마산아구찜,"경기도 광명시 오리로854번길 16-7, 2층 (철산동)",아구찜,10:00~22:00,"설,추석",92석,2시간무료,02-2613-9977,철산3동
취향,"경기도 광명시 철산로 13-12, 지하층 03호 (철산동)","짜장면, 짬뽕",11:30~21:30,"설,추석",60석,,02-2614-8935,철산3동
"호남송사리매운탕,신등촌샤브칼국수",경기도 광명시 철산로 19 (철산동),송사리매운탕,10:30~21:30,"1,3주 일요일",80석,5대,02-2683-2090,철산3동
대가볼테기,"경기도 광명시 오리로856번길 20, 1층 (철산동)",몰테기찜,10:00~23:00,"설,추석",30석,6대,02-2612-7404,철산3동
카리브참치,경기도 광명시 철산로30번길 20 (철산동),참치회,14:00~01:00,연중무휴,52석,5대,02-2687-3325,철산3동
시골보쌈앤감자옹심이,"경기도 광명시 철산로 20, 2층 (철산동)",보쌈,09:40~21:50,매주 일요일,100석,10대,02-2685-7989,철산3동
대감,"경기도 광명시 철산로30번길 9 (철산동,,프라자빌딩 2층 205~208호)",복지리,10:00~22:00,"설,추석",100석,2시간무료,02-2683-2967,철산3동
광명철산역2호 맛찬들왕소금구이,"경기도 광명시 오리로854번길 6 (철산동,1층 101호)",생삼겹살,11:00~01:00,연중무휴,120석,2시간무료,02-2689-2234,철산3동
양천뼈다귀,경기도 광명시 디지털로 19 (철산동),뼈해장국,24시,연중무휴,90석,지하주차장,02-2060-3340,철산3동
명동칼국수,"경기도 광명시 철산로 4, 지하2층 (철산동)",칼국수,11:00~21:00,"설,추석",72석,아울렛 주차장,02-2067-7111,철산3동
한본삼계탕,"경기도 광명시 오리로854번길 16-15, 2층 (철산동)",삼계탕,10:30~22:30,"설,추석",200석,1시간무료,02-2688-9932,철산3동
육대장,"경기도 광명시 철산로 15, 2층 (철산동)",육개장,10:00~22:00,"설,추석",70석,1시간무료,02-2060-6460,철산3동
바다쭈꾸미마을,"경기도 광명시 오리로 843 (철산동,3층)",쭈꾸미볶음,10:30~22:00,매주 일요일,44석,20대,02-2687-8080,철산3동
스시가든엔예스카페,"경기도 광명시 철산로 12 (철산동, 지하1층 1,2호)","생선초밥(무한리필),광어활어회",11:30~22:00,"설,추석",120석,20대,02-2686-5550,철산3동
두끼철산씨지브이점,"경기도 광명시 철산로30번길 14, 2층 201호 (철산동)",즉석떡볶이,11:00~22:00,연중휴무,96석,30대,02-6337-7959,철산3동
월드인삼참치,"경기도 광명시 철산로30번길 22, 1층 (철산동, 101호)",참치회,17:00~02:00,연중무휴,80석,2대,02-2682-7755,철산4동
(주)신화아이푸드청담본갈비광명지점,"경기도 광명시 밤일로 4, 1,2층 (하안동)","소고기, 돼지고기",10:00~22:00,연중무휴,238석,28대,02-899-0787,하안1동
추오정남원추어탕,"경기도 광명시 밤일로 10, 2층 (하안동)",추어탕,10:00~22:00,"설,추석",130석,30대,02-898-2377,하안1동
청평민물매운탕,"경기도 광명시 밤일안로14번길 5, 2층 (하안동)",민물매운탕,11:00~22:00,"설,추석",80석,20대,02-805-4747,하안1동
북촌삼대갈비>은행나무 갈매기,경기도 광명시 하안로287번길 9 (하안동),소갈비살,11:30~22:00,"설,추석",84석,,02-897-0099,하안3동
고향마실,"경기도 광명시 하안로 293-12, 2층 202호 (하안동, 대인빌딩)",비빔밥,11:00~24:00,"설,추석",52석,,02-895-7858,하안3동
임진강민물장어,"경기도 광명시 하안로288번길 4, 신영빌딩 201호 (하안동)",민물장어,11:00~23:00,"1,3 일요일",60석,6대,02-804-9169,하안3동
갠차나유,"경기도 광명시 하안로 293-10, 2층 (하안동, 정산빌딩)",명태족발,11:00~23:00,매주 일요일,70석,1시간무료,02-899-6465,하안3동
한본부대찌개,"경기도 광명시 하안로 298, 202호 (하안동, 현대빌딩)",부대찌게,10:30~22:30,"설,추석",48석,1시간무료,02-897-4255,하안3동
채움갈비,"경기도 광명시 범안로 1061, 2층 (하안동)",돼지갈비,10:30~22:00,매주 월요일,130석,1시간무료,02-897-1118,하안4동
이바돔감자탕소하점>본가왕뼈감자탕,"경기도 광명시 소하로 77 (소하동, 골든프라자 201호~203호)",감자탕,11:00~24:00,"설,추석",160석,2시간무료,02-899-8700,소하1동
맛나감자탕,"경기도 광명시 금하로 458 (소하동, 201호)",감자탕,11:00~22:30,"설,추석",100석,146대,02-899-1001,소하1동
소담촌,"경기도 광명시 오리로 518, 2층 (소하동)",샤브샤브,11:00~22:00,"설,추석",88석,10대,02-899-5985,소하1동
사조참치,"경기도 광명시 오리로 518, 2층 (소하동, 대교빌딩)",참치회,11:00~24:00,연중무휴,100석,10대,02-2060-6355,소하1동
꽃피다한우,"경기도 광명시 소하로109번길 15, 801~804호 (소하동, 소하토피아)",소고기,16:30~23:00,연중무휴,96석,50때,02-876-9800,소하1동
재미나반점,"경기도 광명시 신촌로15번길 23-1, 1층 일부호 (소하동)","자장면,짬봉",10:00~20:00,화요일,40석,,02-897-4402,소하1동
상상초월,"경기도 광명시 영당로 14, 1층 (소하동)",돼지갈비,10:00~24:00,연중무휴,300석,20대,02-898-2500,소하2동
돼지집,"경기도 광명시 기아로 56, 1층 (소하동)",돼지두루치기,08:30~23:00,연중무휴,260석,50대,02-805-9407,소하2동
풍원장광명점,"경기도 광명시 일직로 17, 5층 (일직동)",한정식,11:00~21:00,"설,추석",120석,아울렛 주차장,02-6226-2722,소하2동
서울경복궁,"경기도 광명시 양달로 8, 4층 (일직동)",갈비구이,11:10~22:00,"설,추석",220석,18대,02-898-9293,소하2동
