사업체명,관리번호,지번코드,지번주소
DIY우드피아,3119618062,4.16103E+18,경기도 광주시 오포읍 신현리
신성 전원교회,3116414733,4.16103E+18,경기도 광주시 오포읍 신현리
라운 INT,3116414500,4.16103E+18,경기도 광주시 오포읍 신현리
신세계면업,3105114154,4.16103E+18,경기도 광주시 오포읍 신현리
FOURS,3111119240,4.16103E+18,경기도 광주시 오포읍 신현리
우진데코,3114051909,4.16103E+18,경기도 광주시 오포읍 신현리
태영씨엔비,3109117004,4.16103E+18,경기도 광주시 오포읍 신현리
액스모션스포츠,3119618067,4.16103E+18,경기도 광주시 오포읍 신현리
아일,3100448636,4.16103E+18,경기도 광주시 오포읍 신현리
더 라임,1831501062,4.16103E+18,경기도 광주시 오포읍 신현리
컴우리자원,3116414631,4.16103E+18,경기도 광주시 오포읍 신현리
원테크,3116414517,4.16103E+18,경기도 광주시 오포읍 신현리
빅 스타,3116414627,4.16103E+18,경기도 광주시 오포읍 신현리
영인갤러리,3110128017,4.16103E+18,경기도 광주시 오포읍 신현리
커피짓는사람들,3117127068,4.16103E+18,경기도 광주시 오포읍 신현리
에코밴드,3115414118,4.16103E+18,경기도 광주시 오포읍 신현리
평강호스피스,3116414510,4.16103E+18,경기도 광주시 오포읍 신현리
백컨트리,3116414415,4.16103E+18,경기도 광주시 오포읍 신현리
제이케이디앤씨 주식회사,3116414815,4.16103E+18,경기도 광주시 오포읍 신현리
우리플러스,3119618080,4.16103E+18,경기도 광주시 오포읍 신현리
누리,3111118781,4.16103E+18,경기도 광주시 오포읍 신현리
네모999 스튜디오,3116414824,4.16103E+18,경기도 광주시 오포읍 신현리
원이앤지,3110033249,4.16103E+18,경기도 광주시 오포읍 신현리
이마트24 광주신현점,1831501720,4.16103E+18,경기도 광주시 오포읍 신현리
주식회사 마제스티,3114356342,4.16103E+18,경기도 광주시 오포읍 신현리
(주)순우리한우,1102212559,4.16103E+18,경기도 광주시 오포읍 신현리
불곡산삼성숲유치원,3114529589,4.16103E+18,경기도 광주시 오포읍 신현리
분당자원,3111118913,4.16103E+18,경기도 광주시 오포읍 신현리
장성환,3119618086,4.16103E+18,경기도 광주시 오포읍 신현리
숲속동화어린이집,3115356124,4.16103E+18,경기도 광주시 오포읍 신현리
밥 앤 알렉스,3116414722,4.16103E+18,경기도 광주시 오포읍 신현리
풍경어린이집,3117127170,4.16103E+18,경기도 광주시 오포읍 신현리
브래들리 앤 제이,3119618098,4.16103E+18,경기도 광주시 오포읍 신현리
꽁뜨헤어,3116386177,4.16103E+18,경기도 광주시 오포읍 신현리
신한터공인중개사,3114363100,4.16103E+18,경기도 광주시 오포읍 신현리
분홍나무작업실,31N1553661,4.16103E+18,경기도 광주시 오포읍 신현리
키즈스쿨어린이집,3119618148,4.16103E+18,경기도 광주시 오포읍 신현리
열린공간보습음악학원,3117127297,4.16103E+18,경기도 광주시 오포읍 신현리
오포마루한 보습학원,31N1557190,4.16103E+18,경기도 광주시 오포읍 신현리
베이비키즈스쿨 어린이집,3114354151,4.16103E+18,경기도 광주시 오포읍 신현리
TF스포츠,3111118690,4.16103E+18,경기도 광주시 오포읍 신현리
주식회사 티에프인터내셔널(TF International Corp.),1831501175,4.16103E+18,경기도 광주시 오포읍 신현리
에덴철물,3100447496,4.16103E+18,경기도 광주시 오포읍 신현리
시간여행미술교습소,3115364213,4.16103E+18,경기도 광주시 오포읍 신현리
약속의땅 부동산,3115401210,4.16103E+18,경기도 광주시 오포읍 신현리
약속의땅 부동산,31N1557192,4.16103E+18,경기도 광주시 오포읍 신현리
성운공인중개사,3110127992,4.16103E+18,경기도 광주시 오포읍 신현리
샵(#)미장원,1831501767,4.16103E+18,경기도 광주시 오포읍 신현리
헤어클럽,3113575751,4.16103E+18,경기도 광주시 오포읍 신현리
