종교구분코드,종교시설명,지번주소,경도,위도,데이터기준일자
교회,선일교회,경기도 광주시 오포읍 신현리400-5번지,127.1621628,37.36889202,2019-12-25
교회,유정교회,경기도 광주시 도척면 유정리366번지,127.3215013,37.28872063,2019-12-25
교회,곤지암순복음교회,경기도 광주시 초월읍 산이리7-6번지,127.3155438,37.36189965,2019-12-25
수도원,장심리수양관,경기도 광주시 곤지암읍 장심리산14-2번지,127.389884,37.3907495,2019-12-25
교회,노곡교회,경기도 광주시 도척면 노곡리229번지,127.3317079,37.30178827,2019-12-25
교회,고산교회,경기도 광주시 오포읍 고산리5-53번지,127.2437511,37.37889802,2019-12-25
교회,오향교회,경기도 광주시 곤지암읍 오향리396-1번지,127.3767717,37.36053533,2019-12-25
성당,도척성당,경기도 광주시 도척면 노곡리283-4번지,127.3310657,37.30086567,2019-12-25
교회,신현교회,경기도 광주시 오포읍 신현리676-1번지,127.1561507,37.3607646,2019-12-25
교회,열미전원교회,경기도 광주시 곤지암읍 열미리251-1번지,127.3701318,37.35866948,2019-12-25
교회,태재교회,경기도 광주시 오포읍 신현리809-3번지,127.144292,37.35660626,2019-12-25
교회,화평한교회,경기도 광주시 오포읍 능평리71번지,127.1812664,37.34381202,2019-12-25
교회,오포침례교회,경기도 광주시 오포읍 고산리246번지,127.2311378,37.37125985,2019-12-25
교회,늑현교회,경기도 광주시 초월읍 늑현리32-4번지,127.3184384,37.36803268,2019-12-25
교회,새언약교회,경기도 광주시 오포읍 능평리152-5번지,127.1789749,37.34368589,2019-12-25
교회,서광교회,경기도 광주시 오포읍 능평리166-1번지,127.1775204,37.34506906,2019-12-25
교회,오포효정교회,경기도 광주시 오포읍 고산리425번지,127.225828,37.37390965,2019-12-25
교회,창성교회,경기도 광주시 오포읍 능평리201번지,127.1726576,37.34956095,2019-12-25
교회,번천성결교회,경기도 광주시 남한산성면 상번천리112번지,127.2767367,37.45169669,2019-12-25
절,설봉사,경기도 광주시 오포읍 매산리297-1번지,127.255494,37.35466306,2019-12-25
교회,상림교회,경기도 광주시 도척면 상림리102-1번지,127.3031567,37.31670739,2019-12-25
교회,가나안교회,경기도 광주시 도척면 궁평리285-5번지,127.3220855,37.33837148,2019-12-25
교회,추곡교회,경기도 광주시 도척면 추곡리244-3번지,127.2904543,37.27871026,2019-12-25
절,백련암,경기도 광주시 도척면 추곡리산25-1번지,127.294922,37.290107,2019-12-25
교회,성림교회,경기도 광주시 오포읍 추자리287-5번지,127.2265962,37.36092247,2019-12-25
교회,능평리교회,경기도 광주시 오포읍 능평리458번지,127.1637448,37.35437776,2019-12-25
절,은곡사,경기도 광주시 도척면 유정리569-1번지,127.3058328,37.2951582,2019-12-25
교회,상탑교회,경기도 광주시 오포읍 추자리366번지,127.2154503,37.358215,2019-12-25
절,불국사,경기도 광주시 오포읍 능평리573번지,127.1555455,37.35026842,2019-12-25
기타종교시설,여호와의증인,경기도 광주시 오포읍 문형리748-1번지,127.1983312,37.35325278,2019-12-25
교회,문광교회,경기도 광주시 오포읍 문형리213-1번지,127.2065176,37.34836451,2019-12-25
교회,오포중앙교회,경기도 광주시 오포읍 추자리496-6번지,127.2158204,37.35993321,2019-12-25
교회,새빛전원교회,경기도 광주시 오포읍 능평리583-1번지,127.1522282,37.35053648,2019-12-25
수도원,광림기도원,경기도 광주시 오포읍 추자리525-4번지,127.2088288,37.36408589,2019-12-25
교회,목양교회,경기도 광주시 목현동401번지,127.2098197,37.433193,2019-12-25
절,불이원,경기도 광주시 도척면 방도리40번지,127.3404554,37.27398862,2019-12-25
교회,밀알교회,경기도 광주시 오포읍 매산리49번지,127.2590241,37.35323001,2019-12-25
교회,방주교회,경기도 광주시 도척면 방도리142번지,127.3375868,37.27627551,2019-12-25
절,봉일사,경기도 광주시 도척면 방도리273-3번지,127.3350176,37.28118934,2019-12-25
절,우리절,경기도 광주시 도척면 상림리178번지,127.2902399,37.31212597,2019-12-25
절,약사사,경기도 광주시 오포읍 매산리184-1번지,127.2637847,37.3455619,2019-12-25
절,아도정사,경기도 광주시 도척면 진우리157-5번지,127.3398725,37.3268766,2019-12-25
절,수도사,경기도 광주시 도척면 방도리634번지,127.309736,37.28146876,2019-12-25
교회,광민교회,경기도 광주시 탄벌동207-2번지,127.2423945,37.42188833,2019-12-25
교회,신성교회,경기도 광주시 오포읍 양벌리617-5번지,127.2504058,37.37046116,2019-12-25
절,극락사,경기도 광주시 오포읍 양벌리825-9번지,127.2720533,37.3731149,2019-12-25
교회,양벌리교회,경기도 광주시 오포읍 양벌리689번지,127.2547256,37.36961914,2019-12-25
교회,귀여리교회,경기도 광주시 남종면 귀여리285번지,127.3205372,37.50690489,2019-12-25
교회,열린교회,경기도 광주시 퇴촌면 관음리361-2번지,127.3331528,37.45688001,2019-12-25
교회,진우교회,경기도 광주시 도척면 진우리499-4번지,127.3388683,37.32114998,2019-12-25
교회,만남의교회,경기도 광주시 오포읍 매산리600-11번지,127.2435481,37.3621384,2019-12-25
교회,성광교회,경기도 광주시 오포읍 매산리600-20번지,127.2445247,37.36184396,2019-12-25
교회,경기광주교회,경기도 광주시 오포읍 양벌리73-2번지,127.2544229,37.38987133,2019-12-25
교회,광민교회,경기도 광주시 탄벌동170-1번지,127.2428208,37.41973341,2019-12-25
절,대법사,경기도 광주시 초월읍 지월리711-18번지,127.2839192,37.41429959,2019-12-25
교회,경안성결교회,경기도 광주시 쌍령동75-1번지,127.2702549,37.40696295,2019-12-25
절,지장암,경기도 광주시 쌍령동78-4번지,127.2717664,37.40647276,2019-12-25
교회,검천성결교회,경기도 광주시 남종면 검천리407-1번지,127.3448007,37.53110047,2019-12-25
교회,한누리전원교회,경기도 광주시 초월읍 대쌍령리303-49번지,127.2819702,37.38106607,2019-12-25
교회,은혜교회,경기도 광주시 오포읍 양벌리365-2번지,127.2558799,37.3772848,2019-12-25
교회,생수전원교회,경기도 광주시 초월읍 대쌍령리169-17번지,127.2911554,37.38919966,2019-12-25
교회,소명중앙교회,경기도 광주시 쌍령동104-6번지,127.2695963,37.40568558,2019-12-25
교회,매산교회,경기도 광주시 오포읍 매산리714번지,127.2451178,37.35895012,2019-12-25
성당,초월성당,경기도 광주시 초월읍 대쌍령리143-3번지,127.2923562,37.39276709,2019-12-25
교회,예닮교회,경기도 광주시 초월읍 쌍동리198-4번지,127.3009422,37.37156609,2019-12-25
교회,광주광성교회,경기도 광주시 쌍령동150-1번지,127.2705511,37.40086347,2019-12-25
교회,갈보리교회,경기도 광주시 오포읍 양벌리375-9번지,127.253946,37.37841875,2019-12-25
교회,정금교회,경기도 광주시 회덕동291-6번지,127.2446723,37.42614267,2019-12-25
교회,승현교회,경기도 광주시 남종면 수청리732-2번지,127.3712964,37.50334099,2019-12-25
교회,좋은만남교회,경기도 광주시 오포읍 양벌리613-1번지,127.2483566,37.37106622,2019-12-25
교회,도마리교회,경기도 광주시 퇴촌면 도마리352-5번지,127.2717057,37.46758912,2019-12-25
교회,신월교회,경기도 광주시 초월읍 신월리638-1번지,127.314006,37.39648874,2019-12-25
절,무갑사,경기도 광주시 초월읍 무갑리224-2번지,127.3271517,37.41583441,2019-12-25
절,명성암,경기도 광주시 남종면 귀여리551번지,127.3163994,37.50560079,2019-12-25
교회,남종전원교회,경기도 광주시 남종면 귀여리산75-17번지,127.3133536,37.50561405,2019-12-25
교회,무갑교회,경기도 광주시 초월읍 무갑리137번지,127.3280077,37.4221096,2019-12-25
교회,열미교회,경기도 광주시 곤지암읍 열미리34번지,127.3598235,37.39523589,2019-12-25
절,보광사,경기도 광주시 퇴촌면 관음리528-7번지,127.3297693,37.46078373,2019-12-25
절,서하사,경기도 광주시 초월읍 서하리507번지,127.2973457,37.43453688,2019-12-25
절,연화사,경기도 광주시 퇴촌면 정지리113번지,127.3104501,37.4523304,2019-12-25
교회,도평교회,경기도 광주시 초월읍 도평리67-1번지,127.3017836,37.39904213,2019-12-25
교회,순복음퇴촌교회,경기도 광주시 퇴촌면 광동리247-34번지,127.3071427,37.46965463,2019-12-25
교회,시내산교회,경기도 광주시 초월읍 지월리757-5번지,127.2828362,37.42637464,2019-12-25
교회,명문교회,경기도 광주시 곤지암읍 삼리410-4번지,127.3239289,37.35482813,2019-12-25
교회,삼리교회,경기도 광주시 곤지암읍 삼리346-4번지,127.3194975,37.3547097,2019-12-25
수도원,잠실교회수양관,경기도 광주시 곤지암읍 열미리83-1번지,127.3553164,37.38406326,2019-12-25
교회,주님의교회,경기도 광주시 곤지암읍 삼리120-2번지,127.3292094,37.35608251,2019-12-25
절,곤지정사,경기도 광주시 곤지암읍 신대리196번지,127.3304097,37.36671143,2019-12-25
교회,성진교회,경기도 광주시 초월읍 지월리278-1번지,127.2965445,37.41215807,2019-12-25
성당,퇴촌성당,경기도 광주시 퇴촌면 광동리623-3번지,127.3117303,37.47139558,2019-12-25
수도원,곤지암기도원,경기도 광주시 곤지암읍 열미리40-3번지,127.3674359,37.39921989,2019-12-25
절,각화사,경기도 광주시 남종면 삼성리474-6번지,127.2674777,37.48266841,2019-12-25
교회,삼성교회,경기도 광주시 남종면 삼성리344-5번지,127.2805958,37.48246729,2019-12-25
