지형지물부호,지번주소,X좌표,Y좌표,데이터기준일
지류,경기도 광주시 삼동산119-2번지,37.41471633,127.1889393,2019-12-30
지류,경기도 광주시 오포읍 신현리634-59번지,37.36739818,127.155082,2019-12-30
지류,경기도 광주시 퇴촌면 관음리264-13번지,37.45207025,127.3341135,2019-12-30
지류,경기도 광주시 오포읍 신현리산85번지,37.37927988,127.1776223,2019-12-30
지류,경기도 광주시 퇴촌면 도마리263-2번지,37.46526392,127.2731443,2019-12-30
지류,경기도 광주시 초월읍 서하리163-1번지,37.43238197,127.3074623,2019-12-30
지류,경기도 광주시 오포읍 추자리490-19번지,37.3605508,127.2168516,2019-12-30
지류,경기도 광주시 곤지암읍 수양리367-55번지,37.31894272,127.3686387,2019-12-30
지류,경기도 광주시 곤지암읍 삼리393-13번지,37.35539254,127.3229787,2019-12-30
지류,경기도 광주시 퇴촌면 도수리산1-6번지,37.47876231,127.3523635,2019-12-30
지류,경기도 광주시 초월읍 무갑리515-12번지,37.41682527,127.3207779,2019-12-30
지류,경기도 광주시 도척면 진우리218-2번지,37.3259731,127.3359702,2019-12-30
지류,경기도 광주시 남종면 귀여리323-1번지,37.50648128,127.318984,2019-12-30
지류,경기도 광주시 오포읍 매산리86번지,37.35272578,127.2612028,2019-12-30
지류,경기도 광주시 퇴촌면 도마리250-20번지,37.46559268,127.2709255,2019-12-30
지류,경기도 광주시 도척면 궁평리802번지,37.34550568,127.3086092,2019-12-30
지류,경기도 광주시 곤지암읍 신대리88-4번지,37.35443104,127.3378084,2019-12-30
지류,경기도 광주시 남종면 검천리538번지,37.52995498,127.3430403,2019-12-30
지류,경기도 광주시 곤지암읍 건업리392-4번지,37.38623194,127.4133149,2019-12-30
지류,경기도 광주시 퇴촌면 영동리73-6번지,37.46480059,127.3836955,2019-12-30
지류,경기도 광주시 곤지암읍 삼합리159번지,37.3706669,127.4406344,2019-12-30
지류,경기도 광주시 퇴촌면 관음리77-3번지,37.44630736,127.36269,2019-12-30
지류,경기도 광주시 곤지암읍 만선리14-1번지,37.3650321,127.4120909,2019-12-30
지류,경기도 광주시 역동168-19번지,37.40558094,127.2535915,2019-12-30
지류,경기도 광주시 초월읍 산이리2-11번지,37.36036364,127.3177526,2019-12-30
지류,경기도 광주시 곤지암읍 건업리95번지,37.39816611,127.3996573,2019-12-30
지류,경기도 광주시 오포읍 양벌리602-1번지,37.37186751,127.2458749,2019-12-30
지류,경기도 광주시 남종면 수청리224-6번지,37.50544418,127.3743364,2019-12-30
지류,경기도 광주시 남한산성면 검복리208번지,37.46463857,127.2025995,2019-12-30
지류,경기도 광주시 초월읍 대쌍령리264-8번지,37.38397198,127.2916007,2019-12-30
지류,경기도 광주시 퇴촌면 영동리214-1번지,37.47421919,127.3824086,2019-12-30
지류,경기도 광주시 곤지암읍 봉현리463번지,37.34748015,127.3944732,2019-12-30
지류,경기도 광주시 곤지암읍 삼합리447-2번지,37.37822969,127.4298288,2019-12-30
지류,경기도 광주시 곤지암읍 유사리234번지,37.37501973,127.4219606,2019-12-30
지류,경기도 광주시 초월읍 지월리268번지,37.41081239,127.2971549,2019-12-30
지류,경기도 광주시 오포읍 매산리184-1번지,37.34556017,127.2637898,2019-12-30
