개방시설명,개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자
구리시 멀티스포츠센터,구리시 멀티스포츠센터,기타,매월 첫째주 일요일,06:00,21:00,09:00,17:00,Y,1,"4,000",,,250,2270,매점+스포츠용품숍+카페+볼링숍+자판기+빔프로젝터+노트북1대+샤워실6,인터넷+방문,,경기도 구리시 체육관로 137-25(교문동),경기도 구리시 교문동 153-1,경기도 구리시청,평생학습과,031-550-8900,https://multisc.or.kr,37.59616259,127.1351573,2021-06-21
구리시 멀티스포츠센터,구리시 멀티스포츠센터,기타,매월 첫째주 일요일,06:00,21:00,09:00,17:00,Y,1,"5,000",,,8,350,매점+스포츠용품숍+카페+볼링숍+자판기+빔프로젝터+노트북1대+샤워실6,인터넷+방문,,경기도 구리시 체육관로 137-25(교문동),경기도 구리시 교문동 153-1,경기도 구리시청,평생학습과,031-550-8900,https://multisc.or.kr,37.59616259,127.1351573,2021-06-21
구리시 멀티스포츠센터,구리시 멀티스포츠센터,기타,매월 첫째주 일요일,10:00,23:50,10:00,23:50,Y,1,"2,800",,,80,1474,매점+스포츠용품숍+카페+볼링숍+자판기+빔프로젝터+노트북1대+샤워실6,인터넷+방문,,경기도 구리시 체육관로 137-25(교문동),경기도 구리시 교문동 153-1,경기도 구리시청,평생학습과,031-550-8900,https://multisc.or.kr,37.59616259,127.1351573,2021-06-21
구리시 멀티스포츠센터,구리시 멀티스포츠센터,다목적경기장,매월 첫째주 일요일,06:00,21:00,09:00,18:00,Y,,-,,,0,1103,매점+스포츠용품숍+카페+볼링숍+자판기+빔프로젝터+노트북1대+샤워실6,인터넷+방문,,경기도 구리시 체육관로 137-25(교문동),경기도 구리시 교문동 153-1,경기도 구리시청,평생학습과,031-550-8900,https://multisc.or.kr,37.59616259,127.1351573,2021-06-21
구리시체육관,체육관,다목적경기장,없음,06:00,22:00,06:00,22:00,Y,2,"1,000",2,1000,1018,2449,샤워실2+락카룸2,방문,체육관전경.jpg,경기도 구리시 체육관로 131,경기도 구리시 교문동 3-2,경기도 구리시청,평생학습과,031-550-2591,https://sports.guriuc.or.kr:4433/gurigym/,37.5964277,127.1369185,2021-06-21
구리시배드맨턴장,배드맨턴장,배드맨턴장,매월 둘째주 목요일,06:00,22:30,06:00,21:00,Y,2,"2,000",2,2000,100,938,샤워실2+락카룸1,방문,배드맨턴장_전경.JPG,경기도 구리시 체육관로 113번길 8,경기도 구리시 교문동 148,경기도 구리시청,평생학습과,031-550-3750,https://sports.guriuc.or.kr:4433/gurigym/,37.59647053,127.1368903,2021-06-21
구리왕숙체육공원,왕숙체육공원,축구장,없음,06:00,23:00,06:00,23:00,Y,2,"50,000",2,50000,30,17289,바닥분수+야외운동기구+매점+스포츠용품점,인터넷+방문+전화,구리왕숙체육공원 사진.jpg,경기도 구리시 왕숙천로 701,경기도 구리시 사노동 37-1,경기도 구리시청,평생학습과,031-550-3772,http://guriws.or.kr,37.63557186,127.1471472,2021-06-21
구리왕숙체육공원,왕숙체육공원,테니스장,없음,06:00,22:00,06:00,22:00,Y,2,"11,000",2,11000,68,17289,바닥분수+야외운동기구+매점+스포츠용품점,인터넷+방문+전화,구리왕숙체육공원 사진.jpg,경기도 구리시 왕숙천로 701,경기도 구리시 사노동 37-1,경기도 구리시청,평생학습과,031-550-3772,http://guriws.or.kr,37.63557186,127.1471472,2021-06-21
구리국민체육센터,국민체육센터,배드맨턴장,매월 둘째주 화요일,06:00,22:00,06:00,22:00,Y,2,"2,000",2,2000,200,1500,탈의실2+샤워실2,방문,구리국민체육센터_전경.jpg,경기도 구리시 인창2로 27번길11,경기도 구리시 인창동 622-28,경기도 구리시청,평생학습과,031-550-3765,https://sports.guriuc.or.kr:4433/gurinsc/,37.604772,127.1299544,2021-06-21
구리국민체육센터,국민체육센터,기타,매월 둘째주 화요일,06:00,22:00,06:00,22:00,Y,2,"1,000",2,1000,200,1500,탈의실2+샤워실2,방문,구리국민체육센터_전경.jpg,경기도 구리시 인창2로 27번길11,경기도 구리시 인창동 622-28,경기도 구리시청,평생학습과,031-550-3765,https://sports.guriuc.or.kr:4433/gurinsc/,37.604772,127.1299544,2021-06-21
