연도,월, 대장간마을(내국인) , 대장간마을(외국인) , 대장간마을(무료입장) , 동구릉(내국인) , 동구릉(외국인) , 동구릉(무료입장) ,관리기관명,데이터기준일자
2012,1,1766,807,,3431,260,,경기도 구리시청,2021-04-30
2012,2,1846,550,,3686,269,,경기도 구리시청,2021-04-30
2012,3,3462,876,,9306,619,,경기도 구리시청,2021-04-30
2012,4,4510,1414,,9389,986,,경기도 구리시청,2021-04-30
2012,5,4935,837,,15404,1215,,경기도 구리시청,2021-04-30
2012,6,3715,590,,11384,649,,경기도 구리시청,2021-04-30
2012,7,2323,653,,5984,493,,경기도 구리시청,2021-04-30
2012,8,2379,898,,5276,504,,경기도 구리시청,2021-04-30
2012,9,2694,1452,,7786,1072,,경기도 구리시청,2021-04-30
2012,10,6356,1343,,13623,768,,경기도 구리시청,2021-04-30
2012,11,2586,528,,5171,343,,경기도 구리시청,2021-04-30
2012,12,1025,243,,1830,132,,경기도 구리시청,2021-04-30
2013,1,1249,323,,2164,273,,경기도 구리시청,2021-04-30
2013,2,1300,414,,2228,335,,경기도 구리시청,2021-04-30
2013,3,4564,584,,7167,603,,경기도 구리시청,2021-04-30
2013,4,4842,403,,7761,314,,경기도 구리시청,2021-04-30
2013,5,6080,352,,14788,406,,경기도 구리시청,2021-04-30
2013,6,3655,300,,11070,166,,경기도 구리시청,2021-04-30
2013,7,2256,225,,4728,268,,경기도 구리시청,2021-04-30
2013,8,4202,606,,8283,400,,경기도 구리시청,2021-04-30
2013,9,2850,350,,9199,291,,경기도 구리시청,2021-04-30
2013,10,5197,579,,12476,301,,경기도 구리시청,2021-04-30
2013,11,3146,275,,5564,131,,경기도 구리시청,2021-04-30
2013,12,1699,227,,2128,55,,경기도 구리시청,2021-04-30
2014,1,1907,123,70,2537,82,2982,경기도 구리시청,2021-04-30
2014,2,1858,151,172,2737,98,2461,경기도 구리시청,2021-04-30
2014,3,3947,211,263,6812,112,8105,경기도 구리시청,2021-04-30
2014,4,4006,230,406,9188,139,11716,경기도 구리시청,2021-04-30
2014,5,1820,279,3429,13839,128,19050,경기도 구리시청,2021-04-30
2014,6,2902,220,355,26532,48,18299,경기도 구리시청,2021-04-30
2014,7,1913,146,2077,14516,72,8489,경기도 구리시청,2021-04-30
2014,8,3287,84,3287,17900,71,8911,경기도 구리시청,2021-04-30
2014,9,5694,123,5817,24838,71,15280,경기도 구리시청,2021-04-30
2014,10,5599,197,5796,31168,139,17922,경기도 구리시청,2021-04-30
2014,11,3567,212,3779,14518,87,7475,경기도 구리시청,2021-04-30
2014,12,626,128,754,3971,28,2539,경기도 구리시청,2021-04-30
2015,1,2267,206,2473,4838,41,2240,경기도 구리시청,2021-04-30
2015,2,2092,177,2269,5030,86,2326,경기도 구리시청,2021-04-30
2015,3,3525,126,3651,12834,101,7022,경기도 구리시청,2021-04-30
2015,4,4226,169,4395,19629,113,11207,경기도 구리시청,2021-04-30
2015,5,5578,300,5878,34373,226,20869,경기도 구리시청,2021-04-30
2015,6,1794,87,1881,14983,96,8459,경기도 구리시청,2021-04-30
2015,7,2017,108,2125,15203,15,15218,경기도 구리시청,2021-04-30
2015,8,2978,163,3141,14914,101,9860,경기도 구리시청,2021-04-30
2015,9,4104,161,4265,21848,201,13600,경기도 구리시청,2021-04-30
2015,10,5010,137,5147,48308,110,38357,경기도 구리시청,2021-04-30
2015,11,2626,64,2690,15281,98,9981,경기도 구리시청,2021-04-30
2015,12,2148,147,2295,7422,27,4916,경기도 구리시청,2021-04-30
2016,1,1828,89,1917,4554,63,2174,경기도 구리시청,2021-04-30
2016,2,1386,125,1511,5278,44,2839,경기도 구리시청,2021-04-30
2016,3,2659,74,2733,11754,1,6649,경기도 구리시청,2021-04-30
2016,4,5440,113,5553,19284,124,11590,경기도 구리시청,2021-04-30
2016,5,4208,129,4337,27735,131,20193,경기도 구리시청,2021-04-30
2016,6,2348,106,2454,20190,64,12487,경기도 구리시청,2021-04-30
2016,7,1868,70,1938,10570,95,6098,경기도 구리시청,2021-04-30
2016,8,1316,68,1384,9590,75,5478,경기도 구리시청,2021-04-30
2016,9,3825,158,3983,21353,43,13353,경기도 구리시청,2021-04-30
2016,10,3839,179,4018,25388,147,18558,경기도 구리시청,2021-04-30
2016,11,2939,47,2986,13714,149,7773,경기도 구리시청,2021-04-30
