업종명,업소명,소재지(도로명),소재지전화,관할기관,기준일자
건강기능식품유통전문판매업,HJ케어솔루션,경기도 구리시 갈매순환로126번길 42  1층 (갈매동),,구리시청,2021-05-07
건강기능식품유통전문판매업,뉴트리움(Nutrium),경기도 구리시 안골로 49  용덕빌딩 7층 (교문동),,구리시청,2021-05-07
건강기능식품유통전문판매업,로지오가닉 주식회사,경기도 구리시 담터길51번길 6  2 3층 (갈매동),02  -974 -1133,구리시청,2021-05-07
건강기능식품유통전문판매업,지씨엔티(주),경기도 구리시 건원대로34번길 9 (인창동 세신리빙프라자411 412호), 031- 568-6448,구리시청,2021-05-07
건강기능식품유통전문판매업,(주)프루티컴퍼니,경기도 구리시 장자대로1번길 82-11  지층 (교문동),,구리시청,2021-05-07
건강기능식품유통전문판매업,(주)퍼니엠,경기도 구리시 벌말로 108-17  1층 (토평동),,구리시청,2021-05-07
건강기능식품유통전문판매업,(주)웰빙해피팜,경기도 구리시 벌말로 188  2층 (토평동),031 -567 -6152,구리시청,2021-05-07
건강기능식품유통전문판매업,주식회사 플렉스샵,경기도 구리시 딸기원로8번길 53  가동 101호 (교문동  한솔빌라),02  -2267-2265,구리시청,2021-05-07
건강기능식품유통전문판매업,(주)가이오 아이티씨,경기도 구리시 검배로84번길 20 (수택동 서일B/D 3층),    - 568-1243,구리시청,2021-05-07
건강기능식품유통전문판매업,(주)일화,경기도 구리시 벌말로 96 (토평동),    - 550-0302,구리시청,2021-05-07
건강기능식품유통전문판매업,닥터랩스,경기도 구리시 장자대로13번길 9  B1층 (교문동),,구리시청,2021-05-07
건강기능식품유통전문판매업,주식회사 헬스앤푸드,경기도 구리시 벌말로70번길 43  101호 (토평동),,구리시청,2021-05-07
건강기능식품유통전문판매업,(주)바디플러스,경기도 구리시 동구릉로30번길 3  3층 (인창동),,구리시청,2021-05-07
건강기능식품유통전문판매업,탑헬스케어(주),경기도 구리시 벌말로 96  3층 (토평동),031 -554 -5509,구리시청,2021-05-07
건강기능식품유통전문판매업,(주)애플플러스,경기도 구리시 벌말로70번길 92-20  2층 (토평동),,구리시청,2021-05-07
건강기능식품유통전문판매업,세라젬 구리수택점,경기도 구리시 장자대로 76  1층 (수택동),,구리시청,2021-05-07
건강기능식품유통전문판매업,볼트엔너트(Bolt  & Nut),경기도 구리시 안골로7번길 34 (교문동),031 -568 -9952,구리시청,2021-05-07
건강기능식품유통전문판매업,주식회사 하루웰빙,경기도 구리시 이문안로5번길 16  1층 (교문동),031 -569 -4489,구리시청,2021-05-07
건강기능식품유통전문판매업,팜투베이비(롯데백화점 구리점),경기도 구리시 경춘로 261  롯데백화점 구리점 5층 (인창동),070 -4270-2883,구리시청,2021-05-07
건강기능식품유통전문판매업,텐이어플러스,경기도 구리시 건원대로34번길 19  세신훼미리타운 제비121호 (인창동),,구리시청,2021-05-07
건강기능식품유통전문판매업,주식회사 비피바이오,경기도 구리시 건원대로 51  창일빌딩 3115호 (인창동),070 -5015-5816,구리시청,2021-05-07
건강기능식품일반판매업,유니시티코리아,경기도 구리시 체육관로 40  301동 203호 (수택동  한성3차@),,구리시청,2021-05-07
건강기능식품일반판매업,허벌족,경기도 구리시 벌말로147번길 43 (토평동  208호),,구리시청,2021-05-07
건강기능식품일반판매업,GS25 교문사랑점,경기도 구리시 경춘로162번길 31 (교문동  105 106),031 -551 -0405,구리시청,2021-05-07
건강기능식품일반판매업,(주)아비스,경기도 구리시 원수택로12번길 30 (수택동 (지층)),0707-6304-825,구리시청,2021-05-07
건강기능식품일반판매업,아이러브핏2019,경기도 구리시 동구릉로 112  지층 (인창동),,구리시청,2021-05-07
건강기능식품일반판매업,연세비타민,경기도 구리시 경춘로 229 (인창동  쌍용오피스텔 402호),031 -550 -6660,구리시청,2021-05-07
건강기능식품일반판매업,진생사이언스구리점,경기도 구리시 동구릉로30번길 34  2동 202호 (인창동 대명아파트),031 -558 -1914,구리시청,2021-05-07
건강기능식품일반판매업,세븐일레븐 구리아울렛점,경기도 구리시 동구릉로136번길 37  1층 106  107호 (인창동),,구리시청,2021-05-07
건강기능식품일반판매업,아모레퍼시픽 교문특약점,경기도 구리시 경춘로 274  성원메스티지상가 503호 (수택동),,구리시청,2021-05-07
