조성년도,사업명(위치),면적(제곱미터),조성현황,종류
2004,북변사거리 교통섬 조경수 식재공사,500,"청단풍 등 5종 2,290주",교통섬
2004,"걸포동 시설녹지 조경수 식재공사,(걸포동 모델하우스 앞(48호 국도변))",1500,"소나무 외 6종 3,441본,잔디 식재 1,238㎡",도시숲
2004,시가지내 교통섬 조경수 식재공사,619,"무궁화 등 10종 2,572주 ",교통섬
2005,북변동 교통섬 녹지 조성공사,628,"주목 등 12종 2,451주",교통섬
2006,KT통신삼거리 앞 노지대 소공원 조성공사,1621,"은행나무 등 12종 2,300주 ",쌈지공원
2007,사우동 533-3번지 일원 녹지조성공사,1100,"대왕참나무 등 17종 3,610주",도시숲
2007,북변동 380-41번지 일원 녹지조성공사,1300,"청단풍 등 14종 3,822주",도시숲
2007,"사우교 일원 녹지 조성공사,(사우동 542-5번지 외 2필지)",905.4,"선주목 등 15종 3,720주",도시숲
2007,"동을산리 운동장 녹지 조성공사,(통진읍 동을산리 86-1번지)",420,모감주나무 등 9종 927주,쌈지공원
2007,"한신아파트 앞 시유지 녹지 조성공사,(사우동 311-1번지 일원)",680,소나무 등 10종 761주,쌈지공원
2007,걸포동 유진빌라 앞 공한지 도시숲 조성공사,1400,"매화나무 등 16종 6,031본 식재 ",도시숲
2007,"통진공영주차장 내 도시숲 조성공사,(통진읍 서암리 792-21번지 외 17필지)",1370,"이팝나무 등 16종 5,886본 식재?",도시숲
2007,"팬택 앞 공한지 도시숲 조성공사,(통진읍 옹정리 107-31번지 일원)",2200,"감나무 등 8종 2,324본 식재",도시숲
2008,"북변사거리 녹지 조성공사,(걸포동 336-13번지 일원)",429,매화나무 등 10종 843주,도시숲
2008,사우동 838-45 녹지 조성공사,931,"이팝나무 등 10종 1,320주",도시숲
2008,사우동 530-4 녹지 조성공사,679,"산딸나무 등 12종 1,441주",도시숲
2008,율생리 41-17 푸른김포 나무심기 공사,400,조형소나무 등 7종 333주,도시숲
2008,"사우지구 쌈지공원 조성사업,(사우동 두손프라자 943번지)",90,야생화(자주달개비외 16종)식재 및 2개 공종,쌈지공원
2009,"대명항 앞 대명초교 거리 녹지대 조성공사,(대곶면 대명리 411-5번지 일원)",2100," 식재공사 : 소나무(H9.0×R40) 등 2종 20주, 꽃무릇 등 6종 22,290본, 포장공사 : 화강석 판석포장 57㎡, 녹지경계석 31m,시설물공사 : 석재평의자 4개소",도시숲
2009,"사우동 290 녹지 조성공사,(사우동 다솜마을 한신아파트 앞)",495,"주목 외 6종 811주, 벌개미취 외 4종 760본",도시숲
2009,풍무동 꽃길 조성공사,2890,"소나무 외 12종 10,119주,배초향 외 3종 1,500본",도시숲
2009,태리IC 도로변 꽃길 및 녹지조성공사,300,"조형소나무 외 631주, 꽃잔디 외 2,160본",도시숲
2010,"대보천변 도시숲 조성공사,(고촌읍 신곡리 754-6번지 일원 현대아파트 앞 대보천변)",10000,"식재공사 : 느티나무 등 37종 6,820주,이식공사 : 자작나무 145주",도시숲
2010,"김포골드밸리 도로 공한지 느티나무 식재공사,(양촌읍 대포리 일원 김포골드밸리 도로변 공한지)",1469,느티나무 38주,도시숲
2010,태리IC 도로변 꽃길 조성공사,3090,"소나무 등 3종 34주,붉은 조팝나무 등 1종 1,130주,나비바늘꽃 등 3종 23,070본",도시숲
2010,"대보천변 도시숲 조성공사,(고촌읍 신곡리 754-6번지 일원 현대아파트 앞 대보천변)",10000," 식재공사: 느티나무 등 37종 6,820주,이식공사: 자작나무 145주",도시숲
2010,"김포골드밸리 도로 공한지 느티나무 식재공사,(양촌읍 대포리 일원 김포골드밸리 도로변 공한지)",1469,느티나무 38주,도시숲
2010,태리IC 도로변 꽃길 조성공사,3090,"소나무 등 3종 34주,붉은 조팝나무 등 1종 1,130주,나비바늘꽃 등 3종 23,070본",도시숲
2011,"태리IC녹지대 조성공사,(사우동 573-5번지 외 4필지 태리IC진입로)",4644,"소나무 61주, 잔디식재 611㎡, 석분다짐 157㎡",도시숲
2011,"장기동 가로화단 조성공사,(48호 국도변 장기 패션타운~누산리)",400,"화살나무 외 5종 3,830주",녹지대
2012,풍무동 도시숲 조성공사,11500,"장송 외28종 81,878본식재, 정자1,벤치40,운동기구6",도시숲
2012,"장기동 완충녹지 및 가로화단 조성공사(완충녹지),(장기동 22-6번지 일원)",1100,"이팝나무 외20종 7,047본 식재, 포켓쉼터4개소(벤치16)",도시숲
2012,장기동 15-15번지 일원 완충녹지 조성공사,600,"산수유 외15종 2,083본 식재, 포켓쉼터(벤치4)",도시숲
2012,"사우동 쌈지공원 조성공사,(사우동 139-16 사우어린이집 옆)",400,"느티나무 외 12종 352본, 편의시설",쌈지공원
2012,"북변동 쌈지공원 조성공사(북변동 657-9번지 일원, 걸포사거리 주변)",738,이팝나무 외 4종 42본,쌈지공원
2013,"대보천 도시숲 조성공사,(고촌읍 신곡리 767-6번지 일원)",18227,"느티나무 외 6종 1,513주,피라칸사스 외 6종 9,232주, 초화류 2,770본",도시숲
2013,"신곡리 도시숲 조성공사,(고촌읍 신곡리 1025번지 일원)",13000,"해송 외6종 478주,피라칸사스 외 6종 3,964주, 초화류 1,600본",도시숲
2013,"걸포동 차폐림 조성공사,(걸포동 2-269번지 일원)",2000,소나무 102주 식재,녹지대
2013,"걸포동 쌈지공원 조성공사,(걸포동 4-168번지 걸포이주단지 옆)",2190,"해송 1종 310본 식재, 편의시설",쌈지공원
2013,"태리IC 쌈지공원 조성공사,(고촌읍 풍곡리 585-6번지48국도변 BEST GIMPO 조성지 옆)",3600,해송 등 7종 211본,쌈지공원
2013,"북변동 녹지대 조성공사,(북변동 112-13번지 일원)",70,소나무 외 2종 281주,녹지대
2013,"도사리 조경석 쌓기공사,(통진읍 도사리 840-4번지 일원)",130,"영산홍 식재 150주, 조경석 쌓기 45m",녹지대
2014,"하성면 쌈지공원 조성공사,하성면 봉성리 178-5(봉성2리 마을회관 앞)",639,"회양목 외 1종 750주, 체육시설물 4종,조경석쌓기 68m 등 ",쌈지공원
2014,"사우동 쌈지공원 조성공사,사우동 1312-1(장릉산 배수지 하단)",4903,"소나무 외 3종 8,132주, 원주목계단27단 ",쌈지공원
2015,"사우동 쌈지공원 조성공사,(사우동 34-3번지 외 2필지, 계양천산책로)",1060,"산수유 외 3종 206주, 산석플랜터 2개소,현무암판석포장 외 2종 479.5㎡",쌈지공원
