업소명,소재지도로명주소,소재지지번주소,전화번호,음식유형,주된음식,데이터기준일자
필로스,경기도 김포시 감암로 65 (걸포동),경기도 김포시 걸포동 387-104 , 031- 986-9190,경양식,경양식,2021-02-19
김포고깃집,경기도 김포시 하성면 하성로 499,경기도 김포시 하성면 마곡리 611-21 , 031- 989-5135,한식,한식,2021-02-19
사조참치(김포점),"경기도 김포시 사우중로11번길 14, 지하1층 (사우동)",경기도 김포시 사우동 250-7 지하1층 , 031- 982-3737,일식,일식,2021-02-19
나룻터숯불장어구이 ,경기도 김포시 월곶면 김포대로3023번길 96,경기도 김포시 월곶면 포내리 7-8 , 031- 981-1071,한식,한식,2021-02-19
느티나무골,"경기도 김포시 월곶면 문수산로370번길 49, 1층",경기도 김포시 월곶면 보구곶리 373-3 1층 , 031- 989-3036,한식,한식,2021-02-19
손짜장마을,"경기도 김포시 월곶면 김포대로 2996, 1층",경기도 김포시 월곶면 포내리 32-2 1층 , 031- 988-0486,중국식,중국식,2021-02-19
아람손칼국수,경기도 김포시 봉화로167번길 6-9 (감정동),경기도 김포시 감정동 666 ,031 -992 -6824,한식,한식,2021-02-19
신선설농탕,경기도 김포시 김포대로 804 (사우동),경기도 김포시 사우동 121-1 , 031- 985-3361,한식,한식,2021-02-19
벌말매운탕,경기도 김포시 대곶면 대명항1로28번길 59,경기도 김포시 대곶면 대명리 454 , 031- 997-0626,한식,한식,2021-02-19
수빈관,경기도 김포시 통진읍 김포대로 2374,경기도 김포시 통진읍 서암리 915-1 , 031- 998-9229,중국식,중국식,2021-02-19
갈비성(사우점),"경기도 김포시 돌문로 50, 7층 701호 (사우동, 청운팰리스)",경기도 김포시 사우동 945 청운팰리스 701호, 031- 983-8292,한식,한식,2021-02-19
신의주찹쌀순대(김포점),"경기도 김포시 김포대로 839, 111~113호 (사우동, 보보스프라자)",경기도 김포시 사우동 923 보보스프라자 111~113호, 031- 981-6604,한식,한식,2021-02-19
천등산농원,경기도 김포시 고촌읍 태리로 72,경기도 김포시 고촌읍 태리 293-17 , 031- 985-9013,한식,한식,2021-02-19
갈비성(고촌점),"경기도 김포시 고촌읍 은행영사정로 25, 4층 (필선회관)",경기도 김포시 고촌읍 신곡리 1160 필선회관 4층 ,031 -983 -7799,한식,한식,2021-02-19
청기와횟집,경기도 김포시 대곶면 대명항1로92번길 39,경기도 김포시 대곶면 대명리 516-8 , 031- 987-0715,횟집,횟집,2021-02-19
신의주찹쌀순대,"경기도 김포시 고촌읍 인향로24번길 90, 101호",경기도 김포시 고촌읍 신곡리 609 101호,031 -985 -9289,한식,한식,2021-02-19
고창바지락칼국수,"경기도 김포시 대곶면 대명항로 247-1, 1층 일부호",경기도 김포시 대곶면 율생리 351-66 1층 일부호,031 -997 -2428,한식,한식,2021-02-19
