업소명,소재지도로명주소,소재지전화,객실수,한실수,양실수,데이터기준일자
수보장,경기도 김포시 통진읍 서암로84번길 1-8,031-983-6705,14,0,14,2021-06-29
황금장여인숙,경기도 김포시 양촌읍 양곡로 539-4,031-981-2144,15,9,6,2021-06-29
송미여인숙,경기도 김포시 북변중로65번길 45 (북변동),031-984-3156,9,9,0,2021-06-29
우성모텔,경기도 김포시 중봉1로 99 (북변동),031-983-7628,16,6,10,2021-06-29
하성장,경기도 김포시 하성면 하성로 497-12,031-988-2993,15,7,8,2021-06-29
한성여관,경기도 김포시 중구로 89-7 (북변동),031-984-2264,14,5,9,2021-06-29
일진여관,경기도 김포시 통진읍 서암로84번길 1-4,031-984-8219,10,0,10,2021-06-29
타임모텔,경기도 김포시 통진읍 김포대로2230번길 13-6,031-987-1019,12,2,10,2021-06-29
제일장여관,경기도 김포시 통진읍 김포대로2230번길 15,031-987-4987,10,0,10,2021-06-29
허브모텔,경기도 김포시 중봉1로 85-3 (북변동),031-988-4927,13,0,13,2021-06-29
모텔케이(MOTEL-K),경기도 김포시 양촌읍 양곡1로40번길 12,031-981-7138,21,5,16,2021-06-29
장미장여관,경기도 김포시 통진읍 조강로 66-13,031-988-0336,14,2,12,2021-06-29
S 모텔,경기도 김포시 양촌읍 양곡1로 19,031-981-6488,16,0,16,2021-06-29
H모텔,경기도 김포시 중구로 51 (북변동),031-997-9967,20,5,15,2021-06-29
뉴크리스탈여관,경기도 김포시 월곶면 애기봉로 31,031-987-4562,20,9,11,2021-06-29
필(Fill),경기도 김포시 중구로 47 (북변동),031-984-1818,36,2,34,2021-06-29
티앤지모텔(T&G모텔),경기도 김포시 양촌읍 양곡4로 2,031-981-0004,21,,21,2021-06-29
테마,경기도 김포시 통진읍 조강로 129,031-989-9702,32,1,31,2021-06-29
테마여관,경기도 김포시 월곶면 군하로 128,031-987-8634,31,16,15,2021-06-29
리버사이드 모텔,경기도 김포시 하성면 금포로1915번길 37-5,031-981-6794,22,2,20,2021-06-29
약암홍염천관광호텔,경기도 김포시 대곶면 약암로 965-7,031-989-7001,71,23,48,2021-06-29
스카이,경기도 김포시 북변로15번길 8 (북변동),031-986-5306,47,0,47,2021-06-29
HOTEL M(호텔 엠),경기도 김포시 월곶면 오리정로 107-12,031-985-3386,36,18,18,2021-06-29
SKY모텔,경기도 김포시 월곶면 군하로 283,031-989-3379,36,5,31,2021-06-29
리버모텔,경기도 김포시 중구로 47-1 (북변동),031-982-7944,34,0,34,2021-06-29
에비뉴,경기도 김포시 월곶면 김포대로 2556,031-987-9866,28,3,25,2021-06-29
체리호텔,경기도 김포시 중구로 55 (북변동),031-986-4818,33,3,30,2021-06-29
