공원명,소재지지번주소,면적(제곱미터),놀이기구현황,설치일자
사우제1어린이공원,경기도 김포시 북변동 801 ,3479,"그네1,흔들4",2009-05-12
사우제2어린이공원,경기도 김포시 북변동 804 ,2037,"조합1,그네1,흔들4",2009-05-12
사우제3어린이공원,경기도 김포시 북변동 813 ,2282,"조합1,흔들4",2009-05-12
사우제4어린이공원,경기도 김포시 사우동 910 ,2376,"조합1,그네1,흔들4",2011-12-22
사우제5어린이공원,경기도 김포시 사우동 1043 ,2521,"조합1,그네1,흔들4",2011-12-22
사우제6어린이공원,경기도 김포시 사우동 948,3042,흔들3,2009-05-12
사우5통어린이공원,경기도 김포시 사우동 241-1,1644,"조합1,흔들4",2007-01-01
사우8통어린이공원,경기도 김포시 사우동 249-3 ,1701,"조합1,흔들4",2009-01-23
사우근린공원,경기도 김포시 사우동 864,9898,"조합1,흔들1,회전1",2010-06-11
풍년근린공원,경기도 김포시 사우동 831 ,10712,"그네1,흔들4",2009-05-12
삼환어린이공원,경기도 김포시 감정동 660,4149,"조합3,그네1,흔들5",2008-06-19
신화어린이공원,경기도 김포시 감정동 675 ,4751,"조합1,그네1,흔들2",2012-11-27
봉화어린이공원,경기도 김포시 북변동 720,2356,"조합2,흔들4,기타1",2008-12-16
걸포중앙공원,경기도 김포시 걸포동 1553,134481,"조합1,오르는기구1,흔들5,건너는기구1",2012-06-25
걸포어린이공원,경기도 김포시 걸포동 1560,3450,"조합1,흔들4",2010-11-10
신곡노을공원,경기도 김포시 고촌읍 신곡리 1106 ,12881,"조합1,흔들3",2006-01-01
수기1어린이공원,경기도 김포시 고촌읍 신곡리 1249 ,1715,"조합1,그네1",2008-01-01
수기2어린이공원,경기도 김포시 고촌읍 신곡리 1260 ,1521,"조합1,그네2",2008-08-26
수기3어린이공원,경기도 김포시 고촌읍 신곡리 1268 ,1567,"조합2,흔들2,회전1",2008-01-01
고촌제1근린공원,경기도 김포시 고촌읍 신곡리 1250 ,10092,"조합1,흔들6,회전1",2010-01-15
고촌어린이공원,경기도 김포시 고촌읍 신곡리 1071,2319,"조합1,그네1,흔들1,오르는기구1",2008-08-05
청송제1어린이공원,경기도 김포시 장기동 1343 ,1906,"흔들3,조합1",2001-01-01
청송제2어린이공원,경기도 김포시 장기동 1323,1738,"그네1,흔들3,조합1",2011-06-01
탬버린공원,경기도 김포시 장기동 1400 ,1500,"그네1,조합1",2008-06-11
피아노공원,경기도 김포시 장기동 1630 ,1500,"미끄럼틀1,흔들1",2008-06-11
첼로공원,경기도 김포시 장기동 1549 ,3000,조합1,2008-06-11
기타공원,경기도 김포시 장기동 1721 ,1501,미끄럼틀1,2008-06-11
하프공원,경기도 김포시 장기동 1514 ,2062,조합1,2008-06-11
경관녹지2호(공원-1),경기도 김포시 장기동 1625 ,3230,오르는기구1,2008-06-11
경관녹지2호(공원-2),경기도 김포시 장기동 1625 ,3230,오르는기구1,2008-06-11
골드밸리3호근린공원,경기도 김포시 양촌읍 학운리 3021,10052,"조합1,흔들2",2009-11-26
골드밸리5호근린공원,경기도 김포시 양촌읍 학운리 3152 ,42307,"조합1,흔들2",2009-11-26
양곡제1어린이공원,경기도 김포시 양촌읍 양곡리 1244,1519,"조합2,흔들3,회전6,오르는기구1",2010-11-12
양곡제2어린이공원,경기도 김포시 양촌읍 양곡리 1289,4609,"조합1,그네1,흔들3,기타1",2010-11-12
양곡제3어린이공원,경기도 김포시 양촌읍 양곡리 1267,2508,"미끄럼틀1,흔들3,오르는기구2",2010-11-13
양곡제4어린이공원,경기도 김포시 양촌읍 양곡리 1328,1518,"조합1,미끄럼틀1,흔들1,건너는기구1",2010-11-12
해뜰어린이공원,경기도 김포시 양촌읍 양곡1로 56번길,3038,조합1,2011-11-17
마송제1어린이공원(논두렁),경기도 김포시 통진읍 마송리 511,2648,미끄럼틀1,2011-01-12
마송제2어린이공원(공룡),경기도 김포시 통진읍 마송리 533,2747,조합1,2011-01-12
마송제3어린이공원(아폴로),경기도 김포시 통진읍 마송리 513-1,6513,조합1,2010-12-21
마송제4어린이공원(동산),경기도 김포시 통진읍 마송리 564-1,1902,"조합2,미끄럼틀1",2010-12-21
마송제5어린이공원(지구),경기도 김포시 통진읍 마송리 578,3451,"조합2,미끄럼틀1",2010-07-30
서암어린이공원,경기도 김포시 통진읍 서암리 1115 ,2487,조합1,2009-03-04
풍무제1어린이공원,경기도 김포시 풍무동 765,7123,조합1,2010-06-21
중봉근린공원,경기도 김포시 감정동 697,20682,"조합1,그네1,흔들5",2013-03-29
어린이공원2호,경기도 김포시 마산동 499,5140,"그네1,흔들3",2012-11-28
어린이공원1호,경기도 김포시 구래동 6875-3,2160,"그네1,흔들3,조합2",2014-06-11
어린이공원5호,경기도 김포시 마산동 646-8,1540,"흔들5,조합1,기타1",2014-06-11
어린이공원6호,경기도 김포시 마산동 650-9,1545,"그네1,흔들2,조합1",2014-06-11
어린이공원7호,경기도 김포시 마산동 662-5,2384,"그네1,흔들4,조합1,기타2",2014-06-11
어린이공원8호,경기도 김포시 장기동 1886-4,4899,"흔들3,조합2",2012-12-01
어린이공원9호,경기도 김포시 장기동 2085-1,7037,"그네1,흔들5,조합1",2012-12-01
어린이공원10호,경기도 김포시 운양동 1300-10,8874,"흔들5,조합1,기타2",2014-06-11
어린이공원10호-1,경기도 김포시 운양동 1300-10,8874,"흔들5,조합1",2014-06-11
어린이공원13호,경기도 김포시 운양동 1293-1,8194,"그네1,흔들3,조합1",2014-06-11
어린이공원14호,경기도 김포시 운양동 1274-12,2022,"흔들5,조합2",2014-05-30
어린이공원15호,경기도 김포시 운양동 1315-1,6004,"그네1,흔들5,조합2",2014-09-22
근린공원16호(청송공원),경기도 김포시 장기동 1313,7994,"그네1,흔들2,조합1",2012-12-28
풍무4호근린공원(풀무골),경기도 김포시 풍무동 780,65251,"조합2,그네1,흔들1,기타1",2014-04-15
풍무3호어린이공원(바다),경기도 김포시 풍무동 801,1916,"조합1,흔들3,기타1",2014-04-15
풍무2호어린이공원(기차),경기도 김포시 풍무동 774,1534,"조합2,그네1,흔들2",2014-05-15
풍무1호어린이공원(하늘),경기도 김포시 풍무동 769,1572,"조합1,그네1,흔들3",2014-04-15
근린공원9호(나래울공원),경기도 김포시 운양동 1287-1,31172,"흔들3,조합3",2012-07-20
고송어린이공원,경기도 김포시 고촌읍 신곡리 1285,2179,조합1,2008-06-11
주제공원6호(김포한강야생조류공원),경기도 김포시 운양동 520,565294,"조합1, 그네1, 흔들3",2014-10-30
어린이공원11호,경기도 김포시 김포한강1로 312 (운양동),2105,"흔들3,조합1,기타3",2014-06-11
어린이공원12호,경기도 김포시 김포한강3로 315 (장기동),3322,"흔들5,조합1,기타3",2014-06-11
어린이공원4호,경기도 김포시 김포한강4로 419 (마산동),2357,"그네1,흔들5,조합1",2014-06-17
근린공원5호(마리미공원),경기도 김포시 김포한강4로 419 (마산동),40716,"흔들3,조합1",2014-06-17
어린이공원16호,경기도 김포시 김포한강1로 312(운양동),6977,"흔들5,조합2",2014-09-22
근린공원 50호,경기도 김포시 양촌읍 학운리 1364,6607,"조합1, 흔들3, 그네1",2018-03-13
어린이공원 60호,경기도 김포시 양촌읍 학운리 1621,997,"흔들3, 회전1",2018-03-13
어린이공원 60-1호,경기도 김포시 양촌읍 학운리 1621,996,"조합1, 흔들3, 그네1",2018-03-13
26호 근린공원(선수공원),경기도 김포시 풍무동 248-1,29054,"조합1, 흔들4, 그네1",2017-11-01
27호 근린공원(새장터공원),경기도 김포시 풍무동 291-1,34435,"조합1, 그네1, 흔들2",2017-10-01
37호 어린이공원,경기도 김포시 풍무동 225,1500,"조합1, 흔들3",2017-10-01
41호 어린이공원,경기도 김포시 풍무동 303,2000,"조합2, 그네1, 흔들3, 건너는 기구1, 기타3",2016-05-01
42호 어린이공원,경기도 김포시 풍무동 282,1786,"조합1, 그네1, 흔들2",2017-10-01
43호 어린이공원,경기도 김포시 풍무동 366-5,2670,"조합1, 그네1, 흔들3,건너는 기구1",2016-07-01
44호 어린이공원(물빛공원),경기도 김포시 풍무동 211,2193,"조합1, 기타3",2017-08-01
학운산단 제3어린이공원(수원촌),경기도 김포시 양촌읍 학운리 1649,3021,"조합1,그네1,흔들3,기타2",2014-01-22
