업종,업소명,소재지도로명주소,소재지지번주소,전화번호,데이터기준일자
이미용업,에스텔미용실,경기도 김포시 고촌읍 장차로 13,경기도 김포시 고촌읍 신곡리538-5번지 ,031-986-5092,2021-02-24
한식_찌개류,황가네소머리국밥,경기도 김포시 양촌읍 양곡1로56번길 7,경기도 김포시 양촌읍 양곡리 430-2,031-981-7715,2021-02-24
중식,왕성반점,경기도 김포시 양촌읍 양곡로532번길14,경기도 김포시 양촌읍 양곡리475-59번지 ,031-981-2188,2021-02-24
한식_육류,한양생고기,경기도 김포시 양촌읍 양곡1로 22,경기도 김포시 양촌읍 구래리223-1번지 ,031-981-2158,2021-02-24
한식_육류,갈비촌,경기도 김포시 하성면 애기봉로806번길 41,경기도 김포시 하성면 마곡리630-9번지 ,031-983-3200,2021-02-24
한식_찌개류,신촌회관,경기도 김포시 하성면 애기봉로 850,경기도 김포시 하성면 마곡리634-18번지 ,031-988-4455,2021-02-24
이미용업,송창숙헤어코디,경기도 김포시 하성면 애기봉로 863,경기도 김포시 하성면 마곡리621-16번지 ,031-988-6576,2021-02-24
한식_육류,주연생구이,"경기도 김포시 김포대로 841, 112호",경기도 김포시 사우동924번지 112호,031-988-9997,2021-02-24
한식_일반,오씨네식당,경기도 김포시 봉화로 161,경기도 김포시 북변동206-5번지 ,031-985-1315,2021-02-24
한식_육류,청수갈비,경기도 김포시 봉화로167번길 7,경기도 김포시 북변동773번지 ,031-982-8292,2021-02-24
한식_일반,먹거리식당,"경기도 김포시 풍무로 25, 가동 128호",경기도 김포시 풍무동598-4번지 가동 128호,031-996-2037,2021-02-24
한식_찌개류,지혜추어탕,경기도 김포시 월곶면 군하로 123,경기도 김포시 월곶면 갈산리508-43번지 ,031-987-0986,2021-02-24
한식_기타,올터한식부페,경기도 김포시 월곶면 김포대로 2949,경기도 김포시 월곶면 포내리 81-11,031-984-7725,2021-02-24
한식_육류,김포고깃집,경기도 김포시 하성면 하성로 499,경기도 김포시 하성면 마곡리611-21번지 ,031-989-5135,2021-02-24
