순번,구분,묘지명,주소,면적,기수/빈소수,개설년도,전화번호,비고,데이터기준일자
1,공설공동묘지,와부공동묘지,경기도 남양주시 와부읍 월문리 산339,59823,1162,1963,,만장,2018-06-01
2,공설공동묘지,와부공동묘지,경기도 남양주시 와부읍 팔당리 산90,7636,257,1963,,만장,2018-06-01
3,공설공동묘지,진접공동묘지,경기도 남양주시 진접읍 팔야리 산119,3967,59,1968,,만장,2018-06-01
4,공설공동묘지,진접공동묘지,경기도 남양주시 진접읍 내곡리 산77,15570,223,1968,,만장,2018-06-01
5,공설공동묘지,진접공동묘지,경기도 남양주시 진접읍 진벌리 산140,9249,33,1968,,만장,2018-06-01
6,공설공동묘지,진접공동묘지,경기도 남양주시 진접읍 장현리 산11,37686,666,1968,,만장,2018-06-01
7,공설공동묘지,진접공동묘지,경기도 남양주시 진접읍 부평리 산69,6645,133,1968,,만장,2018-06-01
8,공설공동묘지,화도공동묘지,경기도 남양주시 화도읍 금남리 405,5841,317,1968,,만장,2018-06-01
9,공설공동묘지,화도공동묘지,경기도 남양주시 화도읍 답내리 산57,28562,481,1968,,만장,2018-06-01
10,공설공동묘지,화도공동묘지,경기도 남양주시 화도읍 차산리 산97,29256,271,1968,,만장,2018-06-01
11,공설공동묘지,화도공동묘지,"경기도 남양주시 화도읍 묵현리 산151-1,2",15446,286,1968,,만장,2018-06-01
12,공설공동묘지,별내공동묘지,"경기도 남양주시 별내면 광전리 산107-3,7",11556,187,1962,,만장,2018-06-01
13,공설공동묘지,퇴계원공동묘지,경기도 남양주시 퇴계원 퇴계원 산73,24694,830,1968,,만장,2018-06-01
14,공설공동묘지,진건공동묘지,경기도 남양주시 진건읍 사능리 산55,5851,455,1968,,만장,2018-06-01
15,공설공동묘지,진건공동묘지,경기도 남양주시 진건읍 배양리 산23-1,4326,68,1968,,만장,2018-06-01
16,공설공동묘지,진건공동묘지,경기도 남양주시 진건읍 신월리 산16,9620,158,1968,,만장,2018-06-01
17,공설공동묘지,진건공동묘지,경기도 남양주시 진건읍 용정리 산125,6248,86,1968,,만장,2018-06-01
18,공설공동묘지,수동공동묘지,경기도 남양주시 수동면 수산리 산200,5851,6,1968,,만장,2018-06-01
19,공설공동묘지,수동공동묘지,경기도 남양주시 수동면 수산리 산38,2876,8,1968,,만장,2018-06-01
20,공설공동묘지,조안공동묘지,경기도 남양주시 조안면 송촌리 산14,15867,221,1968,,만장,2018-06-01
21,공설공동묘지,오남공동묘지,경기도 남양주시 오남읍 양지리 산37,14380,156,1968,,만장,2018-06-01
22,공설공동묘지,평내공동묘지,경기도 남양주시 평내동 산21-2,13289,564,1968,,만장,2018-06-01
23,공설공동묘지,양정공동묘지,경기도 남양주시 일패동 산6,1102,420,1968,,만장,2018-06-01
24,공설공동묘지,지금공동묘지,경기도 남양주시 가운동 산49,11702,519,1968,,만장,2018-06-01
25,공설공동묘지,묵현공설묘지,경기도 남양주시 화도읍 묵현리 산151,9348,138,1973,,만장,2018-06-01
26,공설공동묘지,운수공설묘지,경기도 남양주시 수동면 운수리 400-1,3306,11,1973,,만장,2018-06-01
27,사설묘지,모란공원[한국공원개발㈜],경기도 남양주시 화도읍 월산리 606-1,832425,13500,1966,031-594-6363,,2018-06-01
28,사설묘지(재단법인),(재)영락교회공원묘원,경기도 남양주시 진건읍 사능리 산1-1,281785,12505,1968,031-573-8123,,2018-06-01
29,사설묘지(재단법인),(재)천주교소화묘원,경기도 남양주시 조안면 능내리 산10,218745,6900,1969,031-576-1461,,2018-06-01
30,사설묘지(재단법인),(재)천주교세종로묘원,경기도 남양주시 별내동 화접리 산193-1,156761,2200,1959,031-571-8800,,2018-06-01
31,사설묘지(재단법인),(재)천주교평내묘원,"경기도 남양주시 평내동 산45-1, 48, 50-1",145768,2385,1962,031-511-3111,,2018-06-01
32,사설봉안시설(사설봉안당),모란공원[한국공원개발㈜],경기도 남양주시 화도읍 경춘로2110번길 8-102,1980,1677,1972,031-594-6363,,2018-06-01
33,사설봉안시설(재단봉안당),(재)에덴,경기도 남양주시 화도읍 수레로 964번길 113-13,3966,16336,1999,031-572-0001,,2018-06-01
34,사설봉안시설(종교단체봉안당),봉선사,경기도 남양주시 진접읍 봉선사길 30 ,50294,696,2009,031-527-1956,,2018-06-01
35,사설봉안시설(종교단체봉안당),봉인사,경기도 남양주시 진건읍 사릉로156번길 295,6872,3456,2009,031-527-5678,,2018-06-01
36,사설봉안시설(법인봉안묘),(재)천주교소화묘원,경기도 남양주시 조안면 능내리 산10,166,104,2017,02-2238-3004,,2018-06-01
37,사설봉안시설(법인봉안묘),(재)북한강공원,"경기도 남양주시 화도읍 구암리 285-1,285-2",46477,77675,2000,031-592-0081,,2018-06-01
38,사설봉안시설(종교단체봉안탑),봉인사,경기도 남양주시 진건읍 송능리 304-14,6872,976,2010,031-527-5678,,2018-06-01
39,장례식장,남양주,경기도 남양주시 진건읍 진건오남로 485,,3,2002,031-528-4444,,2018-06-01
40,장례식장,원병원,경기도 남양주시 화도읍 경춘로 1943-16,,6,2002,031-511-9943,,2018-06-01
41,장례식장,백련장,경기도 남양주시 마치로 90 (호평동),,4,2005,031-594-4444,,2018-06-01
42,장례식장,우리병원,경기도 남양주시 오남읍 진건오남로797번길 9,,3,2007,031-574-4442,,2018-06-01
43,장례식장,현대병원,경기도 남양주시 진접읍 봉현로 21 지하 2층,,4,2010,031-575-4004,,2018-06-01
44,장례식장,한양병원,경기도 남양주시 오남읍 양지로 47-55 남양주한양병원 내,,5,2011,031-529-4440,,2018-06-01
45,장례식장,국민병원,경기도 남양주시 경춘로1308번길 4 (평내동) B1,,4,2012,031-594-4442,,2018-06-01
