공연장명,개방시설유형구분,휴관일,신청방법구분,소재지도로명주소,소재지지번주소,위도,경도,홈페이지주소,관리기관명,관리기관전화번호,데이터기준일자
시민회관,공연장,매주 월요일,방문,경기도 동두천시 어수로 4,경기도 동두천시 상패동 122번지,37.90526403,127.0430631,https://www.ddc.go.kr/ddc/contents.do?key=1521,동두천시청 시설사업소,031-860-3243,2021-06-17
청소년문화회관,공연장,매주 월요일,방문,경기도 동두천시 어수로 4,경기도 동두천시 상패동 122번지,37.90526403,127.0430631,https://www.ddc.go.kr/ddc/contents.do?key=637,동두천시청 시설사업소,031-860-3243,2021-06-17
평생학습관,공연장,일요일,방문,경기도 동두천시 중앙로 110-18,경기도 동두천시 지행동 722-1번지,37.89088078,127.0532318,http://edu.ddc.go.kr,동두천시청 평생교육원,031-860-3312,2021-06-17
청소년수련관,공연장,매주 월요일,방문,경기도 동두천시 지행로 95,경기도 동두천시 지행동 284-1번지,37.89307091,127.0576865,http://youth.ddc.go.kr,동두천시청 여성청소년과,031-867-7942,2021-06-17
종합운동장,운동장,무휴,방문,경기도 동두천시 어등로 45 (생연동),경기도 동두천시 생연동 70번지,37.90010241,127.0700543,https://www.ddc.go.kr/ddc/contents.do?key=639,동두천시청 시설사업소,031-860-2439,2021-06-17
소요산 야외음악당,공연장,무휴,방문,경기도 동두천시 평화로 2910번길 148-45,경기도 동두천시 상봉암동 산1-1번지,37.94648581,127.0693175,http://ddc.go.kr,동두천시청 문회체육과,031-863-0351,2021-06-17
보산동 한미우호광장,공연장,무휴,방문,경기도 동두천시 상패로 212-21,경기도 동두천시 보산동 429-15번지,37.91671431,127.0564011,http://ddc.go.kr,동두천시청 전략사업과,031-860-2627,2021-06-17
두드림뮤직센터,공연장,무휴,인터넷/방문,경기도 동두천시 상패로216번길 42,경기도 동두천시 보산동 429-4번지,37.91578049,127.0564722,http://blog.naver.com/ddcmusic21,동두천시청 전략사업과,031-868-3300,2021-06-17
동두천국민체육센터,공연장,무휴,방문,경기도 동두천시 천보산로 688,경기도 동두천시 탑동동 799,37.89056123,127.0921526,https://www.ddc.go.kr/ddc/contents.do?key=1754,동두천시청 시설사업소,031-860-3276,2021-06-17
시민공원,공연장,무휴,방문,,경기도 동두천시 생연동 691-6,37.89410934,127.0517816,http://ddc.go.kr,동두천시청 공원녹지과,031-860-2416,2021-06-17
