업종,상호명,영업소도로명소재지,영업소지번소재지,위도,경도,전화번호,관리기관명,관리기관전화번호,데이터기준일자
게임물제작업,피앤지소프트,경기도 동두천시 원터강변로31번길 13-4,경기도 동두천시 동두천동 208-18,37.92467352 ,127.05289219 ,070-8860-6131,동두천시청 문화체육과,031-860-2103,2021-06-30
게임물제작업,피앤지소프트,경기도 동두천시 원터강변로31번길 13-4,경기도 동두천시 동두천동 208-18,37.92467352 ,127.05289219 ,070-8860-6131,동두천시청 문화체육과,031-860-2103,2021-06-30
노래연습장업,007 노래연습장,경기도 동두천시 평화로 2301,경기도 동두천시 지행동 730-1,37.89315303 ,127.05694422 ,031-857-2142,동두천시청 문화체육과,031-860-2103,2021-06-30
노래연습장업,규수 노래연습장,경기도 동두천시 중앙로264번길 20,경기도 동두천시 생연동 649-2,37.90488059 ,127.05513851 ,031-864-7073,동두천시청 문화체육과,031-860-2103,2021-06-30
노래연습장업,나이아가라 노래연습장,경기도 동두천시 중앙로 134-12,경기도 동두천시 지행동 694,37.89310431 ,127.05323795 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
노래연습장업,데블존 노래연습장,경기도 동두천시 중앙로 294,경기도 동두천시 생연동 612-42,37.90768451 ,127.05474943 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
노래연습장업,락휴코인노래연습장 지행점,경기도 동두천시 동두천로 119,경기도 동두천시 지행동 721-2,37.89206578 ,127.05462873 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
노래연습장업,루첸노래연습장,경기도 동두천시 생연로 144,경기도 동두천시 생연동 588-11,37.90532171 ,127.05195049 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
노래연습장업,리가25시 노래연습장,경기도 동두천시 중앙로 306,경기도 동두천시 생연동 611-76,37.90875469 ,127.05503678 ,031-865-5115,동두천시청 문화체육과,031-860-2103,2021-06-30
노래연습장업,명품 노래연습장 시즌1,경기도 동두천시 동광로 68,경기도 동두천시 생연동 617-2,37.90850202 ,127.05590081 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
노래연습장업,무지개 노래연습장,경기도 동두천시 중앙로 281,경기도 동두천시 생연동 602-9,37.90655683 ,127.05408909 ,031-867-8675,동두천시청 문화체육과,031-860-2103,2021-06-30
노래연습장업,별 노래연습장,경기도 동두천시 중앙로 110-17,경기도 동두천시 지행동 719-3,37.89138886 ,127.05335041 ,,동두천시청 문화체육과,031-860-2103,2021-06-30
노래연습장업,소요산명품 노래연습장,경기도 동두천시 평화로2910번길 20,경기도 동두천시 상봉암동 140-15,37.94606784 ,127.06265078 ,031-866-7171,동두천시청 문화체육과,031-860-2103,2021-06-30
노래연습장업,신화노래연습장,경기도 동두천시 지행로 60,경기도 동두천시 지행동 721,37.89207336 ,127.05381928 ,031-863-4408,동두천시청 문화체육과,031-860-2103,2021-06-30
