상호명,소재지도로명주소,소재지지번명주소,위도,경도,전화번호,지정일자,영업시간시간,영업종료시간,좌석수,휴무일,배달여부,주차여부,주요품목 가격,관리기관명,관리기관전화번호,데이터기준일자
중화각,경기도 동두천시 어수로 104,경기도 동두천시 생연동 676-6,37.9021422,127.0540313,031-865-2364,2011-11-01,10:00,20:30,45,"매월 첫째 주,  셋째 주 월요일",Y,N,"자장면 : 4,000원, 짬뽕 : 5,000원",동두천시 일자리경제과,031-860-2271,2021-02-08
향미식당,경기도 동두천시 생연로 104,경기도 동두천시 생연동 821-60,37.9017797,127.0507337,031-867-6579,2011-11-01,09:00,21:00,28,연중무휴,N,Y,"칼국수 : 5,000원, 삼겹살 : 10,000원",동두천시 일자리경제과,031-860-2271,2021-02-08
충남칼국수,경기도 동두천시 정장로 17,경기도 동두천시 생연동 660-7,37.9046654,127.0527869,031-867-8863,2012-06-18,10:00,21:30,30,매주 일요일,N,N,"칼국수 : 5000원, 냉면 : 5,000원",동두천시 일자리경제과,031-860-2271,2021-02-08
생연골,경기도 동두천시 생연로 124-1,경기도 동두천시 생연동 823-38,37.9036282,127.0514126,031-861-4601,2012-06-18,11:00,22:00,50,연중무휴,N,Y,"돼지갈비(300g) : 12,000원, 갈비탕 : 8,000원",동두천시 일자리경제과,031-860-2271,2021-02-08
어수정국수집,경기도 동두천시 생연로 31,경기도 동두천시 지행동 684,37.8955893,127.0485875,031-866-6005,2012-06-18,10:00,22:00,48,연중무휴,N,N,"잔치국수 : 3,000원, 비빔국수 : 4,000원",동두천시 일자리경제과,031-860-2271,2021-02-08
라이라이,경기도 동두천시 장고갯로 253,경기도 동두천시 보산동 390-9,37.9156314,127.0608418,031-865-1202,2012-06-18,10:00,21:00,27,연중무휴,Y,N,"자장면 : 4,000원,짬뽕 : 5,000원",동두천시 일자리경제과,031-860-2271,2021-02-08
태화관,경기도 동두천시 생연로171,경기도 동두천시 생연동 585-46,37.9078045,127.0524935,031-865-2353,2012-06-18,11:30,21:00,50,"매월 첫째 주, 셋째 주 화요일",N,Y,"자장면 : 3,500원,짬 뽕 : 4,000원",동두천시 일자리경제과,031-860-2271,2021-02-08
소요산 명품 한우,경기도 동두천시 평화로 2910번길 1,경기도 동두천시 상봉암동 137-10,37.9465332,127.0618502,031-866-8820,2012-06-18,06:00,22:00,200,연중무휴,N,Y,"한우등심 : 28,000원, 돼지갈비 : 13,000원 ",동두천시 일자리경제과,031-860-2271,2021-02-08
남춘천식당,경기도 동두천시 강변로438-10,경기도 동두천시 생연동 829-19,37.9084321,127.0512613,031-862-7944,2012-06-18,17:00,22:00,48,매주 일요일,N,N,"감자탕(소) : 16,000원",동두천시 일자리경제과,031-860-2271,2021-02-08
통큰부대찌개,경기도 동두천시 생연로 39-60,경기도 동두천시 지행동 669-9,37.8964149,127.0479651,031-868-4270,2014-07-15,11:00,22:00,60,연중무휴,N,Y,"부대찌개 : 7,000원",동두천시 일자리경제과,031-860-2271,2021-02-08
