연번,상호명,영업소도로명소재지,영업소지번소재지,전화번호
1,청실노래연습장,"경기도 부천시 경인로 지하 120, 지층 (송내동, 청실아파트)",경기도 부천시 송내동 380 상가 지층 ,032-653-5368
2,팡팡노래연습장,"경기도 부천시 경인로134번길 46, 2층 (송내동)",경기도 부천시 송내동 588-2 ,032-668-0993
3,앵콜노래연습장,경기도 부천시 성주로269번길 23 (심곡본동),경기도 부천시 심곡본동 681-4 ,032-656-9643
4,파파노래연습장,"경기도 부천시 심곡로9번길 32, 2층 (심곡본동)",경기도 부천시 심곡본동 591-7 2층 ,032-611-5980
5,샴푸 노래연습장,"경기도 부천시 경인로216번길 47, 지층 (심곡본동)",경기도 부천시 심곡본동 657-6 지층 ,032-612-5406
6,21세기노래연습장,"경기도 부천시 송내대로42번길 13, 2층 (송내동)",경기도 부천시 송내동 280-17 2층 ,032-612-9113
7,귀빈 노래연습장,"경기도 부천시 경인로216번길 79, 지층 (심곡본동)",경기도 부천시 심곡본동 649-5 ,032-667-9492
8,씽씽노래연습장,"경기도 부천시 경인로234번길 26-5, 지층 (심곡본동)",경기도 부천시 심곡본동 680-6 지층 ,032-612-0073
9,쇼킹노래연습장,"경기도 부천시 성주로 270, 지층 (심곡본동)",경기도 부천시 심곡본동 736-11 ,032-664-0417
10,SBS노래연습장,"경기도 부천시 경인로 35, 지층 (송내동)",경기도 부천시 송내동 340-6 지층 ,032-661-5290
11,시은노래연습장,"경기도 부천시 경인로 250, 지층 (심곡본동)",경기도 부천시 심곡본동 738 ,032-651-2667
12,달과별노래연습장,"경기도 부천시 송내대로 38, 지층 (송내동)",경기도 부천시 송내동 299-2 지층 ,032-666-9009
13,언덕노래연습장,"경기도 부천시 성주로 72, 지층 (송내동)",경기도 부천시 송내동 453-11 ,032-655-4712
14,명품 노래연습장,"경기도 부천시 경인로 51-1, 2층 (송내동)",경기도 부천시 송내동 345-9 2층 ,032-613-9899
15,가족노래연습장,"경기도 부천시 중동로 36 (송내동, 샬롬빌딩)",경기도 부천시 송내동 389-10 지층 ,032-665-5804
16,해든노래연습장,"경기도 부천시 송내대로42번길 44, 2층 (송내동)",경기도 부천시 송내동 299-24 2층 ,032-6612434
17,칼라노래연습장,"경기도 부천시 성주로 103-3, 지층층 (송내동)",경기도 부천시 송내동 440-21 ,032-655-2102
18,경자노래연습장,"경기도 부천시 경인로216번길 20, 지층 (심곡본동)",경기도 부천시 심곡본동 665-14 ,032-657-7468
19,킹노래연습장,"경기도 부천시 심곡로33번길 15, 지층 (심곡본동)",경기도 부천시 심곡본동 601-12 ,032-341-3111
20,만남노래연습장,"경기도 부천시 심곡로 9, 2층 (심곡본동)",경기도 부천시 심곡본동 593-1 2층 ,032-664-9661
21,희망노래연습장,"경기도 부천시 성주로 274-2, 2층 (심곡본동)",경기도 부천시 심곡본동 736-2 2층 ,032-654-2165
22,복사골노래연습장,"경기도 부천시 성주로 190, 지층 (심곡본동)",경기도 부천시 심곡본동 628-1 ,032-612-4831
23,M.K노래연습장,"경기도 부천시 경인로234번길 7, 2층 (심곡본동)",경기도 부천시 심곡본동 672-4 2층 ,032-665-2288
24,가족노래연습장,경기도 부천시 성주로269번길 37 (심곡본동),경기도 부천시 심곡본동 663-7 지층 ,032-667-4242
25,앵콜노래연습장,"경기도 부천시 경인로 205, 지층 (심곡본동)",경기도 부천시 심곡본동 539-4 지층 ,032-673-5183
26,히딩크노래연습장,"경기도 부천시 경인로234번길 15, 2층 (심곡본동)",경기도 부천시 심곡본동 672-10 2F ,032-651-4406
27,가족노래연습장,"경기도 부천시 심곡로 65, 2층 (심곡본동)",경기도 부천시 심곡본동 622-16 2층 ,032-666-3799
28,메아리노래연습장,"경기도 부천시 심곡로9번길 40, 지층 (심곡본동)",경기도 부천시 심곡본동 665 ,032-611-8983
29,킹 노래연습장,"경기도 부천시 송내대로42번길 12, 2층 (송내동)",경기도 부천시 송내동 299-1 2층 ,032-653-7820
30,쿨 노래연습장,"경기도 부천시 성주로 200, 지층 (심곡본동)",경기도 부천시 심곡본동 639-24 ,
31,다모아노래연습장,"경기도 부천시 경인로 132, 지층 (송내동)",경기도 부천시 송내동 586 지층 ,032-663-7511
32,황진이노래연습장,"경기도 부천시 성주로 70, 지층 (송내동)",경기도 부천시 송내동 453-5 ,
33,웰빙노래연습장,"경기도 부천시 송내대로42번길 17, 2층 (송내동)",경기도 부천시 송내동 280-16 2층 ,
34,에쿠스노래연습장,"경기도 부천시 경인로 37, 지층 (송내동)",경기도 부천시 송내동 340-8 ,
35,탑노래연습장,"경기도 부천시 송내대로42번길 20, 지층 (송내동)",경기도 부천시 송내동 299-8 ,032-652-7731
36,루비노래연습장,"경기도 부천시 경인로150번길 18, 2층 (송내동)",경기도 부천시 송내동 579-28 2층 ,032-668-7079
37,고향노래연습장,"경기도 부천시 성주로 244-1, 지층 (심곡본동)",경기도 부천시 심곡본동 729-4 ,032-656-8749
38,이루미노래연습장,"경기도 부천시 경인로 110, 3층 (송내동)",경기도 부천시 송내동 385-3 ,032-666-6044
39,스타노래연습장,"경기도 부천시 송내대로 42, 지층 (송내동)",경기도 부천시 송내동 280-3 ,032-664-7684
40,꿀꿀이노래연습장,"경기도 부천시 경인로137번가길 65, 지층 (심곡본동)",경기도 부천시 심곡본동 526 ,
41,K 노래연습장,"경기도 부천시 경인로 11, 지층 (송내동)",경기도 부천시 송내동 329-11 ,032-613-5581
