업종명,인허가일자,업소명,소재지(도로명),소재지(지번),영업장면적,소재지전화,영업자시작일
유흥주점영업,1981-01-19,꽃마차캬바레나이트,"경기도 부천시 부천로 42 (심곡동, 부천중앙프라자 지하1호일부,지하3호일부))","경기도 부천시 심곡동 161-20 부천중앙프라자 지하1호일부,지하3호일부 ",673.2,032-661-4594,2008-06-03
유흥주점영업,1981-09-26,별천지노래바,"경기도 부천시 신흥로22번길 54, 지하1층 (심곡동)",경기도 부천시 심곡동 388-12 지하1층 ,123.5,032-654-1711,2020-05-27
유흥주점영업,1981-09-30,코리아노래광장,"경기도 부천시 부일로 494 (심곡동,(지상2층))",경기도 부천시 심곡동 170-1 (지상2층) ,128.28,032-611-7919,2017-09-28
유흥주점영업,1983-06-20,코코성인노래마당,"경기도 부천시 부천로 54 (심곡동,지하일부)",경기도 부천시 심곡동 158-10 지하일부 ,22.26,032-613-7171,2017-02-08
유흥주점영업,1983-12-17,가요메들리부천회관,경기도 부천시 부천로 36-1 (심곡동),경기도 부천시 심곡동 164-12 ,155.72,032-664-5045,2018-03-07
유흥주점영업,1983-04-29,씽씽미인촌,경기도 부천시 호현로497번길 12-4 (소사본동),경기도 부천시 소사본동 91-11 ,25.9,032-349-8787,2004-01-08
유흥주점영업,1984-05-16,짝꿍,"경기도 부천시 부일로 424, 지하1층 (심곡동)","경기도 부천시 심곡동 463-4 ,지하1층 ",96.43,032-657-1157,2016-02-25
유흥주점영업,1984-11-20,숲속,경기도 부천시 부일로483번길 31 (심곡동),경기도 부천시 심곡동 164-9 ,109.04,032-662-2997,2014-11-24
유흥주점영업,1984-07-27,환상노래빠,"경기도 부천시 심곡로9번길 41, 지하1층 (심곡본동)","경기도 부천시 심곡본동 666 ,지하1층 ",100.54,032-665-7878,2019-10-28
유흥주점영업,1985-10-02,공주노래광장,경기도 부천시 부일로483번길 21 (심곡동),경기도 부천시 심곡동 168-10 ,115.37,032-665-1227,2015-11-20
유흥주점영업,1986-03-05,파티노래바,경기도 부천시 부일로 444 (심곡동),경기도 부천시 심곡동 396-2 ,89.18,032-656-6074,2019-12-06
유흥주점영업,1987-06-17,세븐노래바,"경기도 부천시 경인로 212-1, 지하1층 (심곡본동)","경기도 부천시 심곡본동 667-9 ,10~14, 지하1층 ",194.73,032-611-2561,2018-02-28
유흥주점영업,1987-12-12,희망노래바,"경기도 부천시 경인로 198, 지하1층 (심곡본동)","경기도 부천시 심곡본동 589-4 ,지하1층 ",226.63,032-654-9443,2018-11-20
유흥주점영업,1988-12-17,보스노래바,경기도 부천시 부천로 49 (심곡동),경기도 부천시 심곡동 349-1 ,175.6,032-654-1253,2019-11-15
유흥주점영업,1989-06-22,짱노래바,경기도 부천시 부일로 742 (역곡동),경기도 부천시 역곡동 81-8 ,62.25,032-343-4832,2019-04-29
