업종,상호,등록일자,소재지(지번),소재지(도로명),객실수,등급,전화번호,데이터기준일자
관광호텔업,리젠시호텔,2008-11-13,경기도 성남시 분당구 서현동 249-5번지,경기도 성남시 분당구 황새울로 352 (서현동),56,1성,031-706-7400,2021-03-25
관광호텔업,호텔갤러리,2009-01-16,경기도 성남시 분당구 서현동 272-2번지 호텔갤러리,"경기도 성남시 분당구 황새울로 321 (서현동, 호텔갤러리)",111,3성,031-702-8200,2021-03-25
관광호텔업,호텔에스알 스위츠,2010-04-08,경기도 성남시 분당구 서현동 274-1번지,경기도 성남시 분당구 황새울로319번길 9 (서현동),66,2성,031-702-6565,2021-03-25
관광호텔업,바인호텔,2012-10-02,경기도 성남시 중원구 성남동 2191번지 바인호텔,"경기도 성남시 중원구 산성대로 184 (성남동, 바인호텔)",66,2성,031-721-3350,2021-03-25
관광호텔업,메이트호텔,2013-02-12,경기도 성남시 분당구 서현동 261-4번지,경기도 성남시 분당구 황새울로335번길 7 (서현동),62,2성,031-705-5111,2021-03-25
관광호텔업,코트야드 바이 매리엇 서울 판교,2014-04-29,경기도 성남시 분당구 삼평동 664번지,경기도 성남시 분당구 판교역로192번길 12 (삼평동),282,4성,031-8060-2000,2021-03-25
관광호텔업,호텔 루이스,2014-05-29,경기도 성남시 중원구 성남동 3251번지,경기도 성남시 중원구 광명로 22-1 (성남동),100,2성,031-753-5058,2021-03-25
관광호텔업,밀리토피아 호텔,2016-03-15,경기도 성남시 수정구 창곡동 566번지,경기도 성남시 수정구 위례대로 83(창곡동),149,4성,031-727-9300,2021-03-25
관광호텔업,호텔야자 관광호텔,2017-10-30,경기도 성남시 수정구 창곡동 561-2번지,경기도 성남시 수정구 위례광장로 9-10(창곡동),35,1성,031-759-0508,2021-03-25
호스텔업,호텔 루비 호스텔,2018-01-10,경기도 성남시 분당구 구미동 185-5번지,경기도 성남시 분당구 성남대로 30(구미동),24,,031-711-5211,2021-03-25
관광호텔업,서머셋센트럴분당,2018-01-18,경기도 성남시 분당구 서현동 261-1번지,경기도 성남시 분당구 황새울로311번길 36(서현동),206,3성,031-620-0038,2021-03-25
관광호텔업,카인드호텔,2019-04-17,경기도 성남시 분당구 서현동 261-3 번지,경기도 성남시 분당구 황새울로329번길 10 (서현동),92,3성,031-781-0006,2021-03-25
관광호텔업,㈜조선호텔앤리조트 그래비티서울판교,2020-12-15,경기도 성남시 분당구 백현동 538번지,경기도 성남시 분당구 판교역로146번길 2 (백현동),306,평가중,031-539-4800,2021-03-25
