시군구,구,기관명,기관담당자,연락처,주차장 주소,건물명(주차장명),위치정보,주차장 유형,위도,경도,개방시간_0212(목),개방시간_0213(금),개방시간_0214(토),개방시간_0215(일),참고사항,상시(업무시간) 무료개방여부,
성남시,분당구,성남시 차량등록사업소,유상희,031-729-3743,경기도 성남시 분당구 야탑로 327,성남시 차량등록사업소,건물 앞,부설,37.4072078,127.1540338,종일개방,종일개방,종일개방,종일개방,,O,
성남시,수정구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 수정구 산성대로 415,수상4,애기카페～지불릭커피솦,노상,37.4490148,127.1583417,종일개방,종일개방,종일개방,종일개방,주차면수:14,X,
성남시,수정구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 수정구 산성대로 395,수상5,GS편의점～오토카손세차장,노상,37.447423,127.1576442,종일개방,종일개방,종일개방,종일개방,주차면수:17,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 산성대로 380,중상24,나래빌딩～동일빌딩,노상,37.445677,127.1577994,종일개방,종일개방,종일개방,종일개방,주차면수:31,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 산성대로 326번길 2,중상25·26,GS편의점～도우인테리어,노상,37.4426323,127.1533209,종일개방,종일개방,종일개방,종일개방,주차면수:29,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 산성대로 414,중상27,옥주표구사～인쇄판촉물,노상,37.4486222,127.1590107,종일개방,종일개방,종일개방,종일개방,주차면수:27,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 산성대로 464,중상31,클릭옷가게～이디아커피,노상,37.4530265,127.1609043,종일개방,종일개방,종일개방,종일개방,주차면수:12,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 광명로 340,중상86,원할머니～일신종합공구,노상,37.4455384,127.1635352,종일개방,종일개방,종일개방,종일개방,주차면수:16,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 광명로 350,중상87,새성남교회～대관칠벽지,노상,37.445823,127.1647933,종일개방,종일개방,종일개방,종일개방,주차면수:7,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 광명로 351,중상88,가마로강정～김밥천국,노상,37.446337,127.1647232,종일개방,종일개방,종일개방,종일개방,주차면수:13,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 광명로 335,중상89,광명로약국～핸드폰가게,노상,37.4420045,127.1557097,종일개방,종일개방,종일개방,종일개방,주차면수:15,X,
성남시,수정구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 수정구 산성대로 285,수상7,게이트맨열쇠～하모니마트 앞,노상,37.4416293,127.1484809,종일개방,종일개방,종일개방,종일개방,주차면수:14,X,
성남시,수정구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 수정구 제일로 190,수상16,태평약국～유한지물,노상,37.4431657,127.1309118,종일개방,종일개방,종일개방,종일개방,주차면수:11,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 산성대로 280,중상13,이데아커피～코끼리부동산,노상,37.4407489,127.1463494,종일개방,종일개방,종일개방,종일개방,주차면수:32,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 산성대로 286,중상14,청진동해장국～코끼리부동산,노상,37.4409929,127.1489469,종일개방,종일개방,종일개방,종일개방,주차면수:30,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 산성대로 300,중상16,핸드폰～미니스톱,노상,37.4414482,127.1502334,종일개방,종일개방,종일개방,종일개방,주차면수:11,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 산성대로 310,중상18,축산물정육점～서울타일,노상,37.4417695,127.1513079,종일개방,종일개방,종일개방,종일개방,주차면수:20,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 산성대로 330,중상19·20,동아리호프～막썰어횟집,노상,37.4426582,127.1532258,종일개방,종일개방,종일개방,종일개방,주차면수:14,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 산성대로 340,중상21,이브자리～쿨노래방,노상,37.4432846,127.1543895,종일개방,종일개방,종일개방,종일개방,주차면수:18,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 산성대로 350,중상22,하늘생약국～이안경나라,노상,37.4437329,127.1553349,종일개방,종일개방,종일개방,종일개방,주차면수:8,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 산성대로 360,중상23,하나은행～호치스치킨,노상,37.4442044,127.1563806,종일개방,종일개방,종일개방,종일개방,주차면수:9,X,
성남시,수정구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 수정구 산성대로 195,수상9·10,으뜸자동차병원～쿠테타,노상,37.4374073,127.1398231,종일개방,종일개방,종일개방,종일개방,주차면수:36,X,
성남시,수정구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 수정구 산성대로 191,수상11,지인창호～수산타워,노상,37.4416093,127.142568,종일개방,종일개방,종일개방,종일개방,주차면수:33,X,
성남시,수정구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 수정구 산성대로 183,수상11-1,수산타워～황금주단,노상,37.4369114,127.1387857,종일개방,종일개방,종일개방,종일개방,주차면수:24,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 산성대로 106,중상1,원진빌팅～허브모텔,노상,37.4335501,127.1309925,종일개방,종일개방,종일개방,종일개방,주차면수:14,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 산성대로 116,중상2,허브모텔～초이스모텔,노상,37.4337706,127.1320532,종일개방,종일개방,종일개방,종일개방,주차면수:14,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 산성대로 130,중상3,아마테우스～수산리치빌,노상,37.4476264,127.152013,종일개방,종일개방,종일개방,종일개방,주차면수:30,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 산성대로 150,중상6·7,린나이가스기구～지웰에스데이트,노상,37.4345218,127.1358243,종일개방,종일개방,종일개방,종일개방,주차면수:40,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 산성대로 158,중상8·9,호 호텔～대우오피스텔,노상,37.4348075,127.1370765,종일개방,종일개방,종일개방,종일개방,주차면수:48,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 산성대로 180,중상10,대우오피스텔～바인호텔,노상,37.4359135,127.1389734,종일개방,종일개방,종일개방,종일개방,주차면수:51,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 산성대로 190,중상11,바인모텔～태양문구,노상,37.4360369,127.1399664,종일개방,종일개방,종일개방,종일개방,주차면수:48,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 산성대로 196,중상12,구들장모텔～라보주방,노상,37.4476264,127.152013,종일개방,종일개방,종일개방,종일개방,주차면수:42,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 사기막골로 106,중상32·75,삼영전자～한화테크원,노상,37.4380917,127.1751557,종일개방,종일개방,종일개방,종일개방,주차면수:208,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 사기막골로 52,중상33,파리크라상～우리은행사거리,노상,37.434828,127.1711609,종일개방,종일개방,종일개방,종일개방,주차면수:48,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 사기막골로 18,중상34·35,산성궁～성남전기,노상,37.4329754,127.1678254,종일개방,종일개방,종일개방,종일개방,주차면수:46,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 둔촌대로 415,중상36,SK공단주유소～원영볼터합성수지,노상,37.4332485,127.1632438,종일개방,종일개방,종일개방,종일개방,주차면수:20,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 둔촌대로 410,중상38·39,스타우드프라자～한일레미콘,노상,37.4308517,127.1550545,종일개방,종일개방,종일개방,종일개방,주차면수:21,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 둔촌대로 485,중상40,청운정밀～상대원소방서윗,노상,37.4308517,127.1550545,종일개방,종일개방,종일개방,종일개방,주차면수:20,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 둔촌대로 474,중상41,시콕스타워～선텍시티,노상,37.4312571,127.1692455,종일개방,종일개방,종일개방,종일개방,주차면수:17,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 둔촌대로 484,중상41-1,고려칼라인쇄～시콕스타웨앞,노상,37.431225,127.1705826,종일개방,종일개방,종일개방,종일개방,주차면수:10,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 금빛로 2,중상79(상·중·하),중원경찰서～황송공원+언덕중간～영원무역,노상,37.443573,127.1710526,종일개방,종일개방,종일개방,종일개방,주차면수:218,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 둔촌대로 285,중상47-1,대원부동산～가장맛있는족발,노상,37.4298013,127.1497674,종일개방,종일개방,종일개방,종일개방,주차면수:13,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 둔촌대로 265,중상48· 49,한약건재업～진로마트,노상,37.4293162,127.1474803,종일개방,종일개방,종일개방,종일개방,주차면수:19,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 둔촌대로 225,중상50,아사아주유소～코맥스,노상,37.4284316,127.1431471,종일개방,종일개방,종일개방,종일개방,주차면수:18,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 둔촌대로 250,중상57·58,방송고～한근반음식점,노상,37.4282099,127.1460082,종일개방,종일개방,종일개방,종일개방,주차면수:15,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 둔촌대로 120,중상67,모란성당～월드카오디오,노상,37.4308517,127.1550545,종일개방,종일개방,종일개방,종일개방,주차면수:13,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 둔촌대로 140,중상68· 69,처음처럼식당～LG훼센,노상,37.4286482,127.1342953,종일개방,종일개방,종일개방,종일개방,주차면수:19,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 둔촌대로 135번길,중상65,유한건철～진영타일,노상,37.4302679,127.133967,종일개방,종일개방,종일개방,종일개방,주차면수:14,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 둔촌대로 193번길,중상51,믿음교회～현대아이파크,노상,37.4292624,127.1406722,종일개방,종일개방,종일개방,종일개방,주차면수:14,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 둔촌대로 174번길,중상52·53,녹동우거지갈비탕～큰은혜교회,노상,37.4292848,127.1381782,종일개방,종일개방,종일개방,종일개방,주차면수:15,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 둔촌대로 365-379번길,중상43,락노래방～현대블루핸즈,노상,37.4326822,127.1576015,종일개방,종일개방,종일개방,종일개방,주차면수:20,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 성남동 4870번지 일대,모란1·2·4·5,모란가축시장 앞+성남여수LH단지 앞+모란다목적공영주차장 앞+여수단독주택지 앞,노상,37.4340286,127.1388351,종일개방,종일개방,종일개방,종일개방,주차면수:78,X,
성남시,수정구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 수정구 산성대로 465,수상1,장수골～현대자동차,노상,37.4533523,127.1602157,종일개방,종일개방,종일개방,종일개방,주차면수:10,X,
성남시,수정구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 수정구 산성대로 478,수상2,여성복지회관 주변,노상,37.4540494,127.1613133,종일개방,종일개방,종일개방,종일개방,주차면수:32,X,
성남시,수정구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 수정구 산성대로 505,수상20,부부한의원～대성수족관,노상,37.4564646,127.1624946,종일개방,종일개방,종일개방,종일개방,주차면수:35,X,
성남시,수정구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 수정구 산성대로 589,산성대로589,연놀부감자탕～GS25성남지점,노상,37.4623898,127.1683405,종일개방,종일개방,종일개방,종일개방,주차면수:24,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 산성대로 586,중상70,밀레～갯벌낙지수제비,노상,37.4617098,127.1685153,종일개방,종일개방,종일개방,종일개방,주차면수:14,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 산성대로 494,중상70-1,천성공구～SK텔레콤,노상,37.4552731,127.1623282,종일개방,종일개방,종일개방,종일개방,주차면수:18,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 산성대로 500,중상70-2,정관장～남한산성역,노상,37.4556766,127.162682,종일개방,종일개방,종일개방,종일개방,주차면수:22,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 산성대로 540,중상70-4·5,창행한의원～산성쌈밥,노상,37.4586745,127.1652393,종일개방,종일개방,종일개방,종일개방,주차면수:17,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 산성대로 550,중상70-6,세븐일레븐～또봉이통닭,노상,37.4593971,127.1658767,종일개방,종일개방,종일개방,종일개방,주차면수:25,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 산성대로 570,중상70-7,무봉리순대국～이이럽파스타,노상,37.4607575,127.1672497,종일개방,종일개방,종일개방,종일개방,주차면수:17,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 산성대로 580,중상70-8,화들짝～두꺼비슈퍼공판장,노상,37.4476264,127.152013,종일개방,종일개방,종일개방,종일개방,주차면수:14,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 산성대로 600,중상71,아이더～오대오칼국수,노상,37.4626296,127.1697622,종일개방,종일개방,종일개방,종일개방,주차면수:13,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 산성대로 208,중앙1,수진역1번～신한타워 앞,노상,37.4374351,127.1419189,종일개방,종일개방,종일개방,종일개방,주차면수:35,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 산성대로 220,중앙2,성호시장앞,노상,37.4382431,127.1418758,종일개방,종일개방,종일개방,종일개방,주차면수:36,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 산성대로 230,중앙3,성호시장앞,노상,37.4384956,127.1435194,종일개방,종일개방,종일개방,종일개방,주차면수:21,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 산성대로 238,중앙4,종가집떡～장충동왕족발,노상,37.4387311,127.1443066,종일개방,종일개방,종일개방,종일개방,주차면수:22,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 산성대로 254-1,중앙5,파파이스～영풍치킨 앞,노상,37.4398235,127.1458525,종일개방,종일개방,종일개방,종일개방,주차면수:13,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 산성대로 264,중앙6,아디다스～진선미교복 앞,노상,37.4401333,127.1466943,종일개방,종일개방,종일개방,종일개방,주차면수:15,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 산성대로 270-1,중앙7,신흥역2번출구～농협 앞,노상,37.440376,127.1473718,종일개방,종일개방,종일개방,종일개방,주차면수:23,X,
성남시,중원구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 중원구 산성대로 276-1,중앙8,신흥역1번～신흥역2번 앞,노상,37.4405695,127.1479651,종일개방,종일개방,종일개방,종일개방,주차면수:23,X,
성남시,수정구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 수정구 산성대로 273,중앙9,파리바게트～기업은행 앞,노상,37.4412422,127.1472738,종일개방,종일개방,종일개방,종일개방,주차면수:10,X,
성남시,수정구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 수정구 산성대로 237,중앙10,BYC건물～하이마트 앞,노상,37.4395404,127.1435809,종일개방,종일개방,종일개방,종일개방,주차면수:13,X,
성남시,수정구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 수정구 산성대로 223,중앙10-1,갈비가문～현대자동차앞,노상,37.4389236,127.1422726,종일개방,종일개방,종일개방,종일개방,주차면수:9,X,
성남시,수정구,성남도시개발공사,조영선,031-725-9419,경기도 성남시 수정구 산성대로 221,중앙11,대기가스～수진역4번 앞,노상,37.4382431,127.1418758,종일개방,종일개방,종일개방,종일개방,주차면수:20,X,
성남시,수정구,성남도시개발공사,공기연,031-725-9424,경기도 성남시 수정구 복정동 634,복정동634,환승주차장 뒤(복정역부근),기타(거주자전용),37.4678684,127.1271271,종일개방,종일개방,종일개방,종일개방,주차면수:74,X,
성남시,분당구,성남도시개발공사,공기연,031-725-9424,경기도 성남시 분당구 수내동 119-2,수내동119-2,수내고교아래(지평식),기타(거주자전용),37.36637385,127.1283545,종일개방,종일개방,종일개방,종일개방,주차면수:150,X,
성남시,중원구,성남시청,이종은,031-729-2189,경기도 성남시 중원구 성남대로 997(여수동),성남시청 부설주차장,건물 옆+지하주차장,부설,37.4178623,127.1274603,종일개방,종일개방,종일개방,종일개방,차단기있음,X,
성남시,수정구,성남시 수정구청,김승욱,031-729-5025,경기도 성남시 수정구 수정로 283,수정구청 부설주차장,건물 앞,부설,37.4503767,127.1458331,종일개방,종일개방,종일개방,종일개방,차단기있음,X,
성남시,중원구,성남시 중원구청,안성현,031-729-6029,경기도 성남시 중원구 제일로 36,중원구청 부설주차장,건물 앞,부설,37.4303917,127.1371238,종일개방,종일개방,종일개방,종일개방,주차면수:54+차단기있음,X,
성남시,수정구,성남시 수정구청,최보윤,031-729-5432,경기도 성남시 수정구 복정동 700-3,나눔주차장,주택가 공한지 ,노외,37.454841,127.1314278,종일개방,종일개방,종일개방,종일개방,주차면수:8,,
성남시,분당구,성남시 분당구청,이태열,031-729-7435,경기도 성남시 분당구 정자동 33-4,무료나눔주차장 ,주택가 공한지 ,노외,37.3733676,127.113033,종일개방,종일개방,종일개방,종일개방,주차면수:6,O,
성남시,분당구,성남시 분당구청,이태열,031-729-7435,경기도 성남시 분당구 운중동 1026-3,무료나눔주차장 ,주택가 공한지 ,노외,37.39036405,127.0823419,종일개방,종일개방,종일개방,종일개방,주차면수:9,O,
성남시,분당구,성남시 분당구청,이태열,031-729-7435,경기도 성남시 분당구 운중동 1036-4,무료나눔주차장 ,주택가 공한지 ,노외,37.38979099,127.0803933,종일개방,종일개방,종일개방,종일개방,주차면수:7,O,
성남시,중원구,성남시 문화예술과,김가영,031-729-2697,경기도 성남시 중원구 여수동 400,임시주차장,여수동 400번지,노외,37.41936297,127.1304274,종일개방,종일개방,종일개방,종일개방,주차면수:74,O,
성남시,수정구,성남시 수정구청,최보윤,031-729-5432,경기도 성남시 수정구 복정동 700-11,나눔주차장,주택가 공한지 ,노외,37.4547777,127.1310329,종일개방,종일개방,종일개방,종일개방,주차면수:14,O,
성남시,수정구,성남시 수정구청,최보윤,031-729-5432,경기도 성남시 수정구 복정동 639-2,나눔주차장,주택가 공한지 ,노외,37.4673518,127.1275763,종일개방,종일개방,종일개방,종일개방,주차면수:12,O,
성남시,수정구,성남시 수정구청,최보윤,031-729-5432,경기도 성남시 수정구 오야동 250-13,나눔주차장,주택가 공한지 ,노외,37.4542252,127.1052895,종일개방,종일개방,종일개방,종일개방,주차면수:10,O,
성남시,수정구,성남시 수정구청,최보윤,031-729-5432,경기도 성남시 수정구 상적동 337-11,공영 노외(무료) 주차장,주택가 공한지 ,노외,37.4256625,127.0683336,종일개방,종일개방,종일개방,종일개방,주차면수:10,O,
성남시,수정구,성남시 수정구청,최보윤,031-729-5432,경기도 성남시 수정구 상적동 294-4,공영 노외(무료) 주차장,주택가 공한지 ,노외,37.4276563,127.0704704,종일개방,종일개방,종일개방,종일개방,주차면수:20,O,
성남시,분당구,성남시 분당구청,이태열,031-729-7435,경기도 성남시 분당구 운중동 1030-4,무료나눔주차장 ,주택가 공한지 ,노외,37.38992862,127.0833323,종일개방,종일개방,종일개방,종일개방,주차면수:10,O,
성남시,분당구,성남시 분당구청,이태열,031-729-7435,경기도 성남시 분당구 운중동 1026-2,무료나눔주차장 ,주택가 공한지 ,노외,37.39052397,127.08239,종일개방,종일개방,종일개방,종일개방,주차면수:10,O,
성남시,분당구,성남시 분당구청,이태열,031-729-7435,경기도 성남시 분당구 운중동 1027-2,무료나눔주차장 ,주택가 공한지 ,노외,37.39029633,127.0825564,종일개방,종일개방,종일개방,종일개방,주차면수:10,O,
성남시,분당구,성남시 분당구청,이태열,031-729-7435,경기도 성남시 분당구 이매동 321,무료나눔주차장 ,주택가 공한지 ,노외,37.3904408,127.1398224,종일개방,종일개방,종일개방,종일개방,주차면수:43,O,
성남시,수정구,성남도시개발공사,이철훈,031-725-9447,경기도 성남시 수정구 단대동 산 164-20,논골주차장,해당주소지,노외,37.46142707,127.1562061,종일개방,종일개방,종일개방,미개방(정상운영),장애인전용:4,X,
성남시,수정구,성남도시개발공사,이철훈,031-725-9447,경기도 성남시 수정구 수정로456번길 61,단대공원,해당주소지,노외,37.4570201,127.1554737,종일개방,종일개방,종일개방,미개방(정상운영),장애인전용:4,X,
성남시,수정구,성남도시개발공사,이철훈,031-725-9447,경기도 성남시 수정구 복정로20번길 16,복정제4,해당주소지,노외,37.45463648,127.1290477,종일개방,종일개방,종일개방,미개방(정상운영),장애인전용:4,X,
성남시,수정구,성남도시개발공사,이철훈,031-725-9447,경기도 성남시 수정구 복정로 55,복정제5,해당주소지,노외,37.45652247,127.126813,종일개방,종일개방,종일개방,미개방(정상운영),장애인전용:4,X,
성남시,수정구,성남도시개발공사,이철훈,031-725-9447,경기도 성남시 수정구 산성동 1810,산성제2,해당주소지,노외,37.45418521,127.1544743,종일개방,종일개방,종일개방,미개방(정상운영),장애인전용:4,X,
성남시,수정구,성남도시개발공사,이철훈,031-725-9447,경기도 성남시 수정구 수진동 4671,수진제4,해당주소지,노외,37.43690096,127.1265172,종일개방,종일개방,종일개방,미개방(정상운영),장애인전용:4,X,
성남시,수정구,성남도시개발공사,이철훈,031-725-9447,경기도 성남시 수정구 수정로279번길 3,수정공영,해당주소지,노외,37.44969783,127.1458726,종일개방,종일개방,종일개방,미개방(정상운영),장애인전용:4,X,
성남시,수정구,성남도시개발공사,이철훈,031-725-9447,경기도 성남시 수정구 희망로533번길 35,신흥제2,해당주소지,노외,37.44837443,127.1489722,종일개방,종일개방,종일개방,미개방(정상운영),장애인전용:4,X,
성남시,수정구,성남도시개발공사,이철훈,031-725-9447,경기도 성남시 수정구 공원로333번길 3,신흥3동,해당주소지,노외,37.44274699,127.1508764,종일개방,종일개방,종일개방,미개방(정상운영),장애인전용:4,X,
성남시,수정구,성남도시개발공사,이철훈,031-725-9447,경기도 성남시 수정구 논골로 40,양지제1,해당주소지,노외,37.4574328,127.1591358,종일개방,종일개방,종일개방,미개방(정상운영),장애인전용:4,X,
