구분,지정번호,명 칭,소유자 (보유자),소재지,소재지(도로명),관리단체,데이터기준일자
국보,제151-5호,조선왕조실록 봉모당본,국유,,"경기도 성남시 분당구 하오개로 323 (운중동, 한국학중앙연구원) ",한국학중앙연구원,2021-04-30
국보,제283호,통감속편,손성훈,,"경기도 성남시 분당구 하오개로 323, 한국학중앙연구원 (운중동)",한국학중앙연구원,2021-04-30
국보,제319-2호,동의보감,국유,,"경기도 성남시 분당구 하오개로 323 (운중동, 한국학중앙연구원)",한국학중앙연구원,2021-04-30
국보,제320호,월인천강지곡 권상,(주)미래엔,,"경기도 성남시 분당구 하오개로 323 (운중동, 한국학중앙연구원)",한국학중앙연구원,2021-04-30
국보,제335호,이십공신회맹축-보사공신녹훈후,국유,,"경기도 성남시 분당구 하오개로 323 (운중동, 한국학중앙연구원) ",한국학중앙연구원,2021-04-30
보물,제874호,이충원 호성공신교서,이용선,,"경기도 성남시 분당구 하오개로 323 (운중동, 한국학중앙연구원)",한국학중앙연구원,2021-04-30
보물,제1128호,"대방광불화엄경소 권21, 24",국유,,"경기도 성남시 분당구 하오개로 323 (운중동, 한국학중앙연구원)",한국학중앙연구원,2021-04-30
보물,제1129호,대불정다라니,국유,,"경기도 성남시 분당구 하오개로 323 (운중동, 한국학중앙연구원)",한국학중앙연구원,2021-04-30
보물,제1130호,약사유리광여래본원공덕경,국유,,"경기도 성남시 분당구 하오개로 323 (운중동, 한국학중앙연구원)",한국학중앙연구원,2021-04-30
보물,제1131호,범망경노사나불설보살심지계품 제10의하,국유,,"경기도 성남시 분당구 하오개로 323 (운중동, 한국학중앙연구원)",한국학중앙연구원,2021-04-30
보물,제1132호,백운화상초록불조직지심체요절,국유,,"경기도 성남시 분당구 하오개로 323 (운중동, 한국학중앙연구원)",한국학중앙연구원,2021-04-30
보물,제1135호,조온 사패왕지,국유,,"경기도 성남시 분당구 하오개로 323 (운중동, 한국학중앙연구원)",한국학중앙연구원,2021-04-30
보물,제1136-1호,입학도설,국유,,"경기도 성남시 분당구 하오개로 323 (운중동, 한국학중앙연구원)",한국학중앙연구원,2021-04-30
보물,제1197호,기묘제현수필,순흥안씨종중,,"경기도 성남시 분당구 하오개로 323 (운중동, 한국학중앙연구원)",한국학중앙연구원,2021-04-30
보물,제1198호,기묘제현수첩,순흥안씨종중,,"경기도 성남시 분당구 하오개로 323 (운중동, 한국학중앙연구원)",한국학중앙연구원,2021-04-30
보물,제1216호,손소 초상,손성훈,,"경기도 성남시 분당구 하오개로 323 (운중동, 한국학중앙연구원)",한국학중앙연구원,2021-04-30
보물,제1511호,국조정토록,국유,,"경기도 성남시 분당구 하오개로 323 (운중동, 한국학중앙연구원)",한국학중앙연구원,2021-04-30
보물,제1512호,이십공신회맹축 - 영국공신녹훈후,국유,,"경기도 성남시 분당구 하오개로 323 (운중동, 한국학중앙연구원)",한국학중앙연구원,2021-04-30
보물,제1514호,대방광원각수다라요의경 권상1의1,국유,,"경기도 성남시 분당구 하오개로 323 (운중동, 한국학중앙연구원)",한국학중앙연구원,2021-04-30
보물,제1515호,"대불정여래밀인수증요의제보살만행수능엄경 권2, 10",국유,,"경기도 성남시 분당구 하오개로 323 (운중동, 한국학중앙연구원)",한국학중앙연구원,2021-04-30
보물,제1535호,숙빈최씨 소령원도,국유,,"경기도 성남시 분당구 하오개로 323 (운중동, 한국학중앙연구원)",한국학중앙연구원,2021-04-30
보물,제1536호,월중도,국유,,"경기도 성남시 분당구 하오개로 323 (운중동, 한국학중앙연구원)",한국학중앙연구원,2021-04-30
보물,제1597호,아국여지도,국유,,"경기도 성남시 분당구 하오개로 323 (운중동, 한국학중앙연구원)",한국학중앙연구원,2021-04-30
보물,제1631-1호,영조어필 - 숙빈최씨사우제문원고,국유,,"경기도 성남시 분당구 하오개로 323 (운중동, 한국학중앙연구원)",한국학중앙연구원,2021-04-30
보물,제1631-2호,영조어필 - 숙빈최씨소령묘갈문원고,국유,,"경기도 성남시 분당구 하오개로 323 (운중동, 한국학중앙연구원)",한국학중앙연구원,2021-04-30
보물,제1632-3호,정조어필 - 시국제입장제생,국유,,"경기도 성남시 분당구 하오개로 323 (운중동, 한국학중앙연구원)",한국학중앙연구원,2021-04-30
보물,제1672-1호,송준길 행초 동춘당필적,정춘목,,"경기도 성남시 분당구 하오개로 323 (운중동, 한국학중앙연구원)",한국학중앙연구원,2021-04-30
보물,제1674호,박세당 필적 서계유묵,박범서,,"경기도 성남시 분당구 하오개로 323 (운중동, 한국학중앙연구원)",한국학중앙연구원,2021-04-30
보물,제1724호,박사익 초상,박만춘,,"경기도 성남시 분당구 하오개로 323 (운중동, 한국학중앙연구원)",한국학중앙연구원,2021-04-30
보물,제1756호,김응남 호성공신교서 및 관련 고문서,김명호,,"경기도 성남시 분당구 하오개로 323 (운중동, 한국학중앙연구원)",한국학중앙연구원,2021-04-30
보물,제1901-2호,조선왕조의궤,국유,,"경기도 성남시 분당구 하오개로 323 (운중동, 한국학중앙연구원)",한국학중앙연구원,2021-04-30
보물,제1926호,협주명현십초시,손성훈,,"경기도 성남시 분당구 하오개로 323 (운중동, 한국학중앙연구원)",한국학중앙연구원,2021-04-30
보물,제1927호,박동형 초상 및 함,박무남,,"경기도 성남시 분당구 하오개로 323 (운중동, 한국학중앙연구원)",한국학중앙연구원,2021-04-30
보물,제2070호,장용영 본영도형 일괄,"한국학중앙연구원,고려대학교",,"경기도 성남시 분당구 하오개로 323 (운중동, 한국학중앙연구원)",한국학중앙연구원,2021-04-30
보물,제2118호,"지정조격 권1∼12, 23∼34",손성훈,,"경기도 성남시 분당구 하오개로 323 (운중동, 한국학중앙연구원)",한국학중앙연구원,2021-04-30
국가무형문화재,제22호,매듭장,정봉섭,,,,2021-04-30
국가무형문화재,제23호,가야금산조,이영희,,,,2021-04-30
국가무형문화재,제92호,태평무,양성옥,,,,2021-04-30
국가등록문화재,제470-3호,김소월 시집 진달래꽃,이인석,,"경기도 성남시 분당구 중앙공원로 20, 409동 902호(서현동, 시범단지현대아파트)",이인석,2021-04-30
국가등록문화재,제528-2호,국문정리,한국학중앙연구원,경기도 성남시 분당구 하오개로 323 한국학중앙연구원,,한국학중앙연구원,2021-04-30
국가등록문화재,제529-2호,전보장정,한국학중앙연구원,경기도 성남시 분당구 하오개로 323 한국학중앙연구원,,한국학중앙연구원,2021-04-30
국가등록문화재,제637호,백용성 선사 만일선회 방함록,정토사,,경기도 성남시 수정구 옛골로42번길 3 (상적동),정토사,2021-04-30
경기도유형문화재,제101호,봉국사대광명전,대한불교조계종 봉국사,,경기도 성남시 수정구 태평로 79 (태평동),대한불교조계종 봉국사,2021-04-30
경기도유형문화재,제102호,망경암마애여래좌상,대한불교조계종 망경암,,경기도 성남시 수정구 태평로55번길 72 (복정동),대한불교조계종 망경암,2021-04-30
경기도유형문화재,제249호,만력기축 사마방목,박만춘,,"경기도 성남시 분당구 하오개로 323 (운중동, 한국학중앙연구원) ",한국학중앙연구원,2021-04-30
경기도유형문화재,제250호,박동량 호성공신교서,박만춘,,"경기도 성남시 분당구 하오개로 323 (운중동, 한국학중앙연구원) ",한국학중앙연구원,2021-04-30
경기도유형문화재,제261호,영가대사증도가남명천선사게송2책,대한불교천태종 분당대광사,,"충청북도 단양군 백자길 9 (영춘면, 구인사유물전시관) ",대한불교천태종 분당대광사,2021-04-30
경기도유형문화재,제262호,선종영가집언해권상1책,대한불교천태종 분당대광사,,"충청북도 단양군 백자길 9 (영춘면, 구인사유물전시관) ",대한불교천태종 분당대광사,2021-04-30
경기도유형문화재,제263호,경율이상1책권1-6,대한불교천태종 분당대광사,,"충청북도 단양군 백자길 9 (영춘면, 구인사유물전시관) ",대한불교천태종 분당대광사,2021-04-30
경기도유형문화재,제309호,성남 봉국사 목조아미타여래좌상,대한불교조계종 봉국사,,경기도 성남시 수정구 태평로 79 (태평동),대한불교조계종 봉국사,2021-04-30
경기도유형문화재,제310호,성남 봉국사 아미타불회도,대한불교조계종 봉국사,,"경기도 성남시 수정구 태평로 79 (태평동, 봉국사)",대한불교조계종 봉국사,2021-04-30
경기도유형문화재,제333호,성남 약사사 지장시왕도,한국불교여래종 약사사,,경기도 성남시 중원구 산성대로625번길 22 (은행동) ,한국불교여래종 약사사,2021-04-30
경기도무형문화재,제24호,나전칠기장,배금용,,,,2021-04-30
경기도무형문화재,제36-2호,대목장,장효순,,,,2021-04-30
경기도기념물,제54호,이수선생묘,전주이씨종중,,경기도 성남시 분당구 궁내로 52 (궁내동),전주이씨종중,2021-04-30
경기도기념물,제84호,이경석선생묘,전주이씨백헌공파종중,경기도 성남시 분당구 석운동 산16-18번지,,전주이씨백헌공파종중,2021-04-30
경기도기념물,제116호,한산이씨묘역,한산이씨종친회,경기도 성남시 분당구 수내동 산1-2번지,,한산이씨종친회,2021-04-30
경기도기념물,제118호,전주이씨태안군파묘역,전주이씨태안군파종친회,경기도 성남시 분당구 정자동 산11-1번지,,전주이씨태안군파종친회,2021-04-30
경기도기념물,제179호,천림산봉수지,성남시,경기도 성남시 수정구 금토동 산35번지 외,,성남시,2021-04-30
경기도기념물,제219호,둔촌이집묘역,광주이씨대종회,경기도 성남시 중원구 하대원동 243-11,,광주이씨대종회,2021-04-30
경기도문화재자료,제78호,수내동가옥(이택구가옥),성남시,경기도 성남시 분당구 수내3동 84번지,,성남시,2021-04-30
경기도문화재자료,제84호,청주한씨문정공파묘역신도비,청주한씨문정공파종중,경기도 성남시 분당구 율동 산2-1번지,,청주한씨문정공파종중,2021-04-30
경기도문화재자료,제136호,풍산군이종린묘역,전주이씨종중,경기도 성남시 분당구 하산운동 산 41-10 (하산운동 264-5),,전주이씨종중,2021-04-30
