시설유형,쉼터명,소재지도로명주소,소재지지번주소,설치일자,지정 공간,시설면적,수용규모,운영시간(평일),운영시간(주말),운영시간(공휴일),공기청정 설비,환기시설 설비,위도,경도,관리부서,전화번호,데이터기준일자
노인시설,신흥카네이션경로당,경기도 성남시 수정구 수정남로 115-1,경기도 성남시 수정구 신흥동 5411 ,2020-01-20,시설전체 / 신흥카네이션경로당,105.8,45,10:00~17:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.442674,127.140322,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,수정경로당,경기도 성남시 수정구 남문로74번길 11,경기도 성남시 수정구 태평동 3220,2020-01-20,시설전체 / 수정경로당,75.8,40,10:00~17:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.445421,127.135473,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,산우경로당,경기도 성남시 수정구 수정로56번길 20,경기도 성남시 수정구 수진동 4570,2020-01-20,시설전체 / 산우경로당,43.9,50,10:00~17:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.437735,127.127033,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,시흥경로당,경기도 성남시 수정구 여수대로56번길 6,경기도 성남시 수정구 시흥동 17-8,2020-01-20,시설전체 / 시흥경로당,257.8,40,10:00~17:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.422019,127.107995,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,금광경로당,경기도 성남시 중원구 산성대로408번길 26-1,경기도 성남시 중원구 금광동 3464,2020-01-20,시설전체 / 금광경로당,165.1,30,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.447392,127.161362,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,청로경로당,경기도 성남시 중원구 자혜로8번길 59-9,경기도 성남시 중원구 금광동 4331,2020-01-20,시설전체 / 청로경로당,192.1,30,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.445467,127.158811,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,정자경로당,경기도 성남시 중원구 은이로42번길 5,경기도 성남시 중원구 은행동 1220,2020-01-20,시설전체 / 정자경로당,131,30,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.455385,127.168384,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,정수경로당,경기도 성남시 중원구 희망로327번길 21-14,경기도 성남시 중원구 상대원동 5220-2,2020-01-20,시설전체 / 정수경로당,147.3,30,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.43442,127.15562,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,녹색경로당,경기도 성남시 분당구 발이봉로 17,경기도 성남시 분당구 수내동 110,2020-01-20,시설전체 / 녹색경로당,239.8,40,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.365096,127.127764,성남시 기후에너지과,031-729-3643,2021-04-30
노인시설,율동경로당,경기도 성남시 분당구 문정로 150,경기도 성남시 분당구 율동 111-8,2020-01-20,시설전체 / 율동경로당,411,60,09:00~18:00,미운영,미운영,Y(공기청정기 2대),Y(자연환기),37.383144,127.151122,성남시 기후에너지과,031-729-3643,2021-04-30
