구별,동별,시설구분,시설명,상세위치,소재지도로명주소,소재지지번주소,이용대상,수유시설 면적(㎡),비치 물품,수유시설 관리기관,관리부서 전화번호,비고,데이터기준일자
분당구,삼평동,가족수유실,삼평아이사랑놀이터,무인발급기 옆 별관 1층,"경기도 성남시 분당구 동판교로266번길 7 (삼평동, 삼평동 행정복지센터)",경기도 성남시 분당구 삼평동 712 ,외부인,3,소파+기저귀교환대+전자레인지+세면대+정수기+기타,삼평아이사랑놀이터,031-8017-1650,,2021-06-20
분당구,구미동,가족수유실,성남시구미도서관,1층 어린이실 내,"경기도 성남시 분당구 미금일로 105 (구미동, 구미도서관)",경기도 성남시 분당구 구미동 16,외부인,5,소파+온도계+기타,성남시구미도서관,031-729-4694,,2021-06-20
분당구,수내동,가족수유실,분당구청아이사랑놀이터,별관 2층 도시미관과 앞,"경기도 성남시 분당구 분당로 50 (수내동, 분당구청)",경기도 성남시 분당구 수내동 1,외부인,10,소파+테이블+기저귀교환대+전자레인지+세면대+정수기+기타,분당구청아이사랑놀이터,031-715-1640,,2021-06-20
분당구,정자동,가족수유실,이마트분당점,3층 문화센터 앞,"경기도 성남시 분당구 불정로 134 (정자동, 이마트)",경기도 성남시 분당구 정자동 211,외부인,17,소파+테이블+기저귀교환대+전자레인지+세면대+정수기+기타,지원팀,031-710-1253,,2021-06-20
분당구,야탑동,가족수유실,성남분당구보건소,2층 임산부실 내,"경기도 성남시 분당구 양현로 306 (야탑동, 분당보건소)",경기도 성남시 분당구 야탑동 349,외부인,23.1,소파+아기침대+전자레인지+기타,지역보건팀,031-729-4337,,2021-06-20
분당구,판교동,모유수유실,판교도서관,지하1층 어린이실 내,"경기도 성남시 분당구 운중로225번길 37 (판교동, 판교도서관)",경기도 성남시 분당구 판교동 553,외부인,5,소파+테이블+세면대+기타,자료정보팀,031-729-4589,,2021-06-20
분당구,수내동,가족수유실,수내아이사랑놀이터,3층 수내아이사랑놀이터 내,경기도 성남시 분당구 황새울로240번길 10-5 (수내동),경기도 성남시 분당구 수내동 12-3,외부인,17,소파+기저귀교환대+전자레인지+세면대+정수기+기타,성남시육아종합지원센터,031-716-1670,,2021-06-20
분당구,서현동,가족수유실,AK플라자분당점,5층 유아동 수미용실 맞은편,"경기도 성남시 분당구 황새울로360번길 42 (서현동, AK플라자)",경기도 성남시 분당구 서현동 263,외부인,132,소파+테이블+냉장고+기저귀교환대+아기침대+전자레인지+정수기+기타,CAN지원팀,031-719-3958,,2021-06-20
분당구,서현동,가족수유실,모유사랑분당본점,8층,"경기도 성남시 분당구 서현로180번길 13 (서현동, 서현프라자)",경기도 성남시 분당구 서현동 254-5 802호,외부인,5,소파+테이블+냉장고+아기침대+전자레인지+세면대+정수기+기타,모유수유클리닉,1600-5675,,2021-06-20
분당구,백현동,가족수유실,현대백화점판교점,7층 유아휴게실 내,"경기도 성남시 분당구 판교역로146번길 20 (백현동, 현대백화점 판교점)",경기도 성남시 분당구 백현동 541,외부인,132,소파+테이블+냉장고+아기침대+기저귀교환대+전자레인지+정수기+기타,판매기획팀,031-5170-2700,,2021-06-20
분당구,서현동,모유수유실,국민건강보험공단 성남남부지사,10층 사무실 내,경기도 성남시 분당구 황새울로 360번길 19,경기도 성남시 분당구 서현동 246-1,직원,33,소파+테이블+기타,행정지원팀,031-788-4110,수유시설 검색사이트 미등록,2021-06-20
분당구,구미동,모유수유실,홈플러스 분당오리점,지하1층 에스컬레이터 앞,경기도 성남시 분당구 탄천상로 151번길 20,경기도 성남시 분당구 구미동 159,외부인,16,소파+테이블+기저귀교환대,지원사무실,031-8039-8121,수유시설 검색사이트 미등록,2021-06-20
분당구,구미동,모유수유실,하나로클럽마트 성남점,"소매매장 고객센터 맞은편, 오른쪽 끝 ",경기도 성남시 분당구 성남대로 43번길 11 농수산물종합유통센터,경기도 성남시 분당구 구미동 174,외부인,20,소파+테이블+기저귀교환대+전자레인지+기타,고객센터실,031-738-9154,수유시설 검색사이트 미등록,2021-06-20
분당구,삼평동,모유수유실,코트야드 메리어트 서울 판교 호텔,8층 프론트 데스크 옆,경기도 성남시 분당구 판교역로 192번길 12,경기도 성남시 분당구 삼평동 664,외부인,10,소파+테이블+기저귀교환대+전자레인지+기타,시설부,031-8060-2080,수유시설 검색사이트 미등록,2021-06-20
수정구,신흥동,가족수유실,성남수정구보건소,3층 영양플러스실 옆,"경기도 성남시 수정구 수정로 218 (신흥동, 수정구보건소)",경기도 성남시 수정구 신흥동 3435,외부인,33,소파+테이블+기저귀교환대+아기침대+전자레인지+세면대+정수기+기타,지역보건팀,031-729-2498,,2021-06-20
수정구,신흥동,가족수유실,성남수정구청,1층 종합민원실 입구,"경기도 성남시 수정구 수정로 283 (신흥동, 수정구청)",경기도 성남시 수정구 신흥동 30,외부인,10,소파+테이블+기저귀교환대+아기침대+세면대+기타,시민봉사과,031-729-5081,,2021-06-20
