시설번호,시설유형,실내/실외,구,동,시설명,소재지주소,면적(㎡),설치일자,민간/공공구분,놀이기구종류,안전검사일(최종),안전관리자지정여부,보험가입여부,물놀이형놀이시설여부,관리자 연락처,데이터기준일자
133,어린이집,실외,분당구,수내동,분당구청어린이집 놀이시설,경기도 성남시 분당구 분당로 50 (수내동),,2008-08-20,민간,조합놀이대(1)+충격흡수용표면재(1)+기타(2),2020-08-06,Y,Y,N,031-713-2225,2021-06-30
179,주택단지,실외,중원구,하대원동,하대원 제일아파트 놀이터,"경기도 성남시 중원구 둔촌대로190번길 2 (하대원동, 제일아파트)", 110 ,1994-12-11,민간,흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(1),2021-02-15,Y,Y,N,031-755-4631,2021-06-30
335,도시공원,실외,분당구,야탑동,숲속(7호),경기도 성남시 분당구 야탑동 213-1, 223 ,2008-11-18,공공,그네(1)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(1),2020-08-28,Y,Y,N,031-729-7386,2021-06-30
404,주택단지,실외,수정구,단대동,논골 선경아파트 103동옆 놀이터,"경기도 성남시 수정구 논골로 87 (단대동, 선경논골1차아파트)",,2008-12-09,민간,그네(1)+흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(1)+철봉(1),2020-12-14,Y,Y,N,031-733-4444,2021-06-30
405,주택단지,실외,수정구,단대동,논골 선경아파트 관리소옆 놀이터,"경기도 성남시 수정구 논골로 87 (단대동, 선경논골1차아파트)",,2008-12-09,민간,그네(1)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(1)+철봉(1),2020-12-14,Y,Y,N,031-733-4444,2021-06-30
408,주택단지,실외,분당구,운중동,산운마을9단지 대방노블랜드 놀이터,"경기도 성남시 분당구 산운로 126 (운중동, 판교대방노블랜드아파트)",,2008-12-10,민간,그네(1)+흔들놀이기구(3)+조합놀이대(2)+충격흡수용표면재(1),2020-08-31,Y,Y,N,,2021-06-30
456,주택단지,실외,분당구,운중동,판교 LIG건영아파트 놀이터,"경기도 성남시 분당구 판교원로 7 (운중동, LIG건영아파트)",,2009-01-08,민간,그네(1)+흔들놀이기구(2)+오르는기구(1)+조합놀이대(1)+충격흡수용표면재(1),2021-01-15,Y,Y,N,,2021-06-30
457,주택단지,실외,분당구,삼평동,풍성신미주아파트 110동앞 놀이터,"경기도 성남시 분당구 동판교로 275 (삼평동, 봇들마을1단지풍성신미주아파트)",,2009-01-12,민간,흔들놀이기구(3)+충격흡수용표면재(1),2021-03-05,Y,Y,N,,2021-06-30
458,주택단지,실외,분당구,삼평동,풍성신미주아파트 113동앞 놀이터,"경기도 성남시 분당구 동판교로 275 (삼평동, 봇들마을1단지풍성신미주아파트)",,2009-01-12,민간,흔들놀이기구(6)+조합놀이대(1)+충격흡수용표면재(1),2021-03-05,Y,Y,N,,2021-06-30
461,주택단지,실외,분당구,삼평동,풍성신미주아파트 125동옆 놀이터,"경기도 성남시 분당구 동판교로 275 (삼평동, 봇들마을1단지풍성신미주아파트)",,2009-01-13,민간,그네(1)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(1),2021-03-05,Y,Y,N,,2021-06-30
462,주택단지,실외,분당구,삼평동,풍성신미주아파트 117동앞 놀이터,"경기도 성남시 분당구 동판교로 275 (삼평동, 봇들마을1단지풍성신미주아파트)",,2009-01-13,민간,흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(1),2021-03-05,Y,Y,N,,2021-06-30
511,주택단지,실외,분당구,판교동,한림풀에버아파트 901동앞 놀이터,"경기도 성남시 분당구 서판교로 29 (판교동, 판교원마을한림풀에버아파트)",,2009-02-27,민간,흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(1),2021-03-16,Y,Y,N,031-8016-7801,2021-06-30
512,주택단지,실외,분당구,판교동,한림풀에버아파트 916동앞 놀이터,"경기도 성남시 분당구 서판교로 29 (판교동, 판교원마을한림풀에버아파트)",,2009-02-27,민간,그네(1)+흔들놀이기구(3)+오르는기구(1)+조합놀이대(1)+충격흡수용표면재(1),2021-04-07,Y,Y,N,031-8016-7801,2021-06-30
513,주택단지,실외,분당구,판교동,한림풀에버아파트 913동앞 놀이터,"경기도 성남시 분당구 서판교로 29 (판교동, 판교원마을한림풀에버아파트)",,2009-02-27,민간,회전놀이기구(1)+흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(1),2021-04-07,Y,Y,N,031-8016-7801,2021-06-30
514,주택단지,실외,분당구,판교동,한림풀에버아파트 906동앞 놀이터,"경기도 성남시 분당구 서판교로 29 (판교동, 판교원마을한림풀에버아파트)",,2009-02-27,민간,그네(1)+흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(1),2021-03-16,Y,Y,N,031-8016-7801,2021-06-30
515,주택단지,실외,분당구,판교동,한림풀에버아파트 923동앞 놀이터,"경기도 성남시 분당구 서판교로 29 (판교동, 판교원마을한림풀에버아파트)",,2009-02-27,민간,미끄럼틀(1)+흔들놀이기구(2)+충격흡수용표면재(1),2021-03-16,Y,Y,N,031-8016-7801,2021-06-30
550,주택단지,실외,분당구,판교동,판교원마을12단지 휴먼시아 1207동 놀이터,"경기도 성남시 분당구 서판교로 165 (판교동, 판교원마을12단지아파트)",,2009-04-06,민간,흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(1),2021-03-26,Y,Y,N,031-8016-0322,2021-06-30
551,주택단지,실외,분당구,판교동,판교원마을11단지 휴먼시아힐스테이트 1113동옆 놀이터,"경기도 성남시 분당구 서판교로 147 (판교동, 판교원마을현대힐스테이트아파트)", 117 ,2009-04-06,민간,흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(1),2021-05-21,Y,Y,N,031-8017-3331,2021-06-30
552,주택단지,실외,분당구,판교동,판교원마을11단지 휴먼시아힐스테이트 1108동앞 놀이터,"경기도 성남시 분당구 서판교로 147 (판교동, 판교원마을현대힐스테이트아파트)", 134 ,2009-04-06,민간,조합놀이대(1)+충격흡수용표면재(1),2021-05-21,Y,Y,N,031-8017-3331,2021-06-30
678,주택단지,실외,분당구,삼평동,봇들마을9단지 금호어울림 904동 놀이터,"경기도 성남시 분당구 동판교로 156 (삼평동, 봇들마을9단지금호어울림아파트)",,2009-06-08,민간,조합놀이대(1)+충격흡수용표면재(1),2021-04-06,Y,Y,N,,2021-06-30
679,주택단지,실외,분당구,삼평동,봇들마을9단지 금호어울림 907동 놀이터,"경기도 성남시 분당구 동판교로 156 (삼평동, 봇들마을9단지금호어울림아파트)",,2009-06-08,민간,흔들놀이기구(2)+충격흡수용표면재(1),2021-04-06,Y,Y,N,,2021-06-30
680,주택단지,실외,분당구,삼평동,봇들마을9단지 금호어울림 908동 놀이터,"경기도 성남시 분당구 동판교로 156 (삼평동, 봇들마을9단지금호어울림아파트)",,2009-06-08,민간,조합놀이대(1)+충격흡수용표면재(1),2021-04-06,Y,Y,N,,2021-06-30
681,주택단지,실외,분당구,삼평동,봇들마을9단지 금호어울림 912동 놀이터,"경기도 성남시 분당구 동판교로 156 (삼평동, 봇들마을9단지금호어울림아파트)",,2009-06-08,민간,흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(1),2021-04-06,Y,Y,N,,2021-06-30
682,주택단지,실외,분당구,삼평동,봇들마을9단지 금호어울림 커뮤니케이션센터 2층 놀이터,"경기도 성남시 분당구 동판교로 156 (삼평동, 봇들마을9단지금호어울림아파트)",,2009-06-08,민간,그네(1)+미끄럼틀(1)+흔들놀이기구(3)+오르는기구(1)+충격흡수용표면재(1),2021-04-06,Y,Y,N,,2021-06-30
