연번,구별,상영관명,연락처,상영관소재지(도로명),데이터기준일자
1,분당구,CGV야탑 제1관,1544-1122,경기도 성남시 분당구 성남대로925번길 16 (야탑동),2021-03-31
2,분당구,CGV야탑 제2관,1544-1122,"경기도 성남시 분당구 성남대로925번길 16 (야탑동,테마폴리스 지하2층)",2021-03-31
3,분당구,CGV야탑 제3관,1544-1122,경기도 성남시 분당구 성남대로 925-16 (야탑동),2021-03-31
4,분당구,CGV야탑 제4관,1544-1122,"경기도 성남시 분당구 성남대로925번길 16 (야탑동,테마폴리스 지하2층)",2021-03-31
5,분당구,CGV야탑 제5관,1544-1122,"경기도 성남시 분당구 성남대로925번길 16 (야탑동, 테마폴리스 지하2층)",2021-03-31
6,분당구,CGV야탑 제6관,1544-1122,"경기도 성남시 분당구 성남대로925번길 16 (야탑동,테마폴리스 지하2층)",2021-03-31
7,분당구,CGV야탑 제7관,1544-1122,"경기도 성남시 분당구 성남대로925번길 16 (야탑동,테마폴리스 지하2층)",2021-03-31
8,분당구,CGV야탑 제8관,1544-1122,"경기도 성남시 분당구 성남대로925번길 16 (야탑동,테마폴리스 지하2층)",2021-03-31
9,분당구,CGV오리11 제1관,1544-1122,"경기도 성남시 분당구 탄천상로151번길 20 (구미동,뉴월드타운 4층)",2021-03-31
10,분당구,CGV오리11 제2관,1544-1122,"경기도 성남시 분당구 탄천상로151번길 20 (구미동,분당월드유통타운4층)",2021-03-31
11,분당구,CGV오리11 제3관,1544-1122,"경기도 성남시 분당구 탄천상로151번길 20 (구미동,분당월드유통타운4층)",2021-03-31
12,분당구,CGV오리11 제4관,1544-1122,"경기도 성남시 분당구 탄천상로151번길 20 (구미동,분당월드유통타운4층)",2021-03-31
13,분당구,CGV오리11 제5관,1544-1122,"경기도 성남시 분당구 탄천상로151번길 20 (구미동,분당월드유통타운4층)",2021-03-31
14,분당구,CGV오리11 제6관,1544-1122,"경기도 성남시 분당구 탄천상로151번길 20 (구미동,분당월드유통타운4층)",2021-03-31
15,분당구,CGV오리11 제7관,1544-1122,"경기도 성남시 분당구 탄천상로151번길 20 (구미동,분당월드유통타운4층)",2021-03-31
16,분당구,CGV오리11 제8관(CGV아트하우스),1544-1122,"경기도 성남시 분당구 탄천상로151번길 20 (구미동,분당월드유통타운4층)",2021-03-31
17,분당구,CGV오리11 제9관,1544-1122,"경기도 성남시 분당구 탄천상로151번길 20 (구미동,분당월드유통타운4층)",2021-03-31
18,분당구,CGV오리11 제10관,1544-1122,"경기도 성남시 분당구 탄천상로151번길 20 (구미동,분당월드유통센타4층)",2021-03-31
19,수정구,롯데시네마성남신흥1관,1544-8855,경기도 성남시 수정구 산성대로 331 (신흥동),2021-03-31
20,수정구,롯데시네마 성남신흥2관,1544-8855,경기도 성남시 수정구 산성대로 331 (신흥동),2021-03-31
21,수정구,롯데시네마성남신흥3관,1544-8855,경기도 성남시 수정구 산성대로 331 (신흥동),2021-03-31
22,수정구,롯데시네마성남신흥4관,1544-8855,경기도 성남시 수정구 산성대로 331 (신흥동),2021-03-31
23,수정구,롯데시네마성남신흥5관,1544-8855,경기도 성남시 수정구 산성대로 331 (신흥동),2021-03-31
24,수정구,롯데시네마성남신흥6관,1544-8855,경기도 성남시 수정구 산성대로 331 (신흥동),2021-03-31
25,수정구,롯데시네마성남중앙1관,1544-8855,경기도 성남시 수정구 산성대로 267 (신흥동),2021-03-31
26,수정구,롯데시네마성남중앙2관,1544-8855,경기도 성남시 수정구 산성대로 267 (신흥동),2021-03-31
27,수정구,롯데시네마성남중앙3관,1544-8855,경기도 성남시 수정구 산성대로 267 (신흥동),2021-03-31
28,수정구,롯데시네마성남중앙4관,1544-8855,경기도 성남시 수정구 산성대로 267 (신흥동),2021-03-31
29,수정구,롯데시네마성남중앙5관,1544-8855,경기도 성남시 수정구 산성대로 267 (신흥동),2021-03-31
30,수정구,롯데시네마성남중앙6관,1544-8855,경기도 성남시 수정구 산성대로 267 (신흥동),2021-03-31
31,수정구,롯데시네마성남중앙7관,1544-8855,경기도 성남시 수정구 산성대로 267 (신흥동),2021-03-31
32,수정구,롯데시네마성남중앙8관,1544-8855,경기도 성남시 수정구 산성대로 267 (신흥동),2021-03-31
