구별,동별,업종구분,사업장명,소재지지번주소,소재지도로명주소,소재지전화번호,소재지면적,놀이기구(시설) 종류,데이터기준일자
수정구,태평동,기타유원시설업,킹콩점프,경기도 성남시 수정구 태평동 7288-6 ,"경기도 성남시 수정구 수정로 175, 3층 (태평동, 동일빌딩)",031-755-4354,,붕붕뜀틀 2대+미니에어바운스 1대,2021-05-31
수정구,창곡동,기타유원시설업,쥬키즈런 위례신도시점,경기도 성남시 수정구 창곡동 509-2 ,"경기도 성남시 수정구 위례광장로 310, A동 11층 (창곡동, 우성트램타워)",031-756-5566,,,2021-05-31
수정구,창곡동,기타유원시설업,슈슈봉봉 위례신도시점,경기도 성남시 수정구 창곡동 509 위례중앙역 중앙타워 502호,"경기도 성남시 수정구 위례광장로 300, 5층 2호 (창곡동)",031-721-8021,234.93,붕붕뜀틀 1대,2021-05-31
수정구,창곡동,기타유원시설업,라플레이키즈,경기도 성남시 수정구 창곡동 509 위례중앙역 중앙타워 ,"경기도 성남시 수정구 위례광장로 300, 위례중앙역 중앙타워 501,517호 (창곡동)",031-759-1357,410,트램폴린 1대,2021-05-31
수정구,창곡동,기타유원시설업,릴리펏 위례점,경기도 성남시 수정구 창곡동 560 위례우남역아이파크 ,"경기도 성남시 수정구 위례광장로 5, 위례우남역아이파크 213-215호 (창곡동)",031-753-7676,621.03,미니에어바운스 1대,2021-05-31
수정구,창곡동,기타유원시설업,위키즈52,경기도 성남시 수정구 창곡동 513-6 이너매스 위례 ,"경기도 성남시 수정구 위례동로 135-6, 이너매스 위례 10층 (창곡동)",031-755-5020,,어린이 트램폴린 5대,2021-05-31
중원구,성남동,기타유원시설업,점프노리 성남수진점,"경기도 성남시 중원구 성남동 2147, 6층 ","경기도 성남시 중원구 산성대로 202, 6층 (성남동, 한얼빌딩)",,258.76,붕붕뜀틀 2대,2021-05-31
중원구,도촌동,기타유원시설업,리틀비틀키즈카페 도촌점,"경기도 성남시 중원구 도촌동 569, 도촌대덕프라자2 ","경기도 성남시 중원구 도촌로8번길 14, 도촌대덕프라자2 206호 (도촌동)",,329.4,,2021-05-31
중원구,상대원동,기타유원시설업,도담캐슬 키즈파크,"경기도 성남시 중원구 상대원동 1578-1, 2층 ","경기도 성남시 중원구 박석로15번길 22, 2층 (상대원동)",031-732-6063,217.35,,2021-05-31
중원구,여수동,기타유원시설업,노리파크 성남 여수점,"경기도 성남시 중원구 여수동 617, 2층 ","경기도 성남시 중원구 연꽃로20번길 18-2, 2층 202호 (여수동)",031-758-3434,197.6,,2021-05-31
분당구,백현동,일반유원시설업,캐루셀,"경기도 성남시 분당구 백현동 541, 현대백화점 판교점 5층","경기도 성남시 분당구 판교역로146번길 20, 현대백화점 판교점 5층 (백현동)",,,,2021-05-31
