구,업종명,사업장명,영업상태,인허가일자,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적(㎡),소재지전체주소,도로명전체주소,데이터기준일자
중원구,일반음식점,통일식당,영업중,1999-10-20,-,-,-,-,34.29,경기도 성남시 중원구 금광동 3160번지 (1층),"경기도 성남시 중원구 광명로361번길 7, 1층 (금광동)",2021-03-31
중원구,일반음식점,밥주세요 행복한 밥상,영업중,2002-06-15,-,-,-,-,31.59,경기도 성남시 중원구 상대원동 2343번지 (1층),"경기도 성남시 중원구 금상로58번길 6, 1층 (상대원동)",2021-03-31
중원구,일반음식점,도솔마을,영업중,2002-11-19,-,-,-,-,74.25,경기도 성남시 중원구 상대원동 220번지 (2층),"경기도 성남시 중원구 금상로 124, 2층 (상대원동)",2021-03-31
분당구,일반음식점,시마스시,영업중,1999-04-08,-,-,-,-,20.56,경기도 성남시 분당구 수내동 14번지 롯데백화점 지하1층 일부,"경기도 성남시 분당구 황새울로200번길 45 (수내동, 롯데백화점 지하1층 일부)",2021-03-31
수정구,일반음식점,피엠푸드 양지점,영업중,2011-03-30,-,-,-,-,30.6,경기도 성남시 수정구 양지동 857 1층,"경기도 성남시 수정구 산성대로 489 (양지동,1층)",2021-03-31
중원구,일반음식점,참새방앗간,영업중,1999-05-10,-,-,-,-,39.52,경기도 성남시 중원구 성남동 3643번지 (1층),"경기도 성남시 중원구 제일로63번길 25-4, 1층 (성남동)",2021-03-31
분당구,일반음식점,아웃백스테이크하우스서현점,영업중,2002-09-18,-,-,-,-,564.27,경기도 성남시 분당구 서현동 251-1번지 야베스벨리 201-205호,"경기도 성남시 분당구 서현로 192 (서현동,야베스벨리 201-205호)",2021-03-31
수정구,일반음식점,성남야시장,영업중,2002-07-19,-,-,-,-,104.13,경기도 성남시 수정구 양지동 876번지 2층,"경기도 성남시 수정구 산성대로 479, 2층 (양지동)",2021-03-31
중원구,일반음식점,보쌈마루,영업중,2005-10-04,-,-,-,-,30,경기도 성남시 중원구 금광동 3479 2층 일부,"경기도 성남시 중원구 산성대로408번길 30, 2층 일부호 (금광동)",2021-03-31
분당구,일반음식점,에이치(H),영업중,2011-06-20,-,-,-,-,102.2,경기도 성남시 분당구 정자동 156-2번지 백궁프라자Ⅲ 3층 302호,"경기도 성남시 분당구 성남대로331번길 3-9 (정자동,백궁프라자Ⅲ 3층 302호)",2021-03-31
수정구,일반음식점,바다사랑회도매시장,영업중,2011-07-12,-,-,-,-,150.15,경기도 성남시 수정구 태평동 3475번지,"경기도 성남시 수정구 탄리로 86, 1층 (태평동)",2021-03-31
분당구,일반음식점,도솔마을,영업중,1999-12-03,-,-,-,-,81.29,경기도 성남시 분당구 정자동 55-5,경기도 성남시 분당구 내정로113번길 6 (정자동),2021-03-31
분당구,일반음식점,시골밥상집,영업중,2008-07-24,-,-,-,-,42.75,"경기도 성남시 분당구 서현동 89번지 서현파크프라자 125, 126호","경기도 성남시 분당구 중앙공원로31번길 42 (서현동, 서현파크프라자 125, 126호)",2021-03-31
중원구,일반음식점,흑장미,영업중,2011-08-02,-,-,-,-,23.88,"경기도 성남시 중원구 중앙동 411번지 ,1층","경기도 성남시 중원구 광명로 239-9, 1층 (중앙동)",2021-03-31
분당구,일반음식점,문,영업중,2000-01-26,-,-,-,-,45.58,경기도 성남시 분당구 야탑동 368-2번지 지하1층,"경기도 성남시 분당구 야탑로105번길 8 (야탑동,지하1층)",2021-03-31
분당구,일반음식점,수타우동 겐,영업중,2008-11-17,-,-,-,-,86.89,경기도 성남시 분당구 야탑동 503번지 야탑시장주차장 1층 103호일부,"경기도 성남시 분당구 야탑로 72 (야탑동,  야탑시장주차장 1층 103호일부)",2021-03-31
수정구,일반음식점,세이브존 성남점 진시앙,영업중,2009-07-08,-,-,-,-,22.35,경기도 성남시 수정구 신흥동 2463-5번지 세이브존 지하1층,"경기도 성남시 수정구 산성대로 337, 지하1층 (신흥동, 세이브존)",2021-03-31
중원구,일반음식점,모퉁이옷장(카페),영업중,2003-08-06,-,-,-,-,25.99,경기도 성남시 중원구 금광동 2806번지,경기도 성남시 중원구 금빛로94번길 13-1 (금광동),2021-03-31
