업소명,구별,주소(소재지),전화번호,주상품,데이터기준일자
김명진헤어센스,수정구,경기도 성남시 수정구 수정남로30번길14-1(수진동),031-758-9436,커트+퍼머,2021-04-23
대왕이발관,수정구,경기도 성남시 수정구 대왕판교로 982번길 6(고등동),031-723-7905,커트,2021-04-23
머리나라,수정구,경기도 성남시 수정구 수정로154번길 15-1(신흥동),031-721-5599,퍼머+커트,2021-04-23
메이찬,분당구,경기도 성남시 분당구 미금일로 90번길 36-5(구미동),031-716-9090,짜장면,2021-04-23
명동스넥,분당구,경기도 성남시 분당구 판교로 436(이매동),031-708-6881,칼국수+된장지개,2021-04-23
미앤디미용실,수정구,경기도 성남시 수정구 대왕판교로 976번길 3-8(고등동),070-8872-0034,커트,2021-04-23
부안집,분당구,경기도 성남시 분당구 내정로166번길 43(수내동),031-716-7668,갈비탕+냉면,2021-04-23
신정이용원,중원구,경기도 성남시 중원구 성남대로1147번길 12(성남동),031-755-1124,커트+염색,2021-04-23
실비이용원,중원구,경기도 성남시 중원구 자혜로8번길 57(금광동),031-743-4371,컷트+염색,2021-04-23
어머니손맛,수정구,"경기도 성남시 중원구 산성대로80번길 18, 1층(성남동)",031-758-7006,김밥,2021-04-23
에덴 헤어샵,수정구,"경기도 성남시 수정구 수정북로34, 지하1층 일부호(태평동)",,커트,2021-04-23
영광미용실,수정구,경기도 성남시 수정구 대왕판교로 976번길 9-7(고등동),031-723-7026,커트+퍼머,2021-04-23
왕두꺼비부대찌개,분당구,경기도 성남시 분당구 구미로11(구미동),031-717-8707,부대찌개,2021-04-23
종로해장국,중원구,경기도 성남시 중원구 광명로 319(금광동),031-731-3039,선지해장국+콩나물해장국+뼈해장국,2021-04-23
참소한우국밥,중원구,경기도 성남시 중원구 산성대로350번길 5(중앙동),031-749-2757,장터국밥+설렁탕,2021-04-23
충남이발관,중원구,경기도 성남시 중원구 산성대로396번길 18(금광동),031-734-7928,커트+염색,2021-04-23
투가리해장국,수정구,경기도 성남시 수정구 산성대로 595(양지동),031-733-1603,해장국,2021-04-23
포차생고기,수정구,경기도 성남시 수정구 대왕판교로982번길 3(고등동),031-722-5258,삼겹살(200g)+냉면,2021-04-23
한우리정육식당,수정구,경기도 성남시 수정구 수정남로 88(신흥동),031-756-4033,등심(200g)+김치찌개,2021-04-23
함경면옥,중원구,경기도 성남시 중원구 산성대로 566번길(은행동),031-732-9275,설렁탕,2021-04-23
man's baber shop,수정구,경기도 성남시 수정구 탄리로96번길 3(태평동),031-752-6935,커트,2021-04-23
