 모범업소명 , 주소 , 연락처 ,지정일자,최신지정일자,업태, 대표메뉴 ,기준일
 고궁누룽지백숙 , 경기도 수원시 장안구 정조로 1094-3 (송죽동) , 031-252-3391 ,2015-07-16,2020-06-02,한식, 누룽지백숙 ,2021-03-29
 곤드레밥집 , 경기도 수원시 장안구 장안로346번길 8 (이목동) , 031-269-0076 ,2017-07-13,2020-06-02,한식, 곤드레밥상 ,2021-03-29
 곤지암소머리국밥 , 경기도 수원시 장안구 경수대로 1099 (파장동) , 031-247-1066 ,2010-07-05,2020-06-02,한식, 국밥 ,2021-03-29
 골목집설렁탕 , 경기도 수원시 장안구 팔달로291번길 21-17 (영화동) , 031-242-6059 ,2008-06-27,2020-06-02,한식, 설렁탕 ,2021-03-29
 그집쭈꾸미 , 경기도 수원시 장안구 만석로 183 (송죽동) , 031-241-1359 ,2009-06-26,2020-06-02,한식, 쭈꾸미볶음 ,2021-03-29
 김경자소문난대구왕뽈찜 ," 경기도 수원시 장안구 경수대로973번길 13-17, 2층~4층 (송죽동) ", 031-245-8259 ,2020-06-02,,한식, 대구뽈찜 ,2021-03-29
 남가네설악추어탕 , 경기도 수원시 장안구 만석로19번길 11-7 (천천동) , 031-271-9993 ,2016-06-30,2020-06-02,한식, 추어탕+순대국 ,2021-03-29
 대박식당 ," 경기도 수원시 장안구 대평로 80, 1동 126호 (정자동, 정연메이저) ", 031-268-8782 ,2009-06-26,2020-06-02,한식, 생선구이 ,2021-03-29
 덕수궁 , 경기도 수원시 장안구 수일로123번길 115 (송죽동) , 031-252-5789 ,2010-07-05,2020-06-02,한식, 유황오리 ,2021-03-29
 돈수백 , 경기도 수원시 장안구 경수대로 880 (조원동) , 031-241-7300 ,2010-07-05,2020-06-02,한식, 돼지국밥 ,2021-03-29
 동원성 , 경기도 수원시 장안구 수성로327번길 12-20 (정자동) , 031-246-3930 ,2015-07-16,2020-06-02,중국식, 자장면 ,2021-03-29
 동태찌개 유명한집(본점) , 경기도 수원시 장안구 창룡대로207번길 5 (연무동) , 031-253-6265 ,2008-06-27,2020-06-02,한식, 동태찌개 ,2021-03-29
 돼지천하 , 경기도 수원시 장안구 정조로934번길 36 (영화동) , 031-255-0173 ,2020-06-02,,한식, 쭈꾸미삼겹살 ,2021-03-29
 등촌샤브칼국수 ," 경기도 수원시 장안구 대평로90번길 32, 203호 (정자동, 선일주차타운빌딩동) ", 031-269-2626 ,2003-08-11,2020-06-02,한식, 칼국수 ,2021-03-29
 만다린 ," 경기도 수원시 장안구 창훈로60번길 40, 1층 (연무동) ", 031-241-6312 ,2009-06-26,2020-06-02,중국식, 짜장면 ,2021-03-29
 만석골숯불화로구이 , 경기도 수원시 장안구 팔달로247번길 4 (영화동) , 031-242-8592 ,2008-06-27,2020-06-02,한식, 갈비구이 ,2021-03-29
 만석풍천민물장어 ," 경기도 수원시 장안구 송정로 31, 1,2층 (정자동) ", 031-256-3322 ,2008-06-27,2020-06-02,한식, 민물장어 ,2021-03-29
 맛고을코다리한상 , 경기도 수원시 장안구 조원로 124 (조원동) , 031-245-6432 ,2001-07-10,2020-06-02,한식, 코다리찜+아구찜+해물찜+해물탕 ,2021-03-29
 바람난장어 ," 경기도 수원시 장안구 광교산로 160, 지하1,지상1층 (하광교동) ", 031-246-5666 ,2007-07-02,2020-06-02,한식, 장어구이 ,2021-03-29
 박은자맛사랑 ," 경기도 수원시 장안구 대평로90번길 16, 201호 (정자동, 대일프라자) ", 031-269-5799 ,2019-06-05,2020-06-02,한식, 코다리찜+해물탕 ,2021-03-29
 백청우칼국수 , 경기도 수원시 장안구 금당로 1 (조원동) , 031-246-2005 ,2016-06-30,2020-06-02,한식, 해물칼국수 ,2021-03-29
 보영만두 , 경기도 수원시 장안구 화산로233번길 30 (율전동) , 031-227-6700 ,2013-07-04,2020-06-02,분식, 만두+쫄면 ,2021-03-29
 본가 왕뼈감자탕 , 경기도 수원시 장안구 정조로 1042 (송죽동) , 031-241-8433 ,2019-06-05,2020-06-02,한식, 감자탕 ,2021-03-29
 북경오리구이 ," 경기도 수원시 장안구 송원로 63 (송죽동, 신성빌딩) ", 031-242-5292 ,2006-06-27,2020-06-02,한식, 오리구이 ,2021-03-29
 북문해물탕 ," 경기도 수원시 장안구 정조로922번길 27 (영화동,1층) ", 031-243-2441 ,2017-07-13,2020-06-02,한식, 해물탕 ,2021-03-29
 북수원갈비 , 경기도 수원시 장안구 영화로26번길 9 (영화동) , 031-255-1565 ,2007-07-02,2020-06-02,식육(숯불구이), 돼지갈비 ,2021-03-29
 북수원화로 ," 경기도 수원시 장안구 천천로 233 (이목동,외6필지) ", 031-269-6566 ,2019-06-05,2020-06-02,한식, 소갈비+돼지갈비 ,2021-03-29
 북회원 , 경기도 수원시 장안구 정조로921번길 4 (영화동) , 031-245-6987 ,2001-07-10,2020-06-02,중국식, 짜장면+짬뽕 ,2021-03-29
 사강식당 , 경기도 수원시 장안구 팔달로 301 (영화동) , 031-256-7433 ,2008-06-27,2020-06-02,한식, 갈비구이 ,2021-03-29
 삼봉집 , 경기도 수원시 장안구 덕영대로511번길 29-12 (천천동) , 031-269-0357 ,2014-06-25,2020-06-02,한식, 한우생고기 ,2021-03-29
 삼풍가든 , 경기도 수원시 장안구 서부로 2388 (이목동) , 031-255-0969 ,2001-07-10,2020-06-02,한식, 갈비+갈비탕 ,2021-03-29
 성국갈비 ," 경기도 수원시 장안구 장안로76번길 37, 비동 1층 (정자동) ", 031-254-7674 ,2009-06-26,2020-06-02,한식, 갈비 ,2021-03-29
 송담추어탕 , 경기도 수원시 장안구 월드컵로 448 (영화동) , 031-247-7091 ,2009-06-26,2020-06-02,한식, 추어탕 ,2021-03-29
 송죽부산밀면국밥 ," 경기도 수원시 장안구 경수대로 914, 2층 (조원동) ", 031-248-3999 ,2016-06-30,2020-06-02,한식, 밀면+돼지국밥 ,2021-03-29
 송풍가든 , 경기도 수원시 장안구 경수대로 1013 (송죽동) , 031-252-4700 ,2001-07-10,2020-06-02,한식, 갈비+갈비탕+비빔밥 ,2021-03-29
 수천냉면 , 경기도 수원시 장안구 덕영대로497번길 8-1 (천천동) , 031-269-6868 ,2008-06-27,2020-06-02,한식, 냉면 ,2021-03-29
 시골보쌈&감자옹심이 , 경기도 수원시 장안구 경수대로 882 (조원동) , 031-241-5382 ,2018-06-01,2020-06-02,한식, 보쌈 ,2021-03-29
 시루향기 , 경기도 수원시 장안구 만석로 198 (송죽동) , 031-257-0035 ,2011-07-08,2020-06-02,한식, 콩나물국밥+오징어찜 ,2021-03-29
 신나는대게파티 ," 경기도 수원시 장안구 경수대로 1051, 가동 1층 (파장동) ", 031-256-3433 ,2019-06-05,2020-06-02,한식, 대게찜+킹크랩찜 ,2021-03-29
 신사강식당 , 경기도 수원시 장안구 정조로1088번길 11 (송죽동) , 031-247-5454 ,2008-06-27,2020-06-02,한식, 김치찌개 ,2021-03-29
 씨ㆍ후레쉬(Sea Fresh) ," 경기도 수원시 장안구 금당로 2, 2층 (조원동) ", 031-242-2920 ,2006-06-27,2020-06-02,일식, 바다가재 ,2021-03-29
 양촌리 ," 경기도 수원시 장안구 정조로 997, 1,2층 (송죽동) ", 031-253-8592 ,2018-06-01,2020-06-02,한식, 등심+돼지갈비 ,2021-03-29
 우와돈 ," 경기도 수원시 장안구 만석로5번길 6, 201호 (천천동, 세화프라자) ", 031-269-1588 ,2007-07-02,2020-09-09,한식, 제주오겹살+목살구이 ,2021-03-29
 원할머니보쌈족발 박가부대찌개 조원점 , 경기도 수원시 장안구 송원로 80 (조원동) , 031-244-5252 ,2006-06-27,2020-06-02,한식, 보쌈 ,2021-03-29
 육미옥(조원점) , 경기도 수원시 장안구 수일로 221 (조원동) , 031-255-8040 ,2013-07-04,2020-06-02,한식, 갈비 ,2021-03-29
 장도락 ," 경기도 수원시 장안구 팔달로 269, 3층 (영화동) ", 031-258-3200 ,2018-06-01,2020-06-02,한식, 도시락+컵밥 ,2021-03-29
 장수옻닭 , 경기도 수원시 장안구 영화로26번길 18 (영화동) , 031-245-7876 ,2008-06-27,2020-06-02,한식, 옻닭 ,2021-03-29
 장인족발608 , 경기도 수원시 장안구 정조로1088번길 18-1 (송죽동) , 031-255-0303 ,2017-07-13,2020-06-02,한식, 족발 ,2021-03-29
 장장정정 ," 경기도 수원시 장안구 팔달로259번길 39, 2층 (영화동) ", 031-246-7011 ,2020-06-02,,일식, 회류 ,2021-03-29
 제일숯불갈비 , 경기도 수원시 장안구 연무로 19 (연무동) , 031-248-3392 ,2007-07-02,2020-06-02,한식, 돼지갈비+소갈비 ,2021-03-29
 제주항 ," 경기도 수원시 장안구 율전로108번길 16, 가동 1층 (율전동) ", 031-291-9009 ,2015-07-16,2020-06-02,일식, 회류 ,2021-03-29
 주식회사 착한전복씨엔에프 ," 경기도 수원시 장안구 경수대로 1047, 2층 (파장동) ", 031-241-4455 ,2010-07-05,2020-06-02,한식, 전복 ,2021-03-29
 진포숯불돼지갈비 , 경기도 수원시 장안구 금당로9번길 74 (조원동) , 031-256-9202 ,2006-06-27,2020-06-02,한식, 돼지갈비 ,2021-03-29
 착한고기 ," 경기도 수원시 장안구 정자천로173번길 11-6, 201호 (정자동, 세경프라자) ", 031-247-4788 ,2012-07-05,2020-06-02,식육(숯불구이), 등심류 ,2021-03-29
 청담생고기 , 경기도 수원시 장안구 광교산로 18 (영화동) , 031-251-3383 ,2013-07-04,2020-06-02,식육(숯불구이), 생고기+갈비탕 ,2021-03-29
 청대문 곤드레밥 ," 경기도 수원시 장안구 정자천로 187, 롯데프라자 2층 202호 (정자동) ", 031-245-2921 ,2008-06-27,2020-07-21,한식, 곤드레밥상 ,2021-03-29
 최다연샤브샤브 ," 경기도 수원시 장안구 금당로 2, 1층 (조원동, ,30) ", 031-245-6889 ,2005-06-27,2020-06-02,한식, 샤브샤브 ,2021-03-29
 추미정 남원추어탕 , 경기도 수원시 장안구 파장천로 123 (파장동) , 031-271-6400 ,2016-06-30,2020-06-02,한식, 추어탕 ,2021-03-29
