녹지등록명,녹지구분,녹지위치,위도,경도, 면적(㎡) ,결정일자,데이터기준일자
연결녹지 제3호,연결녹지,영통구 매탄동 1209-3번지,37.26880084,127.0532515,1998.7,1991-02-08,2020-08-05
연결녹지 제8호,연결녹지,권선구 권선동 1354-57번지,37.23675667,127.02334,3475,2008-11-04,2020-08-05
연결녹지 제9호,연결녹지,장안구 조원동 519-74번지 일원,37.29778895,127.0191172,2873,2009-01-20,2020-08-05
연결녹지 제10호,연결녹지,팔달구 화서동 770번지,37.28802747,127.0022068,870,2009-03-13,2020-08-05
연결녹지 제11호,연결녹지,팔달구 화서동 771번지,37.28771236,127.0027318,190,2009-03-13,2020-08-05
연결녹지 제12호,연결녹지,장안구 이목동 310-3번지 일원,37.31361943,126.9833657,3116,2009-05-08,2020-08-05
연결녹지 제13호,연결녹지,장안구 이목동 317번지 일원,37.31385537,126.9840211,5544,2009-05-08,2020-08-05
연결녹지 제14호,연결녹지,장안구 이목동 325번지 일원,37.31329348,126.9853503,2992,2009-05-08,2020-08-05
연결녹지 제15호,연결녹지,장안구 이목동 321-2번지 일원,37.31396207,126.9855344,1841,2009-05-08,2020-08-05
연결녹지 제16호,연결녹지,장안구 정자동 945-1번지 일원,37.30734663,126.9823688,9021,2010-05-04,2020-08-05
연결녹지 제17호,연결녹지,장안구 정자동 944-1번지 ,37.30984798,126.984674,703,2010-05-04,2020-08-05
연결녹지 제18호,연결녹지,팔달구 인계동 319-6번지 ,37.27451847,127.0320685,2779,2012-10-19,2020-08-05
연결녹지 제19호,연결녹지,영통구 망포동 745번지 일원,37.24053446,127.0489771,375.4,2013-10-18,2020-08-05
연결녹지 제20호,연결녹지,영통구 망포동 743번지 일원,37.24066637,127.0494873,261.2,2013-10-18,2020-08-05
연결녹지 제21호,연결녹지,영통구 망포동 121-48번지 일원,37.24114985,127.0412075,2908,2016-11-01,2020-08-05
연결녹지 제1호(반정),연결녹지,영통구 망포동 777-13번지 일원,37.23389942,127.0478955,2355,2018-06-26,2020-08-05
연결녹지 제22호,연결녹지,영통구 망포동 747번지 일원,37.24037905,127.0484927,266.9,2017-03-09,2020-08-05
연결녹지 제23호,연결녹지,영통구 망포동 754번지 일원,37.24017241,127.0480449,343.3,2017-03-09,2020-08-05
연결녹지 제24호,연결녹지,권선구 곡반정동 대1-39 도로변,37.24541657,127.0359979,3050,2017-05-19,2020-08-05
연결녹지 제25호,연결녹지,권선구 곡반정동 대1-39 도로변,37.24541657,127.0359979,5742,2017-05-19,2020-08-05
연결녹지 제26호,연결녹지,권선구 곡반정동 대3-72 도로변,37.24541657,127.0359979,644,2017-05-19,2020-08-05
연결녹지 제27호,연결녹지,권선구 곡반정동 대3-72 도로변,37.24541657,127.0359979,2142,2017-05-19,2020-08-05
연결녹지 제28호,연결녹지,권선구 곡반정동 대3-72 도로변,37.24541657,127.0359979,1465,2017-05-19,2020-08-05
연결녹지 제29호,연결녹지,권선구 곡반정동 대3-72 도로변,37.24541657,127.0359979,3927,2017-05-19,2020-08-05
연결녹지 제1호(광교),연결녹지,영통구 하동 1027-2번지,37.28126644,127.0725781,3612.2,2011-11-29,2020-08-05
연결녹지 제1호(호매실),연결녹지,권선구 호매실동 1343-5번지 ,37.2697767,126.9438056,803,2008-01-11,2020-08-05
연결녹지 제2호(호매실),연결녹지,권선구 호매실동 1342-5번지,37.26915927,126.9431069,795.3,2008-01-11,2020-08-05
연결녹지 제32호,연결녹지,장안구 파장동 193번지 일원,37.31244677,126.9942202,740,2020-04-20,2020-08-05
연결녹지 제33호,연결녹지,장안구 파장동 198-10번지 일원,37.3133251,126.9955408,1770,2020-04-20,2020-08-05
연결녹지 제34호,연결녹지,장안구 이목동 478 일원,37.30840286,126.977912,1023,2020-05-15,2020-08-05
경관녹지 제1호,경관녹지,영통구 영통동 1054-5번지,37.26588824,127.0857881,6169.7,1994-01-10,2020-08-05
경관녹지 제2호,경관녹지,영통구 영통동 1051-1번지,37.25959271,127.08088,16003.2,1994-01-10,2020-08-05
경관녹지 제3호,경관녹지,영통구 영통동 1092번지,37.26202937,127.0770705,1601.7,1996-12-02,2020-08-05
경관녹지 제4호,경관녹지,영통구 영통동 1026-1번지,37.25218581,127.080928,19962.4,1994-01-10,2020-08-05
경관녹지 제5호,경관녹지,영통구 영통동 1025-10번지,37.24910032,127.0803823,5947,1994-01-10,2020-08-05
