시설명,사업분류,프로그램명,프로그램내용,대상지역,서비스 이용자격,이용가능인원,신청방법,요금구분,이용료,운영기간(일시),연락처,기준일
연무사회복지관,사례관리사업,사례관리,대상자의 욕구수준에 맞는 사례관리로 대상자와 그 가족의 역량을 강화하고 지역사회 자원을 연계하여 문제욕구 해결을 지원,"연무동, 율천동, 정자1동, 정자2동, 정자3동, 화서1동, 화서2동","만성적, 복합적 욕구가 있는 당사자와 그 가족",999,직접 신청 또는 연계 기관의뢰를 통해접수 상담후 사례판정회의를 통해 사례관리 당상자로 선정,무료,0,연중,031-245-7576,2020-12-31
연무사회복지관,사례관리사업,꿈디자이너사업,"청소년 꿈지원금 연계, 비전원정대, 캠프, 부모 교육, 부모자조모임, 국토대장정 참가 등",수원시,"(수급자,차상위,저소득)청소년",11,"전화, 내방접수",무료,0,연중,031-245-7576,2020-12-31
연무사회복지관,지역조직사업,인사캠페인,"코로나-19 상황에서도 가족, 이웃, 친구와 인사나눌 수 있는 캠페인 진행",연무동,지역주민 누구나,219,없음,무료,0,연 4회,031-245-7576,2020-12-31
연무사회복지관,지역조직사업,공동캠페인,"코로나-19 상황에서 소독, 응원 캠페인으로 지역주민 사기 독려",연무동,지역주민 누구나,160,"전화, 내방접수",무료,0,9~11월,031-245-7576,2020-12-31
연무사회복지관,지역조직사업,일상생활기술학교,아이들이 일상생활에 필요한 기술을 마을 선생님께 배우는 활동,"연무동, 우만동",초등학교 1~4학년생,22,"전화, 내방접수",무료,0,"방학중(1, 8월)",031-245-7576,2020-12-31
연무사회복지관,지역조직사업,사회복지현장실습,예비사회복지사 사회복지 현장실습,전국,사회복지학 관련 대학(원)생,10,"메일접수, 면접",유료,100000,"방학중(1, 8월)",031-245-7576,2020-12-31
연무사회복지관,지역조직사업,지서골 골목에서 놀자!,"연무동 주민모임 '지서골을 만들어가는 사람들'과 함께 연무동 주민에게 무료 강의, 문화예술 등을 접할 수 있게 도움",연무동,지역주민 누구나,999,"전화,내방접수",무료,0,연중,031-245-7576,2020-12-31
연무사회복지관,지역조직사업,자원봉사사업,"자원봉사 기본교육, 청소년자원봉사학교, 신규·기존 자원봉사자 교육, 자원봉사자 지지격려 프로그램",수원시,지역주민 누구나,999,"전화,내방접수",무료,0,"연중(월~금, 2,4주 토요일)",031-245-7576,2020-12-31
연무사회복지관,지역조직사업,주민모임공모,"연무동 주민모임을 발굴하여 예산, 공간지원을 통해 활성화",연무동,주민 3인이상 함께하는 모임,999,"전화,내방, 메일접수",무료,0,연중,031-245-7576,2020-12-31
연무사회복지관,지역조직사업,주민교육,"환경교육(초등학교 3~6학년/성인), 에니어그램교육(초등학교 3~6학년), 경제교육(초등학교 3~6학년)",수원시,"초등학교 3~6학년, 지역주민 누구나",40(각 10명씩),"전화, 내방접수",무료,0,11월~12월,031-245-7576,2020-12-31
연무사회복지관,지역조직사업,주인공(주민이 서로 인정하고 공유하는 모임),"프랑스자수, 레진아트, 손뜨개질 주민모임 진행",수원시,지역주민 누구나,30(각 10명씩),"전화, 내방접수",무료,0,7월~11월,031-245-7576,2020-12-31
연무사회복지관,지역조직사업,코로나 극복캠페인,"코로나-19 극복을 위한 응원메세지, 사진, 영상 제작을 통해 본 기관 이메일 또는 카카오채널, 직접 방문 등 전송을 통해 선발된 작품 응원 문구 현수막에 기재, 무작위 추첨을 통해 경품 지급",수원시,지역주민 누구나,999,"전화, 내방접수, 카카오채널 등",무료,0,26일간,031-245-7576,2020-12-31
연무사회복지관,지역조직사업,코로나 소독캠페인,"연무동에 거주하는 주민, 상인, 복지관 이용 당사자에게 무료 소독 및 공공시설 소독 진행",연무동,지역주민 누구나,999,"전화, 내방접수 등",무료,0,26일간,031-245-7576,2020-12-31
연무사회복지관,지역조직사업,코로나-19극복캠페인,"코로나 극복 응원하기(사진, 영상, 그림, 문구 등), 참여자 무작위 추첨 경품 전달, 선택된 응원문구 홍보 현수막 제작 후 거치",수원시,지역주민 누구나,999,"이메일, 카카오채널",무료,0,1회,031-245-7576,2020-12-31
연무사회복지관,지역조직사업,지역주민 욕구조사,주민과 사회복지사 개별 인터뷰를 통한 주민모임 욕구조사,연무동,지역주민 누구나,19,대면,무료,0,10~11월,031-245-7576,2020-12-31
연무사회복지관,지역조직사업,결연후원금지급,경제적 지원이 필요한 가정의 안정적인 경제생활 및 규모있는 생활환경을 조성하고자 결연후원금을 지급,수원시,"(수급자,차상위,저소득) 노인, 장애인, 한부모가정 등",75,"전화,내방접수 상담후 대상자 선정",무료,0,월 1회,031-245-7576,2020-12-31
연무사회복지관,서비스제공사업,찾아가는 이웃어른 생신잔치(추가),지역어르신 생신에 이웃과 함께 참여해 말벗과 정서적 지지에 도움,수원시,"(수급자,차상위,저소득)노인",48,내방상담후 결정,무료,0,매월 1회,031-245-7576,2020-12-31
연무사회복지관,서비스제공사업,밑반찬 제공,지역사회보호대상자에게 밑반찬을 만들어 배달,연무동,"(수급자,차상위,저소득)노인, 장애인",75,"전화,내방접수 상담후 대상자 선정",무료,0,"월2회(2,4주목)",031-245-7576,2020-12-31
연무사회복지관,서비스제공사업,주거환경개선,지역사회보호대상자에게전기시설수리지원(형광등교체등),연무동,"(수급자,차상위,저소득)노인, 장애인",10,"전화,내방접수 상담후 대상자 선정",무료,0,월1회,031-245-7577,2020-12-31
연무사회복지관,서비스제공사업,결연맺기,"심리정서적 지원 및 상담 자원봉사자를 활용하여 독거노인 말벗, 상담 등을 진행",연무동,"(수급자,차상위,저소득)노인, 장애인",30,"전화,내방접수 상담후 대상자 선정",무료,0,"월2회(2,4주토)",031-245-7576,2020-12-31
연무사회복지관,서비스제공사업,급식서비스,독거어르신들의 영양상태 및 건강관리를 위한 식사제공,연무동,"(수급자,차상위,저소득)노인",80,"전화,내방접수 상담후 대상자 선정",무료,0,월 3회,031-245-7576,2020-12-31
