업소명,업소소재지(도로명),업소소재지(지번),소재지전화,비고,담당자 연락처,데이터기준일
르씨엘,경기도 시흥시 호현로10번길 19 (신천동),경기도 시흥시 신천동 708-14 , 031- 313-3666,-,031-310-2485,2021-06-01
꼬모도모텔,경기도 시흥시 복지로 13-9 (신천동),경기도 시흥시 신천동 709-22 ,031 -313 -2411,-,031-310-2485,2021-06-01
크리스탈모텔,경기도 시흥시 도일로112번길 3 (거모동),경기도 시흥시 거모동 1657-1 , 031- 494-8200,-,031-310-2485,2021-06-01
곰모텔,경기도 시흥시 뱀내장터로 10-6 (신천동),경기도 시흥시 신천동 707-33 , 031- 311-4588,-,031-310-2485,2021-06-01
GG모텔,경기도 시흥시 호현로22번길 26 (신천동),경기도 시흥시 신천동 709-5 , 031- 315-6661,-,031-310-2485,2021-06-01
서브웨이호텔,경기도 시흥시 호현로10번길 15-3 (신천동),경기도 시흥시 신천동 707-15 , 031- 314-1331,-,031-310-2485,2021-06-01
베스트인호텔인사이드,경기도 시흥시 평안상가4길 18 (정왕동),경기도 시흥시 정왕동 1626-6 ,031 -499 -8666,-,031-310-2485,2021-06-01
플럼호텔,경기도 시흥시 평안상가4길 8-6 (정왕동),경기도 시흥시 정왕동 1623-2 ,031 -432 -6200,-,031-310-2485,2021-06-01
호텔플릇,경기도 시흥시 함송로14번길 13-10 (정왕동),경기도 시흥시 정왕동 1885-6 , 031- 433-4005,-,031-310-2485,2021-06-01
호텔알지(Hotel R.G),경기도 시흥시 월곶중앙로70번안길 36 (월곶동),경기도 시흥시 월곶동 1007-8 , 031- 318-0121,-,031-310-2485,2021-06-01
유니크호텔28&율,경기도 시흥시 월곶중앙로70번안길 28 (월곶동),경기도 시흥시 월곶동 1007-4 ,031 -318 -3110,-,031-310-2485,2021-06-01
샤인,경기도 시흥시 월곶중앙로58번길 32 (월곶동),경기도 시흥시 월곶동 1003-14 , 031- 318-0377,-,031-310-2485,2021-06-01
(주)시흥관광호텔,경기도 시흥시 평안상가4길 21 (정왕동),경기도 시흥시 정왕동 1622-6 , 031- 433-0001,-,031-310-2485,2021-06-01
쉘부르,경기도 시흥시 월곶중앙로70번안길 12 (월곶동),경기도 시흥시 월곶동 1003-3 , 031- 318-4778,-,031-310-2485,2021-06-01
짝모텔,경기도 시흥시 월곶중앙로70번안길 19 (월곶동),경기도 시흥시 월곶동 1004-9 , 031- 318-4411,-,031-310-2485,2021-06-01
떠블유(W)호텔,경기도 시흥시 복지로 13-11 (신천동),경기도 시흥시 신천동 709-20 , 031- 312-5091,-,031-310-2485,2021-06-01
리스,경기도 시흥시 월곶중앙로46번길 28-3 (월곶동),경기도 시흥시 월곶동 999-8 , 031- 318-8733,-,031-310-2485,2021-06-01
W호텔,경기도 시흥시 월곶중앙로58번길 25 (월곶동),경기도 시흥시 월곶동 1002-8 , 031- 318-2942,-,031-310-2485,2021-06-01
꿈의궁전여관,경기도 시흥시 호현로9번길 8-12 (신천동),경기도 시흥시 신천동 706-14 , 031- 318-7030,-,031-310-2485,2021-06-01
티(T)호텔,경기도 시흥시 옥구상가4길 8-2 (정왕동),경기도 시흥시 정왕동 1856-5 , 031- 431-4300,-,031-310-2485,2021-06-01
몽블랑파크,경기도 시흥시 월곶중앙로30번안길 10-3 (월곶동),경기도 시흥시 월곶동 998-5 ,031 -316 -2226,-,031-310-2485,2021-06-01
발렌타인모텔,경기도 시흥시 월곶중앙로70번안길 14 (월곶동),경기도 시흥시 월곶동 1003-4 , 031- 318-6666,-,031-310-2485,2021-06-01
크루즈호텔,경기도 시흥시 월곶중앙로70번안길 20 (월곶동),경기도 시흥시 월곶동 1003-7 , 031- 318-0104,-,031-310-2485,2021-06-01
정왕모텔,경기도 시흥시 서촌상가2길 38 (정왕동),경기도 시흥시 정왕동 1733-2 , 031- 433-8567,-,031-310-2485,2021-06-01
맨하탄모텔,경기도 시흥시 평안상가5길 3 (정왕동),경기도 시흥시 정왕동 1783-6 , 031- 432-8351,-,031-310-2485,2021-06-01
모텔힐튼,"경기도 시흥시 뱀내장터로 10-8 (신천동,(최초신고 1997.1.20))",경기도 시흥시 신천동 707-74 (최초신고 1997.1.20) , 031- 315-4497,-,031-310-2485,2021-06-01
플러스호텔(PLUS호텔),경기도 시흥시 월곶중앙로70번안길 35-1 (월곶동),경기도 시흥시 월곶동 1005-14 ,031 -420 -6900,-,031-310-2485,2021-06-01
마리,경기도 시흥시 월곶중앙로70번안길 32 (월곶동),경기도 시흥시 월곶동 1007-7 , 031- 318-2828,-,031-310-2485,2021-06-01
삼부장여관,"경기도 시흥시 동서로 1111 (논곡동,(최초신고 1985.12.16))",경기도 시흥시 논곡동 148-14 (최초신고 1985.12.16) , 031- 405-2790,-,031-310-2485,2021-06-01
로즈모텔,"경기도 시흥시 호현로22번길 1-12 (신천동,(최초신고 1977.9.20))",경기도 시흥시 신천동 707-60 (최초신고 1977.9.20) , 031- 313-9573,-,031-310-2485,2021-06-01
아이비모텔,"경기도 시흥시 호현로9번길 8-14 (신천동,(최초신고 1986.11.15))",경기도 시흥시 신천동 706-15 (최초신고 1986.11.15) , 031- 314-2500,-,031-310-2485,2021-06-01
AM모텔,"경기도 시흥시 호현로10번길 17-1 (신천동,(최초신고 1996.11.1))",경기도 시흥시 신천동 708-17 (최초신고 1996.11.1) , 031- 314-4012,-,031-310-2485,2021-06-01
세븐모텔,경기도 시흥시 월곶중앙로70번안길 35 (월곶동),경기도 시흥시 월곶동 1005-15 , 031- 404-3777,-,031-310-2485,2021-06-01
허니문모텔,"경기도 시흥시 중심상가로 201-9 (정왕동,4,5,6층)","경기도 시흥시 정왕동 1738-3 4,5,6층 ", 031- 499-4182,-,031-310-2485,2021-06-01
씨사이드,경기도 시흥시 함송로13번길 18 (정왕동),경기도 시흥시 정왕동 1879-1 , 031- 497-2244,-,031-310-2485,2021-06-01
