시군명,업체명,업종,소재지도로명주소,소재지지번주소,담당자 연락처,데이터기준일
시흥시,우리식당,일반음식점,경기도 시흥시 수인로 2776 (도창동),경기도 시흥시 도창동 144-25 ,031-310-2485,2021-06-01
시흥시,전라도내고향조개구이칼국수,일반음식점,경기도 시흥시 오이도로 149 (정왕동),경기도 시흥시 정왕동 1973-18 ,031-310-2485,2021-06-01
시흥시,거북선횟집,일반음식점,"경기도 시흥시 오이도로135번길 79 (정왕동, 1-3층)",경기도 시흥시 정왕동 2036-20 1-3층 ,031-310-2485,2021-06-01
시흥시,광일식당,일반음식점,경기도 시흥시 하우로122번길 55 (대야동),경기도 시흥시 대야동 1-2 ,031-310-2485,2021-06-01
시흥시,춘천명동닭갈비,일반음식점,,경기도 시흥시 신천동 707-7 ,031-310-2485,2021-06-01
시흥시,장수사철탕,일반음식점,경기도 시흥시 호현로40번길 17-1 (대야동),경기도 시흥시 대야동 492-22 ,031-310-2485,2021-06-01
시흥시,은행나무집양평해장국,일반음식점,"경기도 시흥시 신현로 25, A동 1층 (포동)",경기도 시흥시 포동 5-1 ,031-310-2485,2021-06-01
시흥시,의정부참부대고기,일반음식점,"경기도 시흥시 호현로22번길 18 (신천동,1층)",경기도 시흥시 신천동 708-6 1층 ,031-310-2485,2021-06-01
시흥시,원숯불갈비,일반음식점,경기도 시흥시 동서로 1111 (논곡동),경기도 시흥시 논곡동 148-14 ,031-310-2485,2021-06-01
시흥시,홍가네고려삼계탕,일반음식점,경기도 시흥시 호현로22번길 12-1 (신천동),경기도 시흥시 신천동 708-3 ,031-310-2485,2021-06-01
시흥시,우리집밥상,일반음식점,경기도 시흥시 도일로102번길 6 (거모동),경기도 시흥시 거모동 1659-29 ,031-310-2485,2021-06-01
시흥시,동해루,일반음식점,"경기도 시흥시 대골길 19-1, 102호 (대야동)",경기도 시흥시 대야동 444-3 102호,031-310-2485,2021-06-01
시흥시,한샘가든,일반음식점,경기도 시흥시 수인로 2124 (조남동),경기도 시흥시 조남동 597-3 ,031-310-2485,2021-06-01
시흥시,신천양꼬치,일반음식점,경기도 시흥시 호현로22번길 11 (신천동),경기도 시흥시 신천동 707-28 ,031-310-2485,2021-06-01
시흥시,포차어때,일반음식점,경기도 시흥시 신천3길 60 (신천동),경기도 시흥시 신천동 751-26 ,031-310-2485,2021-06-01
시흥시,메추리조아,일반음식점,경기도 시흥시 신천3길 46 (신천동),경기도 시흥시 신천동 758-16 ,031-310-2485,2021-06-01
시흥시,막걸리나2호점,일반음식점,경기도 시흥시 호현로22번길 20 (신천동),경기도 시흥시 신천동 709-0 ,031-310-2485,2021-06-01
시흥시,보드람치킨,일반음식점,경기도 시흥시 호현로 12 (신천동),경기도 시흥시 신천동 707-1 ,031-310-2485,2021-06-01
시흥시,대성식당,일반음식점,경기도 시흥시 시흥대로 1096 (신천동),경기도 시흥시 신천동 87-1 ,031-310-2485,2021-06-01
시흥시,혜성각,일반음식점,경기도 시흥시 복지로53번길 23 (대야동),경기도 시흥시 대야동 487-25 ,031-310-2485,2021-06-01
시흥시,해인회집,일반음식점,경기도 시흥시 호현로49번안길 1 (대야동),경기도 시흥시 대야동 483-22 ,031-310-2485,2021-06-01
시흥시,할매해장국,일반음식점,"경기도 시흥시 호현로 16-2 (신천동,1층)",경기도 시흥시 신천동 707-5 1층 ,031-310-2485,2021-06-01
시흥시,오로지 가정식 백반,일반음식점,경기도 시흥시 삼미시장4길 15 (신천동),경기도 시흥시 신천동 759-1 ,031-310-2485,2021-06-01
시흥시,어물전생선구이,일반음식점,경기도 시흥시 대골안길 58 (대야동),경기도 시흥시 대야동 487-11 ,031-310-2485,2021-06-01
시흥시,남가네 설악추어탕,일반음식점,경기도 시흥시 황고개로206번길 25 (거모동),경기도 시흥시 거모동 1408-1 ,031-310-2485,2021-06-01
시흥시,봉우재식당,일반음식점,"경기도 시흥시 봉우재로 203, 1층 (정왕동)",경기도 시흥시 정왕동 2262-11 1층 ,031-310-2485,2021-06-01
시흥시,초원숯불갈비,일반음식점,"경기도 시흥시 매화2로 3, 2층 (매화동)",경기도 시흥시 매화동 247-2 박애의원 ,031-310-2485,2021-06-01
시흥시,전주식당,일반음식점,경기도 시흥시 시흥대로 1104 (신천동),경기도 시흥시 신천동 산 28-5 ,031-310-2485,2021-06-01
시흥시,궁린,일반음식점,경기도 시흥시 복지로63번길 4-3 (대야동),경기도 시흥시 대야동 468-6 ,031-310-2485,2021-06-01
시흥시,다래성,일반음식점,경기도 시흥시 수인로3394번길 11 (신천동),경기도 시흥시 신천동 716-10 ,031-310-2485,2021-06-01
시흥시,샘,일반음식점,경기도 시흥시 호현로 24 (신천동),경기도 시흥시 신천동 707-69 ,031-310-2485,2021-06-01
시흥시,제임스딘경양식,일반음식점,경기도 시흥시 삼미시장2길 36 (신천동),경기도 시흥시 신천동 739-13 ,031-310-2485,2021-06-01
시흥시,민물메기매운탕,일반음식점,경기도 시흥시 복지로43번길 4-1 (대야동),경기도 시흥시 대야동 490-4 ,031-310-2485,2021-06-01
시흥시,황궁쟁반짜장,일반음식점,경기도 시흥시 동서로 1048-1 (조남동),경기도 시흥시 조남동 168-12 ,031-310-2485,2021-06-01
시흥시,처갓집양념치킨 삼보점,일반음식점,"경기도 시흥시 은행로 188-15 (대야동, 삼보상가1층1호)",경기도 시흥시 대야동 275 삼보상가1층1호 ,031-310-2485,2021-06-01
시흥시,페리카나치킨매화분점,일반음식점,경기도 시흥시 매화1로 21 (매화동),경기도 시흥시 매화동 253-11 ,031-310-2485,2021-06-01
시흥시,오복포차,일반음식점,경기도 시흥시 삼미시장4길 23 (신천동),경기도 시흥시 신천동 756-3 ,031-310-2485,2021-06-01
