업소명,소재지도로명주소,허가일,상태,데이터기준일자
라성관광호텔,경기도 안산시 단원구 화랑로 107 (원곡동),1987-06-16,영업/정상,"2020-06-30"
(주)에스앤비자산 안산지점 서원관광호텔,경기도 안산시 상록구 서암로 8 (사동),2000-11-16,영업/정상,"2020-06-30"
아우라관광호텔,경기도 안산시 상록구 양지편로 10 (이동),2007-06-26,영업/정상,"2020-06-30"
IMT관광호텔,경기도 안산시 상록구 성호로1길 12-4 (일동),2008-01-22,영업/정상,"2020-06-30"
대부도호텔 마리나,경기도 안산시 단원구 사근여길 5 (대부북동),2008-04-16,영업/정상,"2020-06-30"
하이비스호텔,경기도 안산시 단원구 중앙대로 885 (고잔동),2013-06-27,영업/정상,"2020-06-30"
C&B HOTEL,"경기도 안산시 상록구 상록수로 20 (본오동, 한울빌딩)",2015-01-13,영업/정상,"2020-06-30"
HOTEL SQUARE by savills,경기도 안산시 단원구 동산로 81 (원시동),2015-02-13,영업/정상,"2020-06-30"
호텔클로버,경기도 안산시 상록구 양지편로 22 (이동),2016-11-28,영업/정상,"2020-06-30"
엠에스산업(주) 로얄헤리티지호텔,"경기도 안산시 단원구 중앙대로 869 (고잔동, ROYALHERITAGEHOTEL)",2016-11-28,영업/정상,"2020-06-30"
로자벨호텔,경기도 안산시 단원구 원곡공원로 1 (원곡동),2018-06-04,영업/정상,"2020-06-30"
