 연번,읍면동,놀이터명,위치,설치일자,검사일,데이터 기준일,관리기관명,관리기관 전화번호
1,백석읍,능안,경기도 양주시 백석읍 방성리 산 4-10,2009-01-01,2020-11-16,2021-05-06,양주시 여성보육과,031-8082-5812
2,백석읍,오산리,"경기도 양주시 백석읍 오산리 517-8, 516-4",2010-01-01,2020-09-29,2021-05-06,양주시 여성보육과,031-8082-5812
3,백석읍,가업2리,경기도 양주시 백석읍 가업리 369-3,1999-01-01,2020-05-25,2021-05-06,양주시 여성보육과,031-8082-5812
4,남면,상수2리,경기도 양주시 남면 상수리 147-19,1999-01-01,2020-09-29,2021-05-06,양주시 여성보육과,031-8082-5812
5,남면,한산1리,경기도 양주시 남면 한산리 68-3,2013-01-01,2020-09-29,2021-05-06,양주시 여성보육과,031-8082-5812
6,남면,매곡리,경기도 양주시 남면 매곡리 306-3,2005-01-01,2020-11-16,2021-05-06,양주시 여성보육과,031-8082-5812
7,남면,입암2리,"경기도 양주시 남면 입암리 417-17,417-18",2005-01-01,2020-09-29,2021-05-06,양주시 여성보육과,031-8082-5812
8,광적면,거마울,"경기도 양주시 광적면 효촌리 559-7, 580-1(구)",1995-01-01,2020-05-25,2021-05-06,양주시 여성보육과,031-8082-5812
9,광적면,가납3리,경기도 양주시 광적면 가납리 506-1,2008-01-01,2020-11-16,2021-05-06,양주시 여성보육과,031-8082-5812
10,광적면,효촌1리,경기도 양주시 광적면 효촌리 334-5,2011-01-01,2020-11-16,2021-05-06,양주시 여성보육과,031-8082-5812
11,산북동,산북3통,경기도 양주시 산북동 295-25,2000-01-01,2021-04-21,2021-05-06,양주시 여성보육과,031-8082-5812
12,남방동,남방4통,"경기도 양주시 남방동 207-7, 206-54, 206-43",2015-01-01,2021-04-21,2021-05-06,양주시 여성보육과,031-8082-5812
13,회정동,탑동,"경기도 양주시 회정동 122, 129-1",2006-01-01,2020-09-29,2021-05-06,양주시 여성보육과,031-8082-5812
14,율정동,귀율,경기도 양주시 율정동 240-4,2010-01-01,2020-11-16,2021-05-06,양주시 여성보육과,031-8082-5812
15,고읍동,고읍현대아파트 1동 뒤 놀이터,경기도 양주시 고읍동 94,2009-04-03,2021-03-11,2021-05-06,양주시 안전건설과,031-8082-6742
16,장흥면,우남송추마을아파트 101동 놀이터,경기도 양주시 장흥면 부곡리 491,2009-06-18,2020-07-06,2021-05-06,양주시 안전건설과,031-8082-6742
17,광사동,유승한내들아파트 9단지 관리동앞 놀이터,"경기도 양주시 광사동 658, 유승한내들9단지아파트",2009-07-16,2019-09-20,2021-05-06,양주시 안전건설과,031-8082-6742
18,광사동,유승한내들아파트 9단지 901동옆 놀이터,"경기도 양주시 광사동 658, 유승한내들9단지아파트",2009-07-16,2019-09-20,2021-05-06,양주시 안전건설과,031-8082-6742
19,만송동,은빛마을유승한내들아파트 604동앞 놀이터,"경기도 양주시 만송동 697, 은빛마을유승한내들아파트",2009-07-16,2019-07-17,2021-05-06,양주시 안전건설과,031-8082-6742
20,고읍동,우미린아파트 301동 놀이터,"경기도 양주시 고읍동 451, 우미린아파트",2009-07-16,2019-06-28,2021-05-06,양주시 안전건설과,031-8082-6742
21,고읍동,우미린아파트 302동앞 놀이터,"경기도 양주시 고읍동 451, 우미린아파트",2009-07-16,2019-06-28,2021-05-06,양주시 안전건설과,031-8082-6742
22,고읍동,우미린아파트 303동앞 놀이터,"경기도 양주시 고읍동 451, 우미린아파트",2009-07-16,2019-06-28,2021-05-06,양주시 안전건설과,031-8082-6742
23,고읍동,우미린아파트 305동앞 놀이터,"경기도 양주시 고읍동 451, 우미린아파트",2009-07-16,2019-06-28,2021-05-06,양주시 안전건설과,031-8082-6742
