연번,업소명,업태명,주음식,소재지(도로명),전화번호,행정동,관리기관명,데이터기준일자
1,뫼골산장,식육(숯불구이),"등심, 치맛살",경기도 양주시 백석읍 기산로 423-2,031-871-7180,백석읍,위생과,2021-03-19
2,원봉산,한식,"쌈밥정식,영양돌솥",경기도 양주시 백석읍 권율로 1101,031-879-1005,백석읍,위생과,2021-03-19
3,양주골전통순대국,한식,순대국,경기도 양주시 부흥로 1387 (유양동),031-840-7660,양주1동,위생과,2021-03-19
4,담아,한식,식육,경기도 양주시 만송로 255 (만송동),031-821-7708,양주2동,위생과,2021-03-19
5,양주골 초계탕,탕류(보신용),초계탕,경기도 양주시 은현면 화합로 730,031-867-2788,은현면,위생과,2021-03-19
6,봉암식당,한식,식육,경기도 양주시 은현면 봉암길 17 (1층 일부),031-863-5064,은현면,위생과,2021-03-19
7,신선식당,한식,"오리구이,닭도리탕",경기도 양주시 장흥면 권율로309번길 149,031-855-5213,장흥면,위생과,2021-03-19
8,지호한방삼계탕,한식,한방삼계탕,경기도 양주시 광적면 광적로30번길 6-16,031-857-9998,광적면,위생과,2021-03-19
9,포동리한우,식육(숯불구이),"소고기,돼지고기",경기도 양주시 광적면 가래비11길 6,031-829-3766,광적면,위생과,2021-03-19
10,쌈마루,한식,쌈밥,"경기도 양주시 백석읍 양주산성로 565, 1동 1층",031-878-7879,백석읍,위생과,2021-03-19
11,양달마을국시,한식,국수류,경기도 양주시 백석읍 부흥로 999,031-855-3465,백석읍,위생과,2021-03-19
12,부추국수전문점,한식,부추국수,경기도 양주시 만송로 394-12 (만송동),0505-930-6000,양주2동,위생과,2021-03-19
13,만인식당,한식,"된장찌개,부대찌개",경기도 양주시 남면 개나리12길 21,031-863-6115,남면,위생과,2021-03-19
14,기산약수촌,식육(숯불구이),한우,경기도 양주시 백석읍 기산로 498-3,031-871-8712,백석읍,위생과,2021-03-19
15,청산유수,식육(숯불구이),토속음식,경기도 양주시 백석읍 기산로 484,031-876-8017,백석읍,위생과,2021-03-19
16,삼오식당,한식,"부대찌개,스테이크",경기도 양주시 부흥로1398번길 51 (유양동),031-840-8828,양주1동,위생과,2021-03-19
17,나들이,한식,한정석,"경기도 양주시 송랑로89번길 8 (만송동, 1층)",031-848-4760,양주2동,위생과,2021-03-19
18,신털뫼1,한식,"백숙,닭볶음탕",경기도 양주시 장흥면 권율로309번길 304-6,031-855-6936,장흥면,위생과,2021-03-19
19,평양면옥,냉면집,평양냉면,경기도 양주시 장흥면 호국로 515,031-826-4231,장흥면,위생과,2021-03-19
20,덕화원,중국식,"자장면,유산슬",경기도 양주시 덕정길 4,031-858-0103,회천1동,위생과,2021-03-19
21,산채마을 능이백숙,한식,"능이버섯백숙, 오리구이","경기도 양주시 화합로1325번길 22-8, 1층 (덕정동)",031-862-3689,회천1동,위생과,2021-03-19
22,착한소곱창,한식,소곱창,"경기도 양주시 고암길 358 (덕정동, 인아프라자 111,112호)",031-859-9285,회천3동,위생과,2021-03-19
23,현대고기마을,한식,돼지구이,경기도 양주시 광적면 광적로30번길 6-13 (2층),031-837-6689,광적면,위생과,2021-03-19
24,일미해물손칼국수,한식,칼국수,경기도 양주시 광적면 광적로30번길 6-23,031-855-7880,광적면,위생과,2021-03-19
25,아이가,경양식,돈까스,경기도 양주시 백석읍 권율로 1103,031-877-7892,백석읍,위생과,2021-03-19
26,산하식당,식육(숯불구이),한우,경기도 양주시 백석읍 기산로 410,031-871-9369,백석읍,위생과,2021-03-19
27,삼호산장,식육(숯불구이),한우전문,경기도 양주시 백석읍 기산로 435,031-876-2351,백석읍,위생과,2021-03-19
28,양주순대국,한식,순대국,경기도 양주시 부흥로 1379 (유양동),031-840-0233,양주1동,위생과,2021-03-19
29,송추부일식당,한식,부대찌개,경기도 양주시 부흥로 1338 (유양동),031-840-4343,양주1동,위생과,2021-03-19
30,두끼떡볶이(양주고읍점),한식,떡볶이,"경기도 양주시 고읍남로 36, 골든스퀘어 204,205호 (광사동)",031-821-2771,양주2동,위생과,2021-03-19
31,밀밭사랑,한식,칼국수,"경기도 양주시 부흥로1398번길 189 (남방동,외2필지(440-2,440-8))",031-845-5522,양주1동,위생과,2021-03-19
32,청수정&까페나무향기,기타,"추어탕, 삼계탕","경기도 양주시 칠봉산로168번길 43 (봉양동,외1필지)",031-857-5292,회천1동,위생과,2021-03-19
33,채선당(덕계점),한식,샤브샤브,경기도 양주시 평화로1479번길 8 (덕계동),031-859-5958,회천2동,위생과,2021-03-19
34,묵호횟집,일식,회,경기도 양주시 엄상동길 50-20 (고암동),031-861-6001,회천3동,위생과,2021-03-19
35,황우촌,한식,소고기 전문,경기도 양주시 백석읍 호명로 103-92,031-826-6692,백석읍,위생과,2021-03-19
