연번,묘지구분,묘지명,소재지,면적,총매장가능기수,기매장기수,향후매장가능기수,경도,위도,관리기관,기관전화번호,데이터기준일자
1,공설(공동) 묘지,방성리공설묘지,경기도 양주시 백석읍 방성리 산41,11008,325,284,41,127.01333,37.81872,양주시 사회복지과,031-8082-5791,2021-07-15
2,공설(공동) 묘지,복지리공설묘지,경기도 양주시 백석읍 복지리 산21외1,5950,296,218,78,126.99724,37.7809,양주시 사회복지과,031-8082-5791,2021-07-15
3,공설(공동) 묘지,용암리공설묘지,경기도 양주시 은현면 용암리 산65-1,4710,228,78,150,127.03026,37.85315,양주시 사회복지과,031-8082-5791,2021-07-15
4,공설(공동) 묘지,선암리공설묘지,경기도 양주시 은현면 선암리 산66-1외2,13189,593,21,572,127.02156,37.86567,양주시 사회복지과,031-8082-5791,2021-07-15
5,공설(공동) 묘지,하패리공설묘지,경기도 양주시 은현면 하패리 산77,20331,1068,800,268,127.03455,37.89387,양주시 사회복지과,031-8082-5791,2021-07-15
6,공설(공동) 묘지,도하리공설묘지,경기도 양주시 은현면 도하리 산47,2673,106,0,0,126.99761,37.84019,양주시 사회복지과,031-8082-5791,2021-07-15
7,공설(공동) 묘지,두곡리공설묘지,경기도 양주시 남면 두곡리 산44,3296,132,112,20,126.97343,37.8649,양주시 사회복지과,031-8082-5791,2021-07-15
8,공설(공동) 묘지,상수리공설묘지,경기도 양주시 남면 상수리 산21외1,12792,506,169,337,127.00223,37.85963,양주시 사회복지과,031-8082-5791,2021-07-15
9,공설(공동) 묘지,입암리공설묘지,경기도 양주시 남면 입암리 352-11,5157,233,208,25,126.9943239,37.8867884,양주시 사회복지과,031-8082-5791,2021-07-15
10,공설(공동) 묘지,한산리공설묘지,경기도 양주시 남면 한산리 220,6669,252,244,8,126.99531,37.90446,양주시 사회복지과,031-8082-5791,2021-07-15
11,공설(공동) 묘지,황방리공설묘지,경기도 양주시 남면 황방리 산8외1,14325,576,495,81,127.00034,37.93235,양주시 사회복지과,031-8082-5791,2021-07-15
12,공설(공동) 묘지,신산리공설묘지,경기도 양주시 남면 신산리 산13,7364,382,382,0,126.97976,37.88833,양주시 사회복지과,031-8082-5791,2021-07-15
13,공설(공동) 묘지,신암리공설묘지,경기도 양주시 남면 신암리 산69,7033,270,250,20,126.95687,37.91083,양주시 사회복지과,031-8082-5791,2021-07-15
14,공설(공동) 묘지,구암리공설묘지,경기도 양주시 남면 구암리 산16외1,5697,188,171,17,126.97851,37.88795,양주시 사회복지과,031-8082-5791,2021-07-15
15,공설(공동) 묘지,가납리공설묘지,경기도 양주시 광적면 가납리 산14,5455,545,3,0,126.99745,37.83981,양주시 사회복지과,031-8082-5791,2021-07-15
16,공설(공동) 묘지,광석리공설묘지,경기도 양주시 광적면 광석리 산1,2083,208,75,133,126.96701,37.83203,양주시 사회복지과,031-8082-5791,2021-07-15
17,공설(공동) 묘지,우고리공설묘지,경기도 양주시 광적면 우고리 산1,8231,823,345,478,126.96608,37.83191,양주시 사회복지과,031-8082-5791,2021-07-15
