시설명,시설 주소,수경시설 종류 ,"운영주체 (국가, 지자체, 공공기관, 민간)","민간시설 종류 (공공보건의료수행기관, 관광단지, 도시공원, 체육시설, 어린이놀이시설)",연중 운영기간,바닥면적(㎡),용수종류,채수 및 검사일,채수장소,pH(5.8~8.6),탁도(4NTU 이하),대장균(200 개체수/100mL 미만),유리잔류염소(0.4~4.0mg/L),초과원인 및 조치사항
고읍제1어린이공원 바닥분수,경기도 양주시 만송동 699,바닥분수,공공기관,해당없음,2020년 미운영(코로나19),43,수돗물,,"해당없음(미운영, 미채수)",,,,,없음
고읍제1어린이공원 바닥분수,경기도 양주시 만송동 699,바닥분수,지자체,해당없음,2개월(7월~8월),43,수돗물,2019-08-16,바닥분수 바닥,7.8,1.77,0,0.79,없음
고읍제1어린이공원 바닥분수,경기도 양주시 만송동 699,바닥분수,지자체,해당없음,2개월(7월~8월),43,수돗물,2019-08-02,바닥분수 바닥,7.5,0.7,0,0.4,없음
고읍제1어린이공원 바닥분수,경기도 양주시 만송동 699,바닥분수,지자체,해당없음,2개월(7월~8월),43,수돗물,2019-07-19,바닥분수 바닥,7.9,0.72,0,0.45,없음
고읍제1어린이공원 바닥분수,경기도 양주시 만송동 699,바닥분수,지자체,해당없음,2개월(7월~8월),43,수돗물,2019-07-05,바닥분수 바닥,7.8,0.48,0,1.05,없음
고읍제1어린이공원 바닥분수,경기도 양주시 만송동 699,바닥분수,지자체,해당없음,2개월(7월~8월),43,수돗물,2019-06-25,바닥분수 바닥,7.6,0.99,0,0.45,없음
고읍제2어린이공원 발물놀이터,경기도 양주시 고읍동 444,기타분수,공공기관,해당없음,2020년 미운영(코로나19),233,수돗물,,"해당없음(미운영, 미채수)",,,,,없음
고읍제2어린이공원 발물놀이터,경기도 양주시 고읍동 444,기타분수,지자체,해당없음,2개월(7월~8월),233,수돗물,2019-08-16,놀이대 바닥,7.5,0.58,0,0.91,없음
고읍제2어린이공원 발물놀이터,경기도 양주시 고읍동 444,기타분수,지자체,해당없음,2개월(7월~8월),233,수돗물,2019-08-02,놀이대 바닥,7.5,0.89,0,0.45,없음
고읍제2어린이공원 발물놀이터,경기도 양주시 고읍동 444,기타분수,지자체,해당없음,2개월(7월~8월),233,수돗물,2019-07-19,놀이대 바닥,7.6,0.16,0,0.55,없음
고읍제2어린이공원 발물놀이터,경기도 양주시 고읍동 444,기타분수,지자체,해당없음,2개월(7월~8월),233,수돗물,2019-07-05,놀이대 바닥,7.4,0.51,0,0.44,없음
고읍제2어린이공원 발물놀이터,경기도 양주시 고읍동 444,기타분수,지자체,해당없음,2개월(7월~8월),233,수돗물,2019-06-25,놀이대 바닥,7.7,0.97,0,0.43,없음
광적생활체육공원 발물놀이터,경기도 양주시 광적면 부흥로618번길 303,기타(발물놀이터),공공기관,해당없음,2020년 미운영(코로나19),576,지하수,,"해당없음(미운영, 미채수)",,,,,없음
광적생활체육공원 발물놀이터,경기도 양주시 광적면 부흥로618번길 303,기타(발물놀이터),지자체,해당없음,2개월(7월~8월),576,지하수,2019-08-22,놀이대 바닥,7,0.61,0,0.72,없음
광적생활체육공원 발물놀이터,경기도 양주시 광적면 부흥로618번길 303,기타(발물놀이터),지자체,해당없음,2개월(7월~8월),576,지하수,2019-08-12,놀이대 바닥,7.2,1.03,0,0.55,없음
