업종구분,상호명,소재지도로명주소,소재지지번주소,위도,경도,연락처,데이터기준일
인터넷컴퓨터게임시설제공업,제닉스 아레나 PC,경기도 양평군 양평읍 양평시장1길 18,경기도 양평군 양평읍 양근리 410-11 ,37.4901898438,127.4910522326,031-775-1098,2021-06-22
인터넷컴퓨터게임시설제공업,놀토PC방,경기도 양평군 양평읍 시민로 104 1층,경기도 양평군 양평읍 공흥리 473-5 ,37.4904785746,127.5032918377,,2021-06-22
인터넷컴퓨터게임시설제공업,월드pc방,경기도 양평군 양평읍 남북로 15,경기도 양평군 양평읍 창대리 674-7 ,37.4841780518,127.5006900079,,2021-06-22
인터넷컴퓨터게임시설제공업,PC POPCON,경기도 양평군 양평읍 양평시장길 14-1,경기도 양평군 양평읍 양근리 358-3 ,37.4905234287,127.4921607745,070-4685-1379,2021-06-22
인터넷컴퓨터게임시설제공업,뉴월드PC,경기도 양평군 용문면 용문로 347,경기도 양평군 용문면 다문리 720-4 ,37.4838173062,127.5925583175,,2021-06-22
인터넷컴퓨터게임시설제공업,소울 PC방,경기도 양평군 양평읍 양근로 197-2 2층,경기도 양평군 양평읍 양근리 308-1 ,37.4894056909,127.4915613611,,2021-06-22
인터넷컴퓨터게임시설제공업,오렌지 PC,경기도 양평군 용문면 용문역길 7-5,경기도 양평군 용문면 다문리 732-2 ,37.4839694587,127.5939271442,,2021-06-22
인터넷컴퓨터게임시설제공업,i-Free pc방,경기도 양평군 용문면 용문로371번길 2,경기도 양평군 용문면 다문리 331-15 ,37.4855013239,127.5945059381,,2021-06-22
인터넷컴퓨터게임시설제공업,뮤토PC방,경기도 양평군 양평읍 시민로 29 B101호,경기도 양평군 양평읍 양근리 180-5 지하1층,37.4903523108,127.4947173117,031-774-9877,2021-06-22
인터넷컴퓨터게임시설제공업,하늘다리PC방,경기도 양평군 용문면 용문역길 22 3층,경기도 양평군 용문면 다문리 737-62 ,37.4827436701,127.5938351227,031-774-2012,2021-06-22
인터넷컴퓨터게임시설제공업,SWEET PC CAFE,경기도 양평군 용문면 용문역길 3 2층,경기도 양평군 용문면 다문리 731-14 ,37.4839517543,127.5935199238,031-775-5335,2021-06-22
인터넷컴퓨터게임시설제공업,조은PC,경기도 양평군 용문면 용문역길 32,경기도 양평군 용문면 다문리 737-44 ,37.4823388052,127.5928845075,,2021-06-22
인터넷컴퓨터게임시설제공업,봉봉PC,경기도 양평군 양평읍 시민로 47 2층,경기도 양평군 양평읍 양근리 175-7 ,37.4908120868,127.4969344512,,2021-06-22
인터넷컴퓨터게임시설제공업,에코스PC방(양평점),경기도 양평군 양평읍 양근로 191,경기도 양평군 양평읍 양근리 348-1 ,37.4896580130,127.4907468740,,2021-06-22
인터넷컴퓨터게임시설제공업,아이센스리그PC 양평본점,경기도 양평군 양평읍 양근로 177,경기도 양평군 양평읍 양근리 417-1 ,37.4906133702,127.4896268610,,2021-06-22
인터넷컴퓨터게임시설제공업,GND ComFunny,경기도 양평군 양평읍 봉성길 110,경기도 양평군 양평읍 봉성리 336-4 ,37.4743084770,127.5450575309,,2021-06-22
인터넷컴퓨터게임시설제공업,강남pc,경기도 양평군 양서면 양수로150번길 3 1층,경기도 양평군 양서면 양수리 556-18 ,37.5446209940,127.3196236086,,2021-06-22
인터넷컴퓨터게임시설제공업,루나 PC방,경기도 양평군 양서면 양수로 163-1 3층,경기도 양평군 양서면 양수리 563-8 ,37.5447084537,127.3178800831,,2021-06-22
인터넷컴퓨터게임시설제공업,라이또PC 양평본점,경기도 양평군 양평읍 시민로 28,경기도 양평군 양평읍 양근리 195-9 ,37.4899376849,127.4947965246,,2021-06-22
인터넷컴퓨터게임시설제공업,땁PC,경기도 양평군 양평읍 양평시장길17번길 11-1,경기도 양평군 양평읍 양근리 309-2 ,37.4895138328,127.4912559275,,2021-06-22
인터넷컴퓨터게임시설제공업,여우PC,경기도 양평군 양평읍 양근로 212,경기도 양평군 양평읍 양근리 293-6 ,37.4885223767,127.4919460602,,2021-06-22
인터넷컴퓨터게임시설제공업,개군PC,경기도 양평군 개군면 하자포길 20 영재빌딩 1층,경기도 양평군 개군면 하자포리 224-16 영재빌딩 ,37.4250687074,127.5385292409,,2021-06-22
인터넷컴퓨터게임시설제공업,스타pc,경기도 양평군 양평읍 양평시장길23번길 3 3층,경기도 양평군 양평읍 양근리 410-6 ,37.4905864336,127.4908938163,,2021-06-22
인터넷컴퓨터게임시설제공업,강원PC랜드,경기도 양평군 용문면 용문시장5길 13-1 지하1층,경기도 양평군 용문면 다문리 324-2 ,37.4843466905,127.5956016626,,2021-06-22
인터넷컴퓨터게임시설제공업,땁PC,경기도 양평군 양평읍 시민로 112 3호,경기도 양평군 양평읍 공흥리 401-6 ,37.4904064416,127.5040497412,,2021-06-22
인터넷컴퓨터게임시설제공업,땁성인PC방,경기도 양평군 용문면 용문로340번길 3,경기도 양평군 용문면 다문리 742-5 ,37.4830962650,127.5924895624,,2021-06-22
일반게임제공업,세븐게임장,경기도 양평군 양평읍 양평시장1길 13 2층,경기도 양평군 양평읍 양근리 306-3 ,37.4897932727,127.4914708220,,2021-06-22
일반게임제공업,일번게임장,경기도 양평군 양평읍 양평시장길33번길 7 2층,경기도 양평군 양평읍 양근리 420-6 ,37.4908567316,127.4895363305,,2021-06-22
일반게임제공업,럭서리게임장,경기도 양평군 양평읍 양근로 167 3층,경기도 양평군 양평읍 양근리 422-2 ,37.4911541442,127.4891064272,,2021-06-22
일반게임제공업,오일장 게임랜드,경기도 양평군 양평읍 양평시장길18번길 5 2층,경기도 양평군 양평읍 양근리 408-9 ,37.4909560663,127.4918779262,,2021-06-22
일반게임제공업,동네게임장,경기도 양평군 용문면 용문시장2길 15,경기도 양평군 용문면 다문리 306-13 ,37.4836259796,127.5951256817,,2021-06-22
일반게임제공업,번개게임장,경기도 양평군 양평읍 양평시장길27번길 9 2층,경기도 양평군 양평읍 양근리 414-3 ,37.4902348383,127.4901246420,,2021-06-22
청소년게임제공업,소노문 양평,경기도 양평군 개군면 신내길7번길 55,경기도 양평군 개군면 공세리 389-7 ,37.4692648893,127.5326147650,031-770-7504,2021-06-22
청소년게임제공업,한화호텔앤드리조트(주),경기도 양평군 옥천면 신촌길 188,경기도 양평군 옥천면 신복리 141-5 ,37.5683116119,127.4548180242,031-772-3811,2021-06-22
청소년게임제공업,바이크게임장,경기도 양평군 용문면 용문로 277,경기도 양평군 용문면 삼성리 산 49-2 ,37.4797116187,127.5865474178,031-775-9911,2021-06-22
청소년게임제공업,파노라마게임,경기도 양평군 양평읍 양평대교길 3 (지1층),경기도 양평군 양평읍 양근리 263-3 ,37.4874948182,127.4919687937,,2021-06-22
청소년게임제공업,인형뽑기 노리터,경기도 양평군 양평읍 양평시장길18번길 3,경기도 양평군 양평읍 양근리 409-1 ,37.4908118427,127.4918100692,,2021-06-22
청소년게임제공업,뽑기짱,경기도 양평군 양평읍 양평시장길 14-3,경기도 양평군 양평읍 양근리 358-5 ,37.4903611764,127.4920702952,,2021-06-22
청소년게임제공업,뽑기뽑기,경기도 양평군 양서면 양수로150번길 3,경기도 양평군 양서면 양수리 556-18 ,37.5446209940,127.3196236086,,2021-06-22
청소년게임제공업,즐겨찾기 오락실,경기도 양평군 양평읍 양평시장길 22-1 불짱불닭 1층,경기도 양평군 양평읍 양근리 409-3 불짱불닭 ,37.4908839232,127.4914028253,,2021-06-22
청소년게임제공업,UNDER,경기도 양평군 양평읍 양평시장길17번길 11 1층,경기도 양평군 양평읍 양근리 309-1 ,37.4895318685,127.4913690445,,2021-06-22
노래연습장업,양평노래연습장,경기도 양평군 양평읍 양평시장길 29,경기도 양평군 양평읍 양근리 410-1 ,37.4909199114,127.4905317881,,2021-06-22
노래연습장업,장안노래연습장,경기도 양평군 양평읍 양평시장길 12,경기도 양평군 양평읍 양근리 358-4 ,37.4903431655,127.4923191617,031-771-2227,2021-06-22
노래연습장업,용문산콘도노래연습장,경기도 양평군 용문면 갈지길 48,경기도 양평군 용문면 금곡리 265 ,37.4994871957,127.6182477720,031-771-5433,2021-06-22
노래연습장업,신세계노래연습장,경기도 양평군 지평면 지평의병로 95,경기도 양평군 지평면 지평리 539-2 ,37.4752207866,127.6364408364,031-771-9475,2021-06-22
노래연습장업,소노문노래연습장,경기도 양평군 개군면 신내길7번길 55,경기도 양평군 개군면 공세리 389-7 ,37.4692648893,127.5326147650,,2021-06-22
노래연습장업,장미노래연습실,경기도 양평군 양동면 양동역길 20-4,경기도 양평군 양동면 쌍학리 180-5 ,37.4198440085,127.7542478119,031-773-1043,2021-06-22
노래연습장업,프라자노래방,경기도 양평군 옥천면 신촌길 188,경기도 양평군 옥천면 신복리 141-5 ,37.5683116119,127.4548180242,031-774-1752,2021-06-22
노래연습장업,딩동댕,경기도 양평군 양평읍 양평시장길 14-1,경기도 양평군 양평읍 양근리 358-3 ,37.4905234287,127.4921607745,,2021-06-22
노래연습장업,랑데뷰노래연습장,경기도 양평군 용문면 용문로 346-1,경기도 양평군 용문면 다문리 740-7 ,37.4834836138,127.5927954367,,2021-06-22
