업종명,업소명,소재지도로명,소재지지번,위도,경도,연락처,데이터기준일자
일반음식점,돼지머리고기 하는집,경기도 양평군 양평읍 양근로 170-4,경기도 양평군 양평읍 양근리 444-7,37.4910008604,127.4885634672,031-771-3118,2021-06-21
일반음식점,주만금,경기도 양평군 양평읍 양평시장1길 14,경기도 양평군 양평읍 양근리 352-3 (2층),37.4899645343,127.4914934264,031-771-7892,2021-06-21
일반음식점,안터코다리찜,경기도 양평군 양평읍 시민로78번길 4,경기도 양평군 양평읍 공흥리 467-2,37.4904245381,127.5002149596,031-771-9981,2021-06-21
일반음식점,병천순대국,경기도 양평군 양서면 경강로 1182,경기도 양평군 양서면 복포리 223-18,37.5152999730,127.4167836688,031-772-0121,2021-06-21
일반음식점,옥녀보쌈족발,경기도 양평군 용문면 다문북길 32,경기도 양평군 용문면 다문리 701-2 1층,37.4834594709,127.5890288474,031-772-3338,2021-06-21
일반음식점,님프가든,경기도 양평군 옥천면 신촌길 188,경기도 양평군 옥천면 신복리 141-7,37.5668972661,127.4569137438,031-772-3811,2021-06-21
일반음식점,민뱅이네포장마차,경기도 양평군 용문면 용문시장3길 4,경기도 양평군 용문면 다문리 308-33,37.4842663958,127.5945722492,031-774-1289,2021-06-21
일반음식점,쿠어스,경기도 양평군 양평읍 시민로 51-1,경기도 양평군 양평읍 양근리 174-4,37.4908481512,127.4973303735,031-774-4050,2021-06-21
일반음식점,한끼한잔,경기도 양평군 양평읍 시민로 66,경기도 양평군 양평읍 공흥리 463-9,37.4907850817,127.4990498145,031-774-9500,2021-06-21
일반음식점,무내미,경기도 양평군 서종면 북한강로801번길 27,경기도 양평군 서종면 문호리 698-4,37.6104875612,127.3485832427,031-774-9976,2021-06-21
일반음식점,비채뜰,경기도 양평군 서종면 화서로 969,경기도 양평군 서종면 명달리 100-3,37.6227236558,127.4485298168,031-775-0001,2021-06-21
일반음식점,터갈비,경기도 양평군 강하면 강남로 295,경기도 양평군 강하면 전수리 1026,37.5007260297,127.4184063758,031-775-2335,2021-06-21
일반음식점,쌍학반점,경기도 양평군 양동면 학둔지아래길 88,경기도 양평군 양동면 쌍학리 178-9,37.4193041820,127.7537826333,031-775-3624,2021-06-21
일반음식점,화수목,경기도 양평군 단월면 석산로 1481,경기도 양평군 단월면 석산리 88 1층,37.6437934174,127.6096913235,02-1544-6511,2021-06-21
일반음식점,국수한우(현방),경기도 양평군 양서면 경강로 1055-14,경기도 양평군 양서면 국수리 321-1,37.5127465291,127.4016917502,02-862-7797,2021-06-21
일반음식점,(주)코앤엠 양평TPC티하우스1점,경기도 양평군 지평면 대평평장길 113-8,경기도 양평군 지평면 대평리 331 양평TPC골프클럽 B동,37.41848355,127.6502184,02-1544-8272,2021-06-21
일반음식점,(주)코앤엠 양평TPC티하우스2점,경기도 양평군 지평면 대평평장길 113-8,경기도 양평군 지평면 대평리 331 양평TPC골프클럽 C동,37.41848355,127.6502184,02-1544-8272,2021-06-21
일반음식점,(주)코앤엠 양평TPC티하우스3점,경기도 양평군 지평면 대평평장길 113-8,경기도 양평군 지평면 대평리 331 양평TPC골프클럽 D동,37.41848355,127.6502184,02-1544-8272,2021-06-21
일반음식점,옥이네집,경기도 양평군 용문면 용문산로 591-1,경기도 양평군 용문면 신점리 351-6,37.5421852796,127.5864497847,,2021-06-21
일반음식점,이공오공조개구이,경기도 양평군 용문면 용문로 335,경기도 양평군 용문면 다문리 705-7,37.4831059309,127.5916525651,,2021-06-21
일반음식점,나침반,경기도 양평군 양서면 경강로 1045,경기도 양평군 양서면 국수리 326-35,37.5124584218,127.4020881658,,2021-06-21
일반음식점,오네스타(onesta),경기도 양평군 강상면 강남로 734,경기도 양평군 강상면 병산리 362-10,37.4937167113,127.4598178906,,2021-06-21
일반음식점,승우,경기도 양평군 양평읍 양근로 225,경기도 양평군 양평읍 양근리 228-2,37.4876841737,127.4930433783,,2021-06-21
일반음식점,모담,경기도 양평군 용문면 연수로 7-6,경기도 양평군 용문면 다문리 647,37.4883417896,127.5930503038,,2021-06-21
일반음식점,은행골,경기도 양평군 용문면 용문시장2길 12,경기도 양평군 용문면 다문리 307-10,37.4838517213,127.5946282818,,2021-06-21
일반음식점,대명치킨,경기도 양평군 양평읍 양평시장1길 5,경기도 양평군 양평읍 양근리 302-1,37.4893516597,127.4923079514,,2021-06-21
일반음식점,허밍 베이커리 카페,경기도 양평군 양평읍 마유산로 120,경기도 양평군 양평읍 양근리 18,37.5021512292,127.4952142882,,2021-06-21
일반음식점,파티컴,경기도 양평군 서종면 무내미길 34,경기도 양평군 서종면 문호리 352-1,37.6024434513,127.3524853856,,2021-06-21
일반음식점,양평손두부돌솥밥집,경기도 양평군 청운면 설악로 257,경기도 양평군 청운면 다대리 82-1,37.5691199713,127.7319366806,,2021-06-21
일반음식점,허가네,경기도 양평군 지평면 지평의병로 95,경기도 양평군 지평면 지평리 539-2,37.4752207866,127.6364408364,,2021-06-21
일반음식점,옛터,경기도 양평군 서종면 내수입길 25,경기도 양평군 서종면 수입리 384,37.6429250475,127.3870455003,,2021-06-21
일반음식점,동네숯불갈비,경기도 양평군 용문면 용문로371번길 7,경기도 양평군 용문면 다문리 726-3 B동,37.4855830418,127.5937594946,,2021-06-21
일반음식점,카페인(CAFE IN),경기도 양평군 양서면 용담5길 28,경기도 양평군 양서면 용담리 218-3,37.5463173569,127.3268533014,,2021-06-21
일반음식점,대왕터길58번가,경기도 양평군 단월면 대왕터길 58,경기도 양평군 단월면 부안리 74-14,37.5783912415,127.6706501557,,2021-06-21
일반음식점,양수리연핫도그,경기도 양평군 양서면 북한강로 4-1,경기도 양평군 양서면 양수리 1093,37.5442915886,127.3201338336,,2021-06-21
일반음식점,어울림카페,경기도 양평군 양평읍 양평시장길23번길 3,경기도 양평군 양평읍 양근리 410-6,37.4905864336,127.4908938163,,2021-06-21
일반음식점,황태명가,경기도 양평군 강하면 왕창왕충길8번길 2,경기도 양평군 강하면 왕창리 148,37.4794464286,127.3974487560,,2021-06-21
일반음식점,양근리주점,경기도 양평군 양평읍 양평시장길 37-1,경기도 양평군 양평읍 양근리 422-23,37.4912803826,127.4896267688,,2021-06-21
일반음식점,와이피회마켓(YP회마켓),경기도 양평군 양평읍 중앙로 24,경기도 양평군 양평읍 양근리 137-38,37.4964273631,127.4918094560,,2021-06-21
일반음식점,용문산 풍천장어,경기도 양평군 용문면 용문산로 213-28,경기도 양평군 용문면 덕촌리 215-1,37.5172427428,127.6002039957,,2021-06-21
일반음식점,개군불타는연탄구이,경기도 양평군 개군면 하자포길 17,경기도 양평군 개군면 하자포리 224-8 1층,37.4246992415,127.5382238936,,2021-06-21
일반음식점,순이네국수,경기도 양평군 양서면 목왕로 53,경기도 양평군 양서면 용담리 242-6 외 1필지 1층 102호,37.5448138135,127.3280340841,,2021-06-21
일반음식점,창대식당,경기도 양평군 양평읍 양근로 350,경기도 양평군 양평읍 창대리 569-1,37.4803381802,127.5030764928,,2021-06-21
일반음식점,어메,경기도 양평군 양서면 국수역길 24,경기도 양평군 양서면 국수리 273-14,37.5137550040,127.4004344003,,2021-06-21
일반음식점,양평막창,경기도 양평군 양평읍 양평시장길17번길 6,경기도 양평군 양평읍 양근리 410-27,37.4901538101,127.4913350369,,2021-06-21
일반음식점,수노을식당,,경기도 양평군 양평읍 양근리 128-2,37.4940811511,127.4892335439,,2021-06-21
일반음식점,내리마을협동조합,경기도 양평군 개군면 산수유1길 1,경기도 양평군 개군면 내리 239-6 산수유마을정보센터 새마을회관,37.4437555153,127.5575764619,,2021-06-21
일반음식점,미처버린파닭,경기도 양평군 양평읍 시민로 140-1,경기도 양평군 양평읍 공흥리 380-5,37.4901899601,127.5072510277,,2021-06-21
일반음식점,씨에스큐브(CS CUBE),경기도 양평군 양평읍 중앙로167번길 31,경기도 양평군 양평읍 공흥리 256-2,37.4942640892,127.5080772430,,2021-06-21
일반음식점,뜨락,경기도 양평군 용문면 용문역길 7-5,경기도 양평군 용문면 다문리 732-2 ELI학원,37.4839694587,127.5939271442,,2021-06-21
일반음식점,오시록,경기도 양평군 서종면 중미산로 491,경기도 양평군 서종면 도장리 89-1,37.6028852060,127.3946398815,,2021-06-21
일반음식점,돼지테리언,경기도 양평군 용문면 다문북길 69,경기도 양평군 용문면 다문리 639-4,37.4863151942,127.5911474717,,2021-06-21
일반음식점,하늘아래첫동네,경기도 양평군 서종면 화서로 937,경기도 양평군 서종면 명달리 110 1층,37.6252747585,127.4491966722,,2021-06-21
일반음식점,(주)블랙스톤리조트양평지점더힐하우스(나루께),경기도 양평군 강하면 강남로 489,경기도 양평군 강하면 전수리 18-1,37.5056775235,127.4381897712,031-771-0001,2021-06-21
일반음식점,(주)블랙스톤리조트양평지점더힐하우스(젤코바),경기도 양평군 강하면 강남로 489,경기도 양평군 강하면 전수리 17-3,37.5056775235,127.4381897712,031-771-0001,2021-06-21
일반음식점,(주)블랙스톤리조트양평지점더힐하우스(스완),경기도 양평군 강하면 강남로 489,경기도 양평군 강하면 전수리 16-3,37.5056775235,127.4381897712,031-771-0001,2021-06-21
일반음식점,(주)블랙스톤리조트양평지점더힐하우스(레드플라워홀),경기도 양평군 강하면 강남로 489,경기도 양평군 강하면 전수리 산 11-2,37.5056775235,127.4381897712,031-771-0001,2021-06-21
일반음식점,청운푸른공원,경기도 양평군 청운면 하고론길7번길 80,경기도 양평군 청운면 신론리 556-1,37.5702708744,127.7551546167,031-771-0008,2021-06-21
일반음식점,밥,경기도 양평군 서종면 무내미길 60,경기도 양평군 서종면 문호리 398-5 (1층),37.6046781272,127.3519484952,031-771-0019,2021-06-21
일반음식점,마라부마라탕,경기도 양평군 양평읍 양평시장길 15,경기도 양평군 양평읍 양근리 357-4,37.4903791821,127.4917535562,031-771-0109,2021-06-21
일반음식점,고바우순대국,경기도 양평군 지평면 지평시장2길 7,경기도 양평군 지평면 지평리 572-5,37.4744716161,127.6373329353,031-771-0195,2021-06-21
일반음식점,오픈하우스,경기도 양평군 옥천면 중미산로 1268,경기도 양평군 옥천면 신복리 117-1,37.5816713158,127.4592723304,031-771-0306,2021-06-21
일반음식점,강남카페,경기도 양평군 강상면 강남로 1052,경기도 양평군 강상면 교평리 566,37.4776152656,127.4860999029,031-771-0342,2021-06-21
일반음식점,담소,경기도 양평군 서종면 북한강로 1258,경기도 양평군 서종면 수입리 664-3,37.6415947319,127.3729355399,031-771-0345,2021-06-21
일반음식점,낙지랑주꾸미불판,경기도 양평군 양서면 양수로150번길 3-6,경기도 양평군 양서면 양수리 556-13,37.5448013343,127.3196684550,031-771-0380,2021-06-21
일반음식점,양평기사식당,경기도 양평군 양서면 경강로 990,경기도 양평군 양서면 국수리 352-5,37.5094887137,127.3971247972,031-771-0678,2021-06-21
일반음식점,고바우설렁탕,경기도 양평군 용문면 은고갯길 3,경기도 양평군 용문면 광탄리 83-1,37.5072720028,127.6296877740,031-771-0702,2021-06-21
일반음식점,원조양평해장국,경기도 양평군 양평읍 흥청길 3,경기도 양평군 양평읍 공흥리 751-7,37.4946609284,127.4969795446,031-771-0815,2021-06-21
일반음식점,복석사철탕,경기도 양평군 용문면 다문북길 80,경기도 양평군 용문면 다문리 631-11,37.4866658584,127.5922677335,031-771-0866,2021-06-21
일반음식점,바위산가든,경기도 양평군 서종면 북한강로 1300,경기도 양평군 서종면 수입리 668,37.6438968760,127.3764342166,031-771-0886,2021-06-21
일반음식점,동치미국수,경기도 양평군 서종면 북한강로 811,경기도 양평군 서종면 문호리 699-2,37.6097582828,127.3492192058,031-771-0938,2021-06-21
