업소명,도로명주소,지번주소,우편번호,위도,경도,업종,착한가격 품목,가격(원),전화번호,기준일자
남시촌참닭,경기도 양평군 강상면 강남로 802,경기도 양평군 강상면 병산리 431-2번지,12571,37.49134834,127.4670137,일반음식점,닭갈비,12000,031-774-1707,2021-05-11
왕창 아구찜,경기도 양평군 강하면 왕창로 17-12,경기도 양평군 강하면 왕창리 647-2번지,12574,37.47845517,127.3878025,한식점업,동태알탕,8000,031-774-1597,2021-05-11
금호정,경기도 양평군 강하면 운심길 51,경기도 양평군 강하면 운심리 50-1번지,12574,37.49619635,127.4117027,한식점업,김치찌개,7000,031-772-0035,2021-05-11
하늘촌 보리밥,경기도 양평군 개군면 불곡부처울길 22,경기도 양평군 개군면 불곡리 128-3번지,12566,37.4509376,127.5403402,한식점업,보리밥,8000,031-775-3633,2021-05-11
단월식당,경기도 양평군 단월면 보룡길 61,경기도 양평군 단월면 보룡리 342-26번지,12529,37.53906972,127.6736281,일반음식점,된장찌개,7000,031-771-7829,2021-05-11
고향칼국수,경기도 양평군 양동면 양동로 1844,경기도 양평군 양동면 쌍학리 155-9번지,12539,37.41571707,127.7536123,일반음식점,칼국수,6000,031-772-9810,2021-05-11
계정횟집,경기도 양평군 양동면 양서북로 666-13,경기도 양평군 양동면 계정리 744-3번지,12535,37.46895918,127.7746681,일반음식점,송어회,13000,031-773-1556,2021-05-11
서라벌식당,경기도 양평군 양서면 북한강로 15-2,경기도 양평군 양서면 양수리 1023번지,12585,37.54541539,127.3204141,한식점업,부대찌개,8000,031-773-0062,2021-05-11
양서민물매운탕,경기도 양평군 양서면 북한강로 15-3,경기도 양평군 양서면 양수리 1021번지,12585,37.54546951,127.3204366,한식점업,어죽,8000,031-773-5013,2021-05-11
대박식당,경기도 양평군 양서면 양수로150번길 3,경기도 양평군 양서면 양수리 556-18번지,12585,37.54462099,127.3196236,한식점업,선지해장국,6000,031-771-8068,2021-05-11
창범이네 맛집,경기도 양평군 양서면 양수로150번길 3-11,경기도 양평군 양서면 양수리 556-4,12585,37.54498176,127.3197699,한식점업,돼지국밥,7000,031-773-2673,2021-05-11
장터영양탕,경기도 양평군 양서면 양수로150번길 5,경기도 양평군 양서면 양수리1046번지,12585,37.54481075,127.3199288,한식점업,영양탕,10000,031-774-9329,2021-05-11
삿갓봉뽕잎해물칼국수,경기도 양평군 양평읍 경강로 2335-12,경기도 양평군 양평읍 대흥리 677-2번지,12548,37.49224016,127.5348533,한식 음식점업,해물칼국수,6000,031-774-1259,2021-05-11
부산돼지국밥,경기도 양평군 양평읍 시민로 150,경기도 양평군 양평읍 창대리 635-2번지,12560,37.49011778,127.5082804,일반음식점,돼지국밥,7000,031-775-0701,2021-05-11
양평터미널 부대찌개,경기도 양평군 양평읍 시민로 76,경기도 양평군 양평읍 공흥리 464-5번지,12561,37.49069495,127.4999661,한식점업,부대찌개,9000,031-771-2646,2021-05-11
남춘천닭갈비,경기도 양평군 양평읍 시민로78번길 9-1,경기도 양평군 양평읍 공흥리 441-11번지,12561,37.49008202,127.5006222,한식점업,닭갈비,11000,031-771-2103,2021-05-11
