관광지명,위치,문의전화
연천 전곡리 유적,경기도 연천군 전곡읍 양연로 1510,031-839-2206
전곡선사박물관,경기도 연천군 전곡읍 평화로 443번길 2,031-830-5600
재인폭포,경기도 연천군 연천읍 부곡리 193,031-839-2278
한탄강관광지,경기도 연천군 전곡읍 선사로 76,031-833-0030
고대산,경기도 연천군 신서면 대광리 산 168,031-834-3064
허브빌리지,경기도 연천군 왕징면 북삼로 20번길 37,031-833-5100
군남홍수조절지,경기도 연천군 군남면 솔너머길 99,031-830-4245
열쇠전망대,경기도 연천군 신서면 덕산리 산4,031-839-2063
태풍전망대,경기도 연천군 중면 횡산리 산 108,031-839-2063
백학저수지,경기도 연천군 미산면 아미리 1056,031-839-2061
연천 경순왕릉,경기도 연천군 장남면 고랑포리 산18-2,031-839-2144
연천 숭의전지,경기도 연천군 미산면 숭의전로 382-27,031-839-2144
당포성,경기도 연천군 미산면 동이리 778,031-839-2144
호로고루,경기도 연천군 장남면 원당리 1257-1 일원,031-839-2144
평화누리길(10~12코스),경기도 연천군 장남면 장남교~경기도 연천군 신탄리 철도중단점,031-839-2375
역고드름,경기도 연천군 신서면 대광리 산 173번지,031-839-2061
좌상바위,경기도 연천군 전곡읍 신답리 307,031-839-2278
상승OP(제1땅굴),경기도 연천군 백학면 백령리 929-1,031-839-2063
승전OP,경기도 연천군 장남면 고랑포리 산22-1,031-839-2063
연강갤러리,경기도 연천군 중면 횡산리 243,031-839-2141
임진강 주상절리,경기도 연천군 미산면 동이리 67-1 일원,031-839-2278
임진강평화습지원,경기도 연천군 중면 횡산리 852,031-839-2243
1.21무장공비침투로,경기도 연천군 장남면 반정리 294,031-839-2063
연천미라클타운,경기도 연천군 군남면 옥계리 1259-3,031-834-7271
연천수레울아트홀,경기도 연천군 연천읍 문화로 150,031-834-3770
은대리성,경기도 연천군 전곡읍 은대리 577,031-839-2144
K-water 한탄강댐 물문화관,경기도 연천군 연천읍 고문리 898-1,1577-0600
연천 고랑포구 역사공원,경기도 연천군 장남면 장남로 270,031-835-2002
