지형지물부호,관리번호,행정읍/면/동,도엽번호,관리기관,도로구간번호,설치일자,정류장종류,정류장명,정류장유형,대장초기화여부,위치,입력일자,입력자,최종수정일자,최종수정자,경도,위도
정류장,201810004,장암동,3770502823,의정부시,201810004,2018-01-01,일반버스, ,표지설치,대장입력완료, , , , , ,127.056029 ,37.705707 
정류장,201810003,장암동,3770502911,의정부시,201810007,2018-01-01,일반버스,도봉차량기지앞,표지설치,대장입력완료, , , , , ,127.051375 ,37.702760 
정류장,201810002,장암동,3770502911,의정부시,201810007,2018-01-01,일반버스,도봉차량기지앞,지붕설치,대장입력완료, , , , , ,127.051737 ,37.702629 
정류장,201810001,장암동,3770502911,의정부시,201810007,2018-01-01,일반버스,도봉차량기지앞,지붕설치,대장입력완료, , , , , ,127.051512 ,37.702913 
정류장,191130054,송산2동,3770123913,의정부시,191130063,1900-01-01,,의정부민락BRT정류소,표지설치,대장입력완료, ,2019-12-16,지오스토리컨소시엄,2019-12-16,컨소시엄,127.101970 ,37.750548 
정류장,191130053,송산2동,3770123913,의정부시,191130063,1900-01-01,,의정부민락BRT정류소,표지설치,대장입력완료, ,2019-12-16,지오스토리컨소시엄,2019-12-16,컨소시엄,127.101820 ,37.750669 
정류장,191130052,송산2동,3770503011,의정부시,191130123,1900-01-01,,부용마을아파트정문,표지/승강장설치,대장입력완료, ,2019-12-16,지오스토리컨소시엄,2019-12-16,컨소시엄,127.100201 ,37.748142 
정류장,191130051,송산2동,3770503022,의정부시,191130154,1900-01-01,,푸른마당근린공원,표지설치,대장입력완료, ,2019-12-16,지오스토리컨소시엄,2019-12-16,컨소시엄,127.108466 ,37.748106 
정류장,191130050,송산2동,3770502101,의정부시,191130053,1900-01-01,마을버스,부용마을3단지,표지설치,대장입력완료, ,2019-12-16,지오스토리컨소시엄,2019-12-16,컨소시엄,127.097270 ,37.748773 
정류장,191130049,송산2동,3770502102,의정부시,191130058,1900-01-01,마을버스,금강펜테리움,표지설치,대장입력완료, ,2019-12-16,지오스토리컨소시엄,2019-12-16,컨소시엄,127.099224 ,37.749598 
정류장,191130048,송산2동,3770123914,의정부시,191130070,1900-01-01,,송양중학교,표지설치,대장입력완료, ,2019-12-16,지오스토리컨소시엄,2019-12-16,컨소시엄,127.103774 ,37.752179 
정류장,191130047,송산2동,3770123914,의정부시,191130070,1900-01-01,,송양중학교,승강장설치,대장입력완료, ,2019-12-16,지오스토리컨소시엄,2019-12-16,컨소시엄,127.104061 ,37.752083 
정류장,191130046,송산2동,3770123914,의정부시,191130071,1900-01-01,,송양중학교,승강장설치,대장입력완료, ,2019-12-16,지오스토리컨소시엄,2019-12-16,컨소시엄,127.103988 ,37.752408 
정류장,191130045,송산2동,3770502102,의정부시,191130058,1900-01-01,,부용마을3단지,승강장설치,대장입력완료, ,2019-12-16,지오스토리컨소시엄,2019-12-16,컨소시엄,127.098869 ,37.749234 
정류장,191130044,송산2동,3770502101,의정부시,191130053,1900-01-01,,금강펜테리움,승강장설치,대장입력완료, ,2019-12-16,지오스토리컨소시엄,2019-12-16,컨소시엄,127.097284 ,37.749036 
정류장,191130043,송산2동,3770503011,의정부시,191130123,1900-01-01,,부용마을아파트정문,승강장설치,대장입력완료, ,2019-12-16,지오스토리컨소시엄,2019-12-16,컨소시엄,127.100131 ,37.748792 
정류장,191130042,송산2동,3770123913,의정부시,191130021,1900-01-01,좌석버스,의정부민락,승강장설치,대장입력완료, ,2019-12-16,지오스토리컨소시엄,2019-12-16,컨소시엄,127.100678 ,37.751744 
정류장,191130041,송산2동,3770123913,의정부시,191130021,1900-01-01,좌석버스,의정부민락,승강장설치,대장입력완료, ,2019-12-16,지오스토리컨소시엄,2019-12-16,컨소시엄,127.100369 ,37.751489 
정류장,191130040,송산2동,3770502104,의정부시,191130131,1900-01-01,,송산초등학교,승강장설치,대장입력완료, ,2019-12-16,지오스토리컨소시엄,2019-12-16,컨소시엄,127.099200 ,37.745414 
정류장,191130039,송산2동,3770502104,의정부시,191130131,1900-01-01,,송산초등학교,승강장설치,대장입력완료, ,2019-12-16,지오스토리컨소시엄,2019-12-16,컨소시엄,127.099530 ,37.745504 
정류장,191130038,송산2동,3770503023,의정부시,191130164,1900-01-01,,"송산사지,송민학교입구",승강장설치,대장입력완료, ,2019-12-16,지오스토리컨소시엄,2019-12-16,컨소시엄,127.106294 ,37.746248 
정류장,191130037,송산2동,3770503024,의정부시,191130158,1900-01-01,,"송산사지,송민학교입구",승강장설치,대장입력완료, ,2019-12-16,지오스토리컨소시엄,2019-12-16,컨소시엄,127.107795 ,37.747090 
정류장,191130036,송산2동,3770503022,의정부시,191130151,1900-01-01,,LH민락사업단입구,승강장설치,대장입력완료, ,2019-12-16,지오스토리컨소시엄,2019-12-16,컨소시엄,127.109952 ,37.749479 
정류장,191130035,송산2동,3770502101,의정부시,191130053,1900-01-01,마을버스, ,표지설치,대장입력완료, ,2019-12-16,지오스토리컨소시엄,2019-12-16,컨소시엄,127.097159 ,37.748744 
정류장,191130034,송산2동,3770502102,의정부시,191130058,1900-01-01,마을버스, ,표지설치,대장입력완료, ,2019-12-16,지오스토리컨소시엄,2019-12-16,컨소시엄,127.099026 ,37.749538 
정류장,191130033,송산2동,3770503022,의정부시,191130243,1900-01-01,, ,표지설치,대장입력완료, ,2019-12-16,지오스토리컨소시엄,2019-12-16,컨소시엄,127.108360 ,37.748989 
정류장,191130032,송산2동,3770503022,의정부시,191130234,1900-01-01,,의정부민락,표지/승강장설치,대장입력완료, ,2019-12-16,지오스토리컨소시엄,2019-12-16,컨소시엄,127.109892 ,37.748557 
정류장,191130031,송산2동,3770123943,의정부시,191130194,1900-01-01,일반버스,민락엘레트19단지,승강장설치,대장입력완료, ,2019-12-16,지오스토리컨소시엄,2019-12-16,컨소시엄,127.115165 ,37.750721 
정류장,191130030,송산2동,3770123932,의정부시,191130143,1900-01-01,일반버스,용암마을입구,승강장설치,대장입력완료, ,2019-12-16,지오스토리컨소시엄,2019-12-16,컨소시엄,127.113654 ,37.754013 
정류장,191130029,송산2동,3770123934,의정부시,191130144,1900-01-01,일반버스,송양초,승강장설치,대장입력완료, ,2019-12-16,지오스토리컨소시엄,2019-12-16,컨소시엄,127.113154 ,37.752433 
정류장,191130028,송산2동,3770123824,의정부시,191130089,1900-01-01,마을버스,대광로제비앙,표지설치,대장입력완료, ,2019-12-16,지오스토리컨소시엄,2019-12-16,컨소시엄,127.109166 ,37.755058 
정류장,191130027,송산2동,3770123934,의정부시,191130198,1900-01-01,,민락센트럴17단지,표지설치,대장입력완료, ,2019-12-16,지오스토리컨소시엄,2019-12-16,컨소시엄,127.113766 ,37.751527 
정류장,191130026,송산2동,3770123922,의정부시,191130084,1900-01-01,마을버스,대방노블랜드,표지설치,대장입력완료, ,2019-12-16,지오스토리컨소시엄,2019-12-16,컨소시엄,127.107507 ,37.754060 
정류장,191130025,송산2동,3770123933,의정부시,191130187,1900-01-01,일반버스,양지마을8단지,승강장설치,대장입력완료, ,2019-12-16,지오스토리컨소시엄,2019-12-16,컨소시엄,127.110515 ,37.752335 
정류장,191130024,송산2동,3770123843,의정부시,191130105,1900-01-01,일반버스,용암마을16단지,승강장설치,대장입력완료, ,2019-12-16,지오스토리컨소시엄,2019-12-16,컨소시엄,127.115563 ,37.755498 
정류장,191130023,송산2동,3770123922,의정부시,191130088,1900-01-01,일반버스,송양고,승강장설치,대장입력완료, ,2019-12-16,지오스토리컨소시엄,2019-12-16,컨소시엄,127.108165 ,37.754634 
정류장,191130022,송산2동,3770123922,의정부시,191130089,1900-01-01,일반버스, ,승강장설치,대장입력완료, ,2019-12-16,지오스토리컨소시엄,2019-12-16,컨소시엄,127.108906 ,37.754684 
정류장,191130021,송산2동,3770123833,의정부시,191130096,1900-01-01,,양지마을8단지정문,표지설치,대장입력완료, ,2019-12-16,지오스토리컨소시엄,2019-12-16,컨소시엄,127.112261 ,37.755143 
정류장,191130020,송산2동,3770123932,의정부시,191130143,1900-01-01,일반버스,송양초등학교,승강장설치,대장입력완료, ,2019-12-16,지오스토리컨소시엄,2019-12-16,컨소시엄,127.113122 ,37.753142 
정류장,191130019,송산2동,3770123922,의정부시,191130178,1900-01-01,일반버스,송양고등학교,승강장설치,대장입력완료, ,2019-12-16,지오스토리컨소시엄,2019-12-16,컨소시엄,127.107712 ,37.753191 
정류장,191130018,송산2동,3770123833,의정부시,191130096,1900-01-01,마을버스,양지마을아파트,표지설치,대장입력완료, ,2019-12-16,지오스토리컨소시엄,2019-12-16,컨소시엄,127.112383 ,37.755380 
정류장,191130017,송산2동,3770123932,의정부시,191130142,1900-01-01,일반버스,양지마을후문입구,승강장설치,대장입력완료, ,2019-12-16,지오스토리컨소시엄,2019-12-16,컨소시엄,127.113146 ,37.754773 
정류장,191130016,송산2동,3770123922,의정부시,191130178,1900-01-01,일반버스,송양고등학교,승강장설치,대장입력완료, ,2019-12-16,지오스토리컨소시엄,2019-12-16,컨소시엄,127.107599 ,37.752947 
