관리번호,작품명 ,작가명(업체),설치자,용지구분,제작연도,규격,재료,작품구성,작품주소,상세위치,관리기관,관리부서,분류,관리상태,기준일자
U001,태조 이성계상 ,이각공방 이민수,의정부시,"도로, 시유지",2009,"좌대높이 2.2m, 동상높이 4.5m",청동,입상,경기도 의정부시 의정부동 180-11 일원,행복로,의정부시,도로과,동상,양호,2021-06-16
U002,부부상,,의정부시,"도로, 시유지",2009,동상높이 5m,석재,입상,경기도 의정부시 의정부동 180-11 일원,행복로,의정부시,도로과,환경조형물,양호,2021-06-16
U003,분수,,의정부시,"도로, 시유지",2009,동상높이 3.5m,석재,입상,경기도 의정부시 의정부동 180-11 일원,행복로,의정부시,도로과,환경조형물,양호,2021-06-16
U004,밀레니엄 오벨리스크,우레환경연구소,의정부시,"도로, 시유지",2009,동상높이 17m,스틸,입상,경기도 의정부시 의정부동 180-11 일원,행복로,의정부시,도로과,상징탑,양호,2021-06-16
U005,비보이와 함께,㈜더스틸,의정부시,"도로, 시유지",2013,10x10m 반경,타일,바닥부착, 경기도 의정부시 의정부동 180-11 ,행복로 신한은행 앞,의정부시,문화관광과,환경조형물,양호,2021-06-16
U006,파발 조형물,(주)더스틸  안철영,의정부시,"도로, 시유지",2013,"높이 1.8m, 너비 2m",스틸,입상,경기도 의정부시 의정부동  180-11,행복로 파발교차로 ,의정부시,문화관광과,환경조형물,양호,2021-06-16
U007,행복한 비보이,㈜더스틸,의정부시,"도로, 시유지",2013,"높이 1.2m, 너비 4m",스틸,입상,경기도 의정부시 의정부동 180-11,행복로 신한은행 앞,의정부시,문화관광과,환경조형물,양호,2021-06-16
U008,솔라폴,㈜더스틸,의정부시,"도로, 시유지",2014,"높이 19m, 너비 3m","스틸, 알루미늄, 화강석",기둥형,경기도 의정부시 의정부동 323 ,예술의전당 주차장입구,의정부시,문화관광과,상징탑,양호,2021-06-16
U010,로데오거리 조형물,원일기업사,의정부시,"도로, 시유지",2009,8m,철판,입상,경기도 의정부시 의정부동 180-11 일원,로데오거리입구,의정부시,지역경제과,환경조형물,양호,2021-06-16
U011,엄복동 동상,이일영,의정부시,"체육용지,시유지",1986,"좌대높이 2.8m, 동상높이   3m",청동,입상,경기도 의정부시 녹양동 산80-1 일원,종합운동장 북문 옆,의정부시,의정부시시설관리공단,동상,양호,2021-06-16
U012,베를린장벽,티에르 느와르,의정부시,시유지,2014,"좌대높이 1.4m, 동상높이 3.3m",석재,입상,경기도 의정부시 의정부동 222-7,역전근린공원,의정부시,공원과,환경조형물,양호,2021-06-16
U013,평화의노래비,-,의정부시,시유지,2014,"좌대높이 0.7m, 동상높이 2.4m",석재,입상,경기도 의정부시 의정부동 222-8,백석천근린공원,의정부시,공원과,기념비,양호,2021-06-16
U014,선열의유훈,-,의정부시,시유지,2016,"좌대높이 0.6m, 동상높이 3.3m",석재,입상,경기도 의정부시 의정부동 222-8,역전근린공원,의정부시,공원과,기념비,양호,2021-06-16
U015,하나됨을 위하여,정기웅,의정부시,시유지,2014,"좌대높이 0.85m, 동상높이 6.2m",스텐,입상,경기도 의정부시 의정부동 222-9,역전근린공원,의정부시,공원과,환경조형물,양호,2021-06-16
U016,책읽는 동상,-,의정부시,시유지,2014,동상높이 0.7m,청동,좌상,경기도 의정부시 의정부동 199-6,중앙문화공원,의정부시,공원과,환경조형물,양호,2021-06-16
