구분,업소명,소재지도로명 주소,전화번호,품목1,가격1(원),품목2,가격2(원),위도,경도,관리기관명,관리부서명,관리부서 전화번호,데이터 기준일자
기타,바비즈,"경기도 의정부시 청사로5번길 8-7, 103호",031-853-5898,배냇저고리,4500,,,37.74916085,127.070298,경기도 의정부시,지역경제과,031-828-2784,2021-06-16
기타외식,까만콩,"경기도 의정부시 평화로 233-1, 나동 1층 (호원동)",031-871-3961,아메리카노,2000,아메리카노테이크아웃,1000,37.71278287,127.0472174,경기도 의정부시,지역경제과,031-828-2784,2021-06-16
목욕업,삼진탕,경기도 의정부시 태평로 198 (의정부동),031-848-0157,목욕비,4000,,,37.74903612,127.0472397,경기도 의정부시,지역경제과,031-828-2784,2021-06-16
목욕업,화인사우나,"경기도 의정부시 비우로 110, 지하1층 (녹양동)",031-855-9695,목욕비,3000,,,37.75826155,127.0391942,경기도 의정부시,지역경제과,031-828-2784,2021-06-16
세탁업,은하수세탁소,"경기도 의정부시 추동로 12 (신곡동, 은하수아파트)",031-846-6369,신사복상하,5000,,,37.74110885,127.0575986,경기도 의정부시,지역경제과,031-828-2784,2021-06-16
세탁업,토탈빨래방,경기도 의정부시 추동로19번길 17-14 (신곡동) ,031-844-8194,신사복상하,5000,,,37.74360774,127.0567475,경기도 의정부시,지역경제과,031-828-2784,2021-06-16
세탁업,백양세탁,경기도 의정부시 안말로 88 (호원동),031-877-1957,신사복상하,5000,,,37.71440542,127.0485816,경기도 의정부시,지역경제과,031-828-2784,2021-06-16
세탁업,한일세탁,"경기도 의정부시 시민로 256, 상가201호 (신곡동,한일유앤아이아파트)",031-847-0750,신사복상하,5000,바지단줄임,3000,37.73557877,127.0632576,경기도 의정부시,지역경제과,031-828-2784,2021-06-16
세탁업,동아세탁소,"경기도 의정부시 장곡로 240, 2층 (장암동)",031-875-7779,신사복상하,5000,바지단줄임,3000,37.72561798,127.0528783,경기도 의정부시,지역경제과,031-828-2784,2021-06-16
세탁업,삼도세탁소,"경기도 의정부시 장금로 50, 1층 (신곡동)",031-841-1105,신사복상하,5000,바지단줄임,3000,37.74187312,127.0599982,경기도 의정부시,지역경제과,031-828-2784,2021-06-16
세탁업,신명세탁소,"경기도 의정부시 능곡로 66, 상가동 205호 (신곡동)",031-821-7992,신사복상하,5000,바지단줄임,3000,37.7433315,127.0617633,경기도 의정부시,지역경제과,031-828-2784,2021-06-16
이미용업,지오헤어,경기도 의정부시 용현로132번길 6 (민락동),031-873-2216,파마 ,20000,컷트,8000,37.74080766,127.0903295,경기도 의정부시,지역경제과,031-828-2784,2021-06-16
이미용업,미스터블루컷,경기도 의정부시 가능로 80-1 (의정부동),031-873-7027,컷트,6000,,,37.74667522,127.0399361,경기도 의정부시,지역경제과,031-828-2784,2021-06-16
이미용업,샘플남성컷,경기도 의정부시 충의로 52 (용현동),031-873-7080,컷트,7000,,,37.73663743,127.0878229,경기도 의정부시,지역경제과,031-828-2784,2021-06-16
이미용업,이벤트미용실,경기도 의정부시 태평로 198 (의정부동) ,031-844-9520,파마,15000,컷트,5000,37.74903612,127.0472397,경기도 의정부시,지역경제과,031-828-2784,2021-06-16
이미용업,주연미용실,경기도 의정부시 신흥로 274 (의정부동),031-872-5092,파마,20000,컷트,7000,37.74054446,127.0433349,경기도 의정부시,지역경제과,031-828-2784,2021-06-16
이미용업,김순옥미용실,경기도 의정부시 비우로 98 (녹양동) ,031-874-4328,파마,20000,컷트,7000,37.75821734,127.0377427,경기도 의정부시,지역경제과,031-828-2784,2021-06-16
이미용업,헤어스테이션,경기도 의정부시 가능로118번길 5(의정부동),031-879-0641,파마,20000,컷트,8000,37.74665828,127.0442347,경기도 의정부시,지역경제과,031-828-2784,2021-06-16
이미용업,철수머리,경기도 의정부시 평화로 237(호원동),031-825-0609,컷트,8000,커트+염색,12000,37.71300688,127.0471474,경기도 의정부시,지역경제과,031-828-2784,2021-06-16
이미용업,멋찐남자,"경기도 의정부시 평화로172-1, 1층",031-836-0410,컷트,9000,,,37.70719057,127.0484381,경기도 의정부시,지역경제과,031-828-2784,2021-06-16
일식,청담,"경기도 의정부시 신흥로 266-2, 1층 (의정부동)",031-826-8500,광어초밥,10000,연어초밥,10000,37.73978574,127.0433891,경기도 의정부시,지역경제과,031-828-2784,2021-06-16
중식,짜장이 좋아,경기도 의정부시 가능로49번길 31 (가능동) ,031-837-1589,자장면,2500,짬뽕,3500,37.74811518,127.0365127,경기도 의정부시,지역경제과,031-828-2784,2021-06-16
중식,중화각,"경기도 의정부시 시민로158번길 28, 2층 (의정부동)",031-826-7890,짜장면,3000,짬뽕,4000,37.73613302,127.0520781,경기도 의정부시,지역경제과,031-828-2784,2021-06-16
한식,미락촌,경기도 의정부시 의정로80번길 15 (의정부동),031-829-6445,부대찌개,7000,,,37.73999727,127.0359197,경기도 의정부시,지역경제과,031-828-2784,2021-06-16
한식,친구네,"경기도 의정부시 시민로19번길 22-7, 1층 (의정부동)",031-829-4566,김치찌개,6000,부대찌개,7000,37.73934904,127.0370456,경기도 의정부시,지역경제과,031-828-2784,2021-06-16
한식,사랑채보리밥,경기도 의정부시 의정로 46번길 18 (의정부동),031-836-7035,순두부,5000,청국장,5000,37.73679319,127.0360903,경기도 의정부시,지역경제과,031-828-2784,2021-06-16
한식,청기와 소머리국밥,경기도 의정부시 태평로107번길 8 (의정부동) ,031-843-8892,소머리국밥,6000,설렁탕,7000,37.74216228,127.0511165,경기도 의정부시,지역경제과,031-828-2784,2021-06-16
한식,한가네,경기도 의정부시 평화로450번길 7 (의정부동),031-836-3829,청국장,6000,된장찌개,5000,37.73214214,127.0485727,경기도 의정부시,지역경제과,031-828-2784,2021-06-16
한식,이레네칼국수,경기도 의정부시 오목로 99 (민락동) ,031-853-3321,해물칼국수,4000,냉면,5000,37.73709702,127.092187,경기도 의정부시,지역경제과,031-828-2784,2021-06-16
한식,나드리분식,경기도 의정부시 흥선로16번길 91 (가능동),031-871-7983,갈비탕,5500,김치찌개,4500,37.74394117,127.02681,경기도 의정부시,지역경제과,031-828-2784,2021-06-16
한식,곰보냉면,"경기도 의정부시 태평로73번길 20, 나동 46호 (의정부동, 제일시장)",031-848-1755,냉면 ,5000,만둣국,5000,37.74012663,127.0500679,경기도 의정부시,지역경제과,031-828-2784,2021-06-16
한식,은혜식당,경기도 의정부시 망월로 6 (호원동),031-872-3887,떡만두국,4000,된장찌개,4000,37.70868462,127.0472037,경기도 의정부시,지역경제과,031-828-2784,2021-06-16
한식,일출,경기도 의정부시 망월로 17 (호원동),031-826-1579,김치찌개,5000,,,37.7080315,127.04629,경기도 의정부시,지역경제과,031-828-2784,2021-06-16
한식,원도봉산 감자탕,경기도 의정부시 망월로 14 (호원동),031-873-7830,비빔밥,4000,뼈해장국,5000,37.70843327,127.0464527,경기도 의정부시,지역경제과,031-828-2784,2021-06-16
한식,의정축산,경기도 의정부시 회룡로137번길 41 (호원동),031-877-2600,한우국밥,6000,돼지갈비(250g),10400,37.72780182,127.0487385,경기도 의정부시,지역경제과,031-828-2784,2021-06-16
한식,기운차림식당,경기도 의정부시 시민로157번길 11 (의정부동),031-840-8984,백반,1000,,,37.73811409,127.0522451,경기도 의정부시,지역경제과,031-828-2784,2021-06-16
한식,참멸치국수,경기도 의정부시 녹양로 42 (가능동),031-874-1207,멸치국수,4000,칼국수,5000,37.7550089,127.0322994,경기도 의정부시,지역경제과,031-828-2784,2021-06-16
한식,경기부페,경기도 의정부시 녹양로 107 (녹양동),031-829-6600,아침식사(06~09시),6000,식사(09~16시),7000,37.76021535,127.0347324,경기도 의정부시,지역경제과,031-828-2784,2021-06-16
한식,토담,경기도 의정부시 둔야로45번길 51 (가능동),031-851-1400,연탄불고기,7000,생비지찌개,7000,37.73984881,127.0367441,경기도 의정부시,지역경제과,031-828-2784,2021-06-16
한식,밀가족칼국수,경기도 의정부시 장곡로 54 (장암동),031-826-7788,칼국수,3900,수제비,5500,37.70933121,127.0519994,경기도 의정부시,지역경제과,031-828-2784,2021-06-16
한식,무도리순댓국,경기도 의정부시 시민로 143번길 76,031-842-3008,순대국,6000,,,37.74111113,127.0510925,경기도 의정부시,지역경제과,031-828-2784,2021-06-16
한식,명가설렁탕,경기도 의정부시 발곡로 5,031-878-8884,설렁탕,6000,,,37.73139279,127.0555352,경기도 의정부시,지역경제과,031-828-2784,2021-06-16
