번호,시설명,이용대상,소재지,정원,연락처,시설장,비고
1,승가원 자비마을,지적장애인,경기도 이천시 설성면 설장로 374-57,99,031-642-1300,김성예,거주시설
2,승가원 복지마을,중증장애인,경기도 이천시 설성면 설장로 374-57,50,031-641-1400,김성예,거주시설
3,엘리엘동산,중증장애인,경기도 이천시 마장면 이장로 256,60,031-631-6644,박춘화,거주시설
4,주라쉼터,중증장애인,경기도 이천시 부발읍 죽당로 227-19,35,031-634-6684,김준묵,거주시설
5,양무리마을,중증장애인,경기도 이천시 대월면 대월로 292-42,35,031-632-6857,한미선,거주시설
6,베데스다,중증장애인,경기도 이천시 모가면 군들로82번길 25-15,40,031-631-8311,이교선,거주시설
7,향기로운집,중증장애인,경기도 이천시 모가면 마국산로 139-13,30,031-632-6073,김혜림,실비거주시설
8,작은평화의집,중증장애인,경기도 이천시 장호원읍 어석로 161-45,10,031-642-5182,최병규,거주시설
9,브니엘,중증장애인,"경기도 이천시 향교로107번길 10, 산호2차아파트 307호",4,031-632-7796,이승병,거주시설
10,효양동산단기보호센터,단기보호희망중증장애인,경기도 이천시 부발읍 죽당로 36,12,031-633-8874,임강섭,거주시설
11,엘리엘동산단기보호센터,단기보호희망중증장애인,경기도 이천시 마장면 이장로 256,10,031-8011-2114,박춘화,거주시설
12,효양동산주간보호센터,주간보호희망중증장애인,경기도 이천시 부발읍 죽당로 36,30,031-633-8874,임강섭,지역사회재활시설
13,엘리엘동산주간보호센터,주간보호희망중증장애인,경기도 이천시 마장면 이장로 256,20,031-8011-2114,박춘화,지역사회재활시설
14,장애인종합복지관 부설 주간보호센터,주간보호희망중증장애인,경기도 이천시 신둔면 석동로 3,12,031-8011-2067,김영애,지역사회재활시설
15,이천시장애인종합복지관,등록 장애인,경기도 이천시 신둔면 석동로 3,,031-637-6720,김영애,지역사회재활시설
16,이천시 수화통역센터,청각+언어장애인,"경기도 이천시 부악로 40, 부악관 203호(중리동)",,031-631-5626,박현숙,지역사회재활시설
17,이천시장애인생활이동지원센터,중증장애인,"경기도 이천시 중리천로34번길 38, 보육정보센터 2층",,031-631-1159,권순빈,지역사회재활시설
18,이천시장애인재활근로작업장,직업재활희망장애인,경기도 이천시 신둔면 원적로290번길 14,70,031-634-8004,황인성,직업재활시설
19,양혜근로작업장,직업재활희망장애인,경기도 이천시 부발읍 가좌로103번길 63,30,031-637-2486,조윤효,직업재활시설
20,한마음일터,직업재활희망장애인,경기도 이천시 마장면 이장로 256,30,031-631-6680,원준호,직업재활시설
21,주라꿈터,직업재활희망장애인,경기도 이천시 부발읍 죽당로 227-19,30,031-634-6683,김재임,직업재활시설
22,양무리무지개작업장,직업재활희망장애인,경기도 이천시 대월면 대월로 292-42,15,031-633-6858,김미경,직업재활시설
23,Happy 햇비,직업재활희망장애인,경기도 이천시 설성면 설장로 374-57,20,031-642-6007,주현기,직업재활시설
24,나라사랑보호작업장,직업재활희망장애인,경기도 이천시 마장면 억만리로22번길 102-2,10,031-634-0055,이상학,직업재활시설
