순번,시설명,소재지도로명주소(필수),데이터기준일자
1,파주시노인복지관,경기도 파주시 가나무로 130,2021-05-31
2,파주시문산종합사회복지관,경기도 파주시 문산읍 통일로 1680,2021-05-31
3,운정행복센터,경기도 파주시 와석순환로 415 (와동동),2021-05-31
5,문산1리 경로당,경기도 파주시 문산읍 문산로 23,2021-05-31
6,문산2리 경로당,경기도 파주시 문산읍 하동로 24번길 1,2021-05-31
7,문산3리 경로당,경기도 파주시 문산읍 문향로 75번길 49,2021-05-31
8,선유1리 경로당,경기도 파주시 문산읍 봉미로 7번길 7,2021-05-31
9,선유2리 할머니 경로당,경기도 파주시 문산읍 문향로 133-1,2021-05-31
10,선유3리 경로당,경기도 파주시 문산읍 선유울2길 26,2021-05-31
11,선유4리 경로당,경기도 파주시 문산읍 독서울3길 11,2021-05-31
12,선유6리 경로당,경기도 파주시 문산읍 칠정말길 25,2021-05-31
13,이천1리 경로당,경기도 파주시 문산읍 사임당로 317번길 6,2021-05-31
14,이천2리 경로당,경기도 파주시 문산읍 지내울길 302-40,2021-05-31
15,이천3리(할머니) 경로당,경기도 파주시 문산읍 배머리길 67,2021-05-31
16,당동1리 경로당,경기도 파주시 문산읍 당동1로 39-30,2021-05-31
17,당동2리 경로당,경기도 파주시 문산읍 널다리길 88,2021-05-31
18,반구정 경로당,경기도 파주시 문산읍 사목로 10-4,2021-05-31
19,사목2리 경로당,경기도 파주시 문산읍 사목로 131번길 9,2021-05-31
20,사목3리 경로당,경기도 파주시 문산읍 사목로 77,2021-05-31
21,마정1리 경로당,경기도 파주시 문산읍 말우물길 62,2021-05-31
22,마정2리 경로당,경기도 파주시 문산읍 마정로 138번길 23,2021-05-31
23,마정3리 경로당,경기도 파주시 문산읍 마정로 124번길 30,2021-05-31
24,마정4리 경로당,경기도 파주시 문산읍 장산로 45번길 74,2021-05-31
25,운천1리 경로당,경기도 파주시 문산읍 통일로 1888번길 83,2021-05-31
26,운천2리 경로당,경기도 파주시 문산읍 충의로 65,2021-05-31
27,운천3리 경로당,경기도 파주시 문산읍 통일로 2018번길 27,2021-05-31
28,운천4리 경로당,경기도 파주시 문산읍 충의로 124번길 4,2021-05-31
29,장산1리 경로당,경기도 파주시 문산읍 장산로 200,2021-05-31
30,장산2리 경로당,경기도 파주시 문산읍 장산로 96번길 47,2021-05-31
31,임진리 경로당,경기도 파주시 문산읍 임진나루길 93-31,2021-05-31
32,내포1리 경로당,경기도 파주시 문산읍 휴암로 531번길 6,2021-05-31
33,내포2리 경로당,경기도 파주시 문산읍 휴암로 635번길 90,2021-05-31
34,내포3리 경로당,경기도 파주시 문산읍 방촌로 1450번길 18,2021-05-31
35,내포4리 경로당,경기도 파주시 문산읍 문현말길 171,2021-05-31
36,내포5리 경로당,경기도 파주시 문산읍 방촌로 1308-12,2021-05-31
37,호수아파트 경로당,경기도 파주시 문산읍 문산로 26번길 13,2021-05-31
38,장안8차아파트 경로당,경기도 파주시 문산읍 독산로 11,2021-05-31
39,신원아침도시아파트 경로당,경기도 파주시 문산읍 방촌로 1648,2021-05-31
40,한진아파트 경로당,경기도 파주시 문산읍 문향로 22,2021-05-31
41,한진2차아파트 경로당,경기도 파주시 문산읍 봉미로 6번길 11-16,2021-05-31
42,청도아파트 경로당,경기도 파주시 문산읍 문산역로 107,2021-05-31
43,율곡아파트 경로당,경기도 파주시 문산읍 문향로 17번길 39,2021-05-31
44,문산휴먼빌아파트 경로당,경기도 파주시 문산읍 문향로 11,2021-05-31
45,양우내안애아파트 경로당,경기도 파주시 문산읍 사임당로 11,2021-05-31
46,두산위브아파트 경로당,경기도 파주시 문산읍 우계로 470,2021-05-31
47,선유주공아파트 경로당,경기도 파주시 문산읍 독서울 1길 24,2021-05-31
48,선유주공2단지아파트 경로당,경기도 파주시 문산읍 사임당로 65,2021-05-31
49,문산선유3단지(휴먼시아)아파트 경로당,경기도 파주시 문산읍 독서울1길 39,2021-05-31
50,문산선유5단지(휴먼시아) 경로당,경기도 파주시 문산읍 독서울 1길 40,2021-05-31
51,세성아파트 경로당,경기도 파주시 문산읍 당동1로 46,2021-05-31
52,파주힐스테이트1차 경로당,경기도 파주시 문산읍 방촌로 1744,2021-05-31
53,파주힐스테이트2차 경로당,경기도 파주시 문산읍 당동1로 67,2021-05-31
54,당동주공아파트1단지 경로당,경기도 파주시 문산읍 방촌로 1660,2021-05-31
55,당동주공아파트2단지 경로당,경기도 파주시 문산읍 방촌로 1662,2021-05-31
56,당동휴먼시아3단지 경로당,경기도 파주시 문산읍 방촌로 1720,2021-05-31
57,자연&꿈에그린5단지 경로당,경기도 파주시 문산읍 당동1로 12,2021-05-31
58,자연&꿈에그린6단지 경로당,경기도 파주시 문산읍 당동1로 11,2021-05-31
59,당동4단지 경로당,경기도 파주시 문산읍 당동1로 12-1,2021-05-31
60,진흥소슬아파트 경로당,경기도 파주시 문산읍 우계로 457번길 29,2021-05-31
61,문산선유4단지 아파트 경로당,경기도 파주시 문산읍 독서울1길 21,2021-05-31
62,문산 한양수자인아파트 경로당,경기도 파주시 당동1로 52,2021-05-31
63,문산4리 경로당,경기도 파주시 문산읍 문향로 50번길 7-1,2021-05-31
64,문산 경로당,경기도 파주시 문산읍 독산로 31번길 6,2021-05-31
65,파주문산역1차동문굿모닝힐아파트 경로당,경기도 파주시 문산읍 사임당로 7 (파주문산역1차 동문 굿모닝힐),2021-05-31
66,봉일천6리(노인분회) 경로당,조리읍 송비말길 22 성원상가,2021-05-31
67,"대원1,2리 경로당",조리읍 닻고개길34,2021-05-31
68,대원3리 경로당,조리읍 문원길 260-12,2021-05-31
69,한라아파트 경로당,조리읍 능안로 37 한라아파트,2021-05-31
70,"동문그린시티3,5단지아파트 경로당",조리읍 대원로 45,2021-05-31
71,동문그린시티 2단지아파트 경로당,"조리읍 대원로 56, 동문그린시티 2단지",2021-05-31
72,봉일천2리 경로당,조리읍 내산길 72-45,2021-05-31
73,성호2차파크힐아파트 경로당,조리읍 두루봉로 33-37 성호2차파크힐 아파트,2021-05-31
74,태형내산아파트 경로당,"조리읍 두루봉로 37, 태형내산아파트",2021-05-31
75,태형미림아파트 경로당,"조리읍 두루봉로 31, 태형미림아파트",2021-05-31
76,성호아파트 경로당,조리읍 통일로 308-1 성호아파트,2021-05-31
77,봉일천4리 경로당,조리읍 솔바위골길 145,2021-05-31
78,봉일천4리(할머니) 경로당,조리읍 솔바위골길 164-13,2021-05-31
79,봉일천5리 경로당,조리읍 통일로 162,2021-05-31
80,성원아파트 경로당,"조리읍 송비말길 22, 성원아파트",2021-05-31
81,동문1차아파트 경로당,"조리읍 고봉로 1016, 동문아파트",2021-05-31
82,봉일천8리(미림아파트) 경로당,"조리읍 두루봉로 13, 미림아파트 2-101",2021-05-31
83,윤창아파트 경로당,"조리읍 두루봉로 21, 윤창아파트",2021-05-31
84,송촌토파즈아파트 경로당,"조리읍 통일로 155, 송촌토파즈아파트",2021-05-31
85,뇌조1리 경로당,조리읍 뇌조로171번길 36,2021-05-31
86,뇌조2리 경로당,조리읍 전지미말길 36-12,2021-05-31
87,뇌조3리 경로당,조리읍 뇌조로 63,2021-05-31
88,오산1리 경로당,조리읍 등원로353번길 14-3,2021-05-31
89,오산2리 경로당,조리읍 큰연당길 35,2021-05-31
90,장곡1리 경로당,조리읍 기곡길 80,2021-05-31
91,장곡2리 경로당,조리읍 명봉산로 70,2021-05-31
92,장곡3리 경로당,조리읍 명봉산로121번길 31,2021-05-31
93,등원1리 경로당,조리읍 등원로91번길 66,2021-05-31
94,등원2리 경로당,조리읍 통일로 480,2021-05-31
95,능안리 경로당,조리읍 안능안길 31,2021-05-31
96,"봉일천1,6,7리 경로당",조리읍 봉천로 37-22,2021-05-31
97,파주푸르지오아파트 경로당,"조리읍 내산길 55, 파주푸르지오아파트",2021-05-31
98,봉일천9리 경로당,"조리읍 내산길 29, 조리도서관 3층",2021-05-31
99,효성해링턴아파트 경로당,조리읍 소곡로 30,2021-05-31
100,가야1리 경로당,경기도 파주시 법원읍 가좌울길 141,2021-05-31
101,가야2리 경로당,경기도 파주시 법원읍 사임당로743번길 31-7,2021-05-31
102,가야3리 경로당,경기도 파주시 법원읍 자운서원로9번길 21,2021-05-31
103,가야4리 경로당,"경기도 파주시 법원읍 사임당로770번길 27, 1층 (가야4리 경로당)",2021-05-31
104,갈곡리 경로당,경기도 파주시 법원읍 칡울길 11,2021-05-31
105,금곡1리 경로당,경기도 파주시 법원읍 술이홀로 1372번길 66,2021-05-31
106,금곡2리 경로당,경기도 파주시 법원읍 술이홀로 1319,2021-05-31
107,대능4리 경로당,경기도 파주시 법원읍 술이홀로 860-29,2021-05-31
108,대능리 경로당,경기도 파주시 법원읍 술이홀로 892-1,2021-05-31
109,동문1리 경로당,경기도 파주시 법원읍 못말길 260,2021-05-31
110,동문2리 경로당,경기도 파주시 법원읍 사임당로 476-11,2021-05-31
111,법원1리 경로당,경기도 파주시 법원읍 사임당로 907번길 6,2021-05-31
112,법원2리 경로당,경기도 파주시 법원읍 술이홀로 981,2021-05-31
113,법원3리 경로당,경기도 파주시 법원읍 술이홀로907번길 15-1,2021-05-31
114,법원4리 경로당,경기도 파주시 법원읍 초리골길 284-16,2021-05-31
115,법원5리 경로당,경기도 파주시 법원읍 사임당로 881,2021-05-31
116,삼방2리 경로당,경기도 파주시 법원읍 둔방이길 572,2021-05-31
117,삼방리 경로당,경기도 파주시 법원읍 대위골길 358,2021-05-31
118,웅담1리 경로당,경기도 파주시 법원읍 수작골길 70-1,2021-05-31
119,웅담2리 경로당,경기도 파주시 법원읍 곰시길 186,2021-05-31
120,웅담3리 경로당,경기도 파주시 법원읍 술이홀로 1584번길 15,2021-05-31
121,율곡(2차)아파트 경로당,경기도 파주시 법원읍 자운서원로 36-29,2021-05-31
122,직천2리 경로당,경기도 파주시 법원읍 만월로 647,2021-05-31
123,술이홀 경로당,시장거리길 42 ,2021-05-31
124,파주1리 경로당,술이홀로179번길 12-2,2021-05-31
125,파주2리 경로당,시장거리길 76-11,2021-05-31
126,파주4리 경로당,시장거리길 33  ,2021-05-31
127,파주5리 경로당,우계로 86-8,2021-05-31
128,파주6리 경로당,오가리길 46 ,2021-05-31
129,파주휴먼시아 경로당,파발로26번길 7(파주휴먼시아@),2021-05-31
130,연풍1리 경로당,연풍초교길 30   ,2021-05-31
131,연풍2리 경로당,청류골길 8,2021-05-31
132,연풍3리 경로당,약수길 80,2021-05-31
133,연풍4리 경로당,술이홀로 485,2021-05-31
134,연풍5리  경로당,"술이홀로 409-6,(동광모닝스카이아파트)",2021-05-31
135,연풍1리 할머니 경로당,술이홀로 447  ,2021-05-31
136,부곡1리 경로당,정문로 698   ,2021-05-31
137,부곡2리 경로당,윗가마울길 135-21   ,2021-05-31
138,부곡3리 경로당,여울길 46  ,2021-05-31
139,백석1리 경로당,정문로 554-1  ,2021-05-31
140,백석2리 경로당,매바위길 3 ,2021-05-31
141,백석3리 경로당,매바위길 184-6,2021-05-31
142,백석4리 경로당,윗도장3길 86,2021-05-31
143,백석5리 경로당,정자말길 12   ,2021-05-31
144,봉암1리 경로당,주라위1길 10 ,2021-05-31
145,봉암2리 경로당,통일로1250번길 22 ,2021-05-31
146,봉암3리 경로당,봉암길 100,2021-05-31
147,봉암4리 경로당,새봉암길 55   ,2021-05-31
148,봉암5리 경로당,샛봉우재길 242  ,2021-05-31
149,봉서1리 경로당,화약골길 4  ,2021-05-31
150,봉서2리 경로당,통일로 1550,2021-05-31
151,봉서3리 경로당,잠방골길 20 ,2021-05-31
152,향양1리 경로당,향양말길 47-10 ,2021-05-31
153,향양2리 경로당,바리골길 194-10,2021-05-31
154,향양3리 경로당,성현로 53,2021-05-31
155,검전리 경로당,경기도 파주시 광탄면 검전말길 65,2021-05-31
156,광탄면통합경로당,경기도 파주시 광탄면 왕수물길 12,2021-05-31
157,기산1리 경로당,경기도 파주시 광탄면 기산로177번길 35,2021-05-31
158,동신라메르아파트 경로당,경기도 파주시 광탄면 큰여울길 20-21,2021-05-31
159,마장1리 경로당,경기도 파주시 광탄면 보광로1125번길 10,2021-05-31
160,마장2리 경로당,경기도 파주시 광탄면 심궁로246번길 13,2021-05-31
161,마장3리 경로당,경기도 파주시 광탄면 보광로920번길 7,2021-05-31
162,마장4리 경로당,경기도 파주시 광탄면 보광로 778,2021-05-31
163,발랑2리 경로당,경기도 파주시 광탄면 부흥로 488,2021-05-31
164,발랑리 경로당,경기도 파주시 광탄면 부흥로 402,2021-05-31
165,방축2리 경로당,경기도 파주시 광탄면 방축안길 39-16,2021-05-31
166,방축3리 경로당,경기도 파주시 광탄면 부흥로193번길 14,2021-05-31
167,분수1리 경로당,경기도 파주시 광탄면 혜음로883번길 39-18,2021-05-31
168,분수2리 경로당,경기도 파주시 광탄면 장지산로316번길 120,2021-05-31
169,분수3리 경로당,경기도 파주시 광탄면 장지산로198번길 59,2021-05-31
170,신산1리 경로당,경기도 파주시 광탄면 혜음로 1065-5,2021-05-31
171,신산2리 경로당,경기도 파주시 광탄면 혜음로1128번길 22,2021-05-31
172,신산3리 경로당,경기도 파주시 광탄면 혜음로1228번길 22-3,2021-05-31
173,신산4리 경로당,경기도 파주시 광탄면 내화산길 135,2021-05-31
174,신산5리 경로당,경기도 파주시 광탄면 외화산길 428,2021-05-31
175,영장1리 경로당,경기도 파주시 광탄면 기산로 94,2021-05-31
176,영장2리 경로당,경기도 파주시 광탄면 보광로 570,2021-05-31
177,영장3리 경로당,경기도 파주시 광탄면 기산로 9,2021-05-31
178,용미1리 경로당,경기도 파주시 광탄면 양지말길 138,2021-05-31
179,용미2리 경로당,경기도 파주시 광탄면 혜음로 639,2021-05-31
180,용미3리 경로당,경기도 파주시 광탄면 호주골길 23,2021-05-31
181,용미4리 경로당,경기도 파주시 광탄면 장지산로 43,2021-05-31
182,창만1리 경로당,경기도 파주시 광탄면 혜음로1379번길 23,2021-05-31
183,창만3리 경로당,경기도 파주시 광탄면 소라울2길 37-12,2021-05-31
184,창만4리 경로당,경기도 파주시 광탄면 만장산로 356,2021-05-31
185,창만5리 경로당,경기도 파주시 광탄면 부흥로275번길 10,2021-05-31
186,두포1리 경로당,파평면 파평산로478번길74-2,2021-05-31
187,두마할머니 경로당,파평면 파평산로331번길 46,2021-05-31
188,두포3리 경로당,파평면 파평산로572번길 80,2021-05-31
189,율곡1리 경로당,파평면 장승배기로366번길 17,2021-05-31
190,율곡2리 경로당,파평면 장승배기로268번길 78,2021-05-31
191,율곡3리 경로당,파평면 화석정로126번길 59,2021-05-31
192,율곡4리 경로당,파평면 장승배기로 184,2021-05-31
193,마산1리 경로당,파평면 용산골길 29-9,2021-05-31
194,마산리 경로당,파평면 배머리길 937,2021-05-31
195,두마 경로당,파평면 파평산로329번길 3,2021-05-31
196,금파1리 경로당,파평면 청송로 188,2021-05-31
197,금파1할머니 경로당,파평면 청송로208번길 8-17,2021-05-31
198,금파2리 경로당,파평면 금마루4길 8,2021-05-31
199,눌노리 경로당,파평면 청송로414번길 7-5,2021-05-31
200,눌노리할머니 경로당,파평면 청송로432번길 11-13,2021-05-31
201,덕천리 경로당,파평면 청송로610번길 11,2021-05-31
202,덕천리할머니 경로당,파평면 청송로610번길 13,2021-05-31
203,장파1리 경로당,파평면 장마루11길 15,2021-05-31
204,장파1리할머니 경로당,파평면 장마루11길 16,2021-05-31
205,장파2리 경로당,파평면 장마루로207-2,2021-05-31
206,위전1리 경로당,경기도 파주시 월롱면 다락고객길 70-7,2021-05-31
207,위전2리 경로당,경기도 파주시 월롱면 은행나무길 80,2021-05-31
208,위전3리 경로당,경기도 파주시 월롱면 누현2길 89,2021-05-31
209,위전4리 경로당 ,경기도 파주시 월롱면 도감로194번길 10,2021-05-31
210,덕은1리 경로당,경기도 파주시 월롱면 용상골길 106,2021-05-31
211,덕은2리 경로당,경기도 파주시 월롱면 월롱초교길 25,2021-05-31
212,덕은3리 경로당,경기도 파주시 월롱면옥돌내길 125,2021-05-31
213,덕은4리 경로당,경기도 파주시 월롱면 엘지로386번길 121-7,2021-05-31
214,덕은5리 경로당,경기도 파주시 월롱면 휴암로194,2021-05-31
215,영태1리 경로당,경기도 파주시 월롱면 영태길 35,2021-05-31
216,영태2리 경로당,경기도 파주시 월롱면 쉰우물길 123,2021-05-31
217,영태3리 경로당,경기도 파주시 월롱면 통일로 690번길 22,2021-05-31
218,영태4리 경로당,경기도 파주시 월롱면 함영골길 112-6,2021-05-31
219,영태5리 경로당,경기도 파주시 월롱면 한태말길 3-16,2021-05-31
220,영태6리 경로당,경기도 파주시 월롱면 통일로 642번길 73,2021-05-31
221,도내1리 경로당,경기도 파주시 월롱면 도감로 232번길 81,2021-05-31
222,도내2리 경로당,경기도 파주시 월롱면 내도감길 10-41,2021-05-31
223,도내3리 경로당,경기도 파주시 월롱면 정문로 478,2021-05-31
224,도내4리 경로당,경기도 파주시 월롱면 외도감길 3,2021-05-31
225,능산1리 경로당,경기도 파주시 월롱면 휴암로335번길 75-4,2021-05-31
226,능산2리 경로당,경기도 파주시 월롱면 국사봉길  55,2021-05-31
227,가월리 경로당,경기도 파주시 적성면 달빛길 81,2021-05-31
228,가월리 할머니,경기도 파주시 적성면 달빛길 81,2021-05-31
229,객현1리 경로당,경기도 파주시 적성면 윗배우니길 194,2021-05-31
230,객현2리 경로당,경기도 파주시 적성면 선고개길 114-4,2021-05-31
231,구읍1리 경로당,경기도 파주시 적성면 구읍로 108,2021-05-31
232,구읍2리 경로당,경기도 파주시 적성면 칠중5길 33,2021-05-31
233,구읍2리 할머니 경로당,경기도 파주시 적성면 칠중7길 54,2021-05-31
234,마지1리 경로당,경기도 파주시 적성면 청송로 1027-32,2021-05-31
235,마지1리 할머니 경로당,경기도 파주시 적성면 솥뒤로 16-5,2021-05-31
236,마지2리 경로당,경기도 파주시 적성면 적서초교길 153,2021-05-31
237,설마리 경로당,경기도 파주시 적성면 사기막길 30,2021-05-31
238,식현1리 경로당,경기도 파주시 적성면 국사로54번길 72,2021-05-31
239,식현1리 할머니 경로당,경기도 파주시 적성면 국사로54번길 72,2021-05-31
240,식현2리 경로당,경기도 파주시 적성면 청송로699번길 87,2021-05-31
241,식현2리 할머니 경로당,경기도 파주시 적성면 청송로661번길 9,2021-05-31
242,어유지1리 경로당,경기도 파주시 적성면 어삼로31,2021-05-31
243,어유지2리 경로당,경기도 파주시 적성면 어삼로 125-8,2021-05-31
244,율포리 경로당,경기도 파주시 적성면 율곡로2536,2021-05-31
245,자장리 경로당,경기도 파주시 적성면 국사로 392-3,2021-05-31
246,장현1리 경로당,경기도 파주시 적성면 서녘놀길 56-2,2021-05-31
247,장현2리 경로당,경기도 파주시 적성면 장뜰길 106,2021-05-31
248,적암리 경로당,경기도 파주시 적성면 율곡로3064번길 146,2021-05-31
249,주월리 경로당,경기도 파주시 적성면 달빛길 345,2021-05-31
250,축현1리 경로당,파주시 탄현면 헌덕골길 102-26,2021-05-31
251,축현2리 경로당,파주시 탄현면 방촌로 649,2021-05-31
252,금승리 경로당,파주시 탄현면 정승로 22,2021-05-31
253,낙하리 경로당,파주시 탄현면 동오리길 143,2021-05-31
254,문지리 경로당,파주시 탄현면 방촌로955번길 12-3,2021-05-31
255,오금1리 경로당,파주시 탄현면 오금로134번길 3,2021-05-31
256,오금2리 경로당 ,파주시 탄현면 오금로80번길 93,2021-05-31
257,금산2리 경로당,파주시 탄현면 새오리로540번길 32,2021-05-31
258,만우리 경로당,파주시 탄현면 새오리로395번길 11,2021-05-31
259,대동리 경로당,파주시 탄현면 새오리로 325,2021-05-31
260,성동리 경로당,파주시 탄현면 새오리로 71,2021-05-31
261,법흥1리 경로당,파주시 탄현면 소금쟁이길 71,2021-05-31
262,법흥2리 경로당,파주시 탄현면 국화향길 92,2021-05-31
263,법흥3리 경로당,파주시 탄현면 소리개길 246,2021-05-31
264,갈현1리 경로당,파주시 탄현면 평화로 589,2021-05-31
265,갈현2리 경로당,파주시 탄현면 장릉로49번길 88,2021-05-31
266,갈현3리 경로당,파주시 탄현면 장릉로102번길 42,2021-05-31
267,효자그린빌 경로당,파주시 탄현면 여치길 77 효자그린빌,2021-05-31
268,유승앙브와즈1단지 경로당 ,파주시 탄현면 하늘소로16 유승앙브와즈106동,2021-05-31
269,유승앙브와즈2단지 경로당,파주시 탄현면 사슴벌레로45 유승앙브와즈206동,2021-05-31
270,축현3리 경로당,파주시 탄현면 검산로 368-34,2021-05-31
271,상지석2리 경로당,경기도 파주시 상지석길 234 (상지석동),2021-05-31
272,상지석1리 경로당,경기도 파주시 운정역길 55-3 (상지석동),2021-05-31
273,와동1리 경로당,경기도 파주시 성재안길 26 (당하동),2021-05-31
274,상지석4리 경로당,경기도 파주시 운정로 102 (상지석동),2021-05-31
275,가람마을8단지 경로당,경기도 파주시 금바위로 47 (와동동),2021-05-31
276,가람마을3단지 경로당,경기도 파주시 금바위로 100 (와동동),2021-05-31
277,가람마을2단지(휴먼시아) 경로당,경기도 파주시 미래로 602 (와동동),2021-05-31
278,월드메르디앙(가람마을10단지)아파트 경로당,경기도 파주시 가온로 245 (와동동),2021-05-31
279,가람마을11단지 동문굿모닝힐아파트 경로당,경기도 파주시 가온로 256 (와동동),2021-05-31
280,가람마을 벽산한라아파트 경로당,경기도 파주시 가람로 22 (와동동),2021-05-31
281,가람마을6단지 경로당,경기도 파주시 가람로 90 (와동동),2021-05-31
282,가람마을7단지 경로당,경기도 파주시 가람로116번길 130 (와동동),2021-05-31
283,가람마을4단지 한양수자인아파트 경로당,경기도 파주시 가람로 70 (와동동),2021-05-31
284,가람마을5단지 경로당,경기도 파주시 가람로116번길 40 (와동동),2021-05-31
