업종명,업소명,업태명,주요메뉴,소재지(도로명),소재지(지번),영업장면적,전화번호
일반음식점,덕성원,중국식,"짬뽕,자장면","경기도 파주시 명동길 43, 1,2층 (금촌동)","경기도 파주시 금촌동 323-10 1,2층 ",432.9, 031- 941-2226
일반음식점,(주)반구정나루터집,한식,"장어구이,메기매운탕",경기도 파주시 문산읍 반구정로85번길 13,경기도 파주시 문산읍 사목리 208-3 ,3031.72, 031- 952-3472
일반음식점,진미식당,한식,장어구이,경기도 파주시 파평면 장마루로 261,경기도 파주시 파평면 장파리 370-119 ,171.12, 031- 958-3321
일반음식점,복청,복어취급,복어요리,경기도 파주시 월롱면 통일로 714,경기도 파주시 월롱면 영태리 산 112-2 ,112.32, 031- 941-4538
일반음식점,옛날시골밥상,한식,보리밥정식,경기도 파주시 탄현면 새오리로 110,"경기도 파주시 탄현면 성동리 96-9 ,11번지 ",383.9,031 - 945-5957
일반음식점,장단가든,한식,손두부,"경기도 파주시 문산읍 임진나루길 133-12, 2층",경기도 파주시 문산읍 임진리 8-72 외1필지 2층 ,264, 031- 954-1559
일반음식점,아구나라,한식,"아구탕,아구찜",경기도 파주시 조리읍 송비말길 79-15 ((나동)),경기도 파주시 조리읍 봉일천리 177-5 (나동) ,134.75, 031- 944-3102
일반음식점,신성아구찜,한식,묵요리,경기도 파주시 탄현면 새오리로 50 (1층),경기도 파주시 탄현면 성동리 67-13 1층 ,258.2, 031- 946-9920
일반음식점,산내음,한식,산채비빔밥,경기도 파주시 탄현면 평화로 885-18,경기도 파주시 탄현면 성동리 663-10 ,492.62, 031- 946-8155
일반음식점,유일곰탕,한식,한식)곰탕,경기도 파주시 월롱면 다락고개길 119,경기도 파주시 월롱면 위전리 430-27 ,90.02, 031- 944-3691
일반음식점,장수누룽지백숙&명품장어,한식,"장어구이, 장어정식","경기도 파주시 탄현면 새오리로 13 ((2,3층))","경기도 파주시 탄현면 성동리 279-8 (2,3층) ",561.72, 031- 947-6782
일반음식점,전망대누룽지삼계탕,한식,누릉지삼계탕,경기도 파주시 탄현면 새오리로 215-36,경기도 파주시 탄현면 대동리 107-11 ,299.5, 031- 942-9696
일반음식점,통일동산두부마을,한식,두부전골,경기도 파주시 탄현면 필승로 480 ((1층)),경기도 파주시 탄현면 성동리 664-2 (1층) ,489.97, 031- 945-2114
일반음식점,명품설농탕 금촌본점,한식,설렁탕,"경기도 파주시 새꽃로 246, 1.2.3층 (아동동)",경기도 파주시 아동동 312-18 ,529.76, 031- 947-5621
일반음식점,흔적,경양식,양식,"경기도 파주시 탄현면 새오리로 59-20 ((1층,2층))","경기도 파주시 탄현면 성동리 196-2 (1층,2층) ",268.84, 031- 948-8585
일반음식점,용해물탕,한식,해물탕,"경기도 파주시 시청로 7, 1층 (금촌동)",경기도 파주시 금촌동 947-35 용해물탕 ,222, 031- 945-5279
일반음식점,봉참치,일식,참치요리,경기도 파주시 조리읍 통일로 325 (외6필지),경기도 파주시 조리읍 봉일천리 209-1 외 6필지 ,176.75, 031- 943-3788
일반음식점,메밀꽃,한식,메밀국수,"경기도 파주시 경의로 1090, 2층 209호 (야당동)",경기도 파주시 야당동 1072-1 2층 209호 ,128.61,031 -942 -1068
일반음식점,옛날밥집,한식,청국장정식,경기도 파주시 광탄면 기산로 185,경기도 파주시 광탄면 기산리 502-15 ,185.09, 031- 946-7437
일반음식점,금촌화로구이,한식,돼지갈비,,경기도 파주시 금촌동 504-2 ,715.89, 031- 949-9252
일반음식점,민바리매운탕,한식,고추장매운탕,경기도 파주시 쌀뚜기길 44-42 (문발동),경기도 파주시 문발동 223-5 ,196.27, 031- 949-8266
일반음식점,으뜸착한낙지,한식,"낙지덮밥, 연포탕",경기도 파주시 파주읍 충현로 28,경기도 파주시 파주읍 봉서리 405-1 ,398.5, 031- 952-7200
일반음식점,농부의식탁(Farmer's Table)파머스테이블,경양식,경양식,경기도 파주시 탄현면 헤이리마을길 59-77 (헤이리 G-50 ARTINUS),경기도 파주시 탄현면 법흥리 1652-143 헤이리 G-50 ARTINUS ,421.45, 031- 948-6225
일반음식점,유가원설렁탕,한식,"설렁탕, 수육","경기도 파주시 교하로 1066 (다율동,유가원1.2층)",경기도 파주시 다율동 979-1 유가원1.2층 ,411.49, 031- 948-5353
일반음식점,오두산막국수(통일로직영점),한식,"막국수,수육","경기도 파주시 탄현면 성동로 17 (통일프라자 101,102,103 호)","경기도 파주시 탄현면 성동리 674 통일프라자 101,102,103 호 ",282.53, 031- 941-5237
일반음식점,제주흑돈미담,한식,등심,"경기도 파주시 번영로 2, 본가 2층 (금촌동)",경기도 파주시 금촌동 945-9 본가 2층 ,499.2, 031- 944-4600
일반음식점,도라산식당,한식,불고기,,경기도 파주시 장단면 도라산리 108-38 2층 ,305.72,031 -954 -5559
일반음식점,나정순할매쭈꾸미,한식,쭈꾸미,경기도 파주시 순못길 122-9 (다율동),경기도 파주시 다율동 990-7 ,152.16,031 - 942-6922
일반음식점,솔덕능이백숙전문점,한식,능이버섯백숙,"경기도 파주시 교하로 605-32 (동패동,1층)",경기도 파주시 동패동 632-1 1층 ,197.12,031 -8071-5292
일반음식점,구끼구끼,한식,"등심,갈비살","경기도 파주시 새꽃로 236, 1층 (아동동)",경기도 파주시 아동동 354-10 1층 ,849.2, 031- 949-1492
