묘지명,대표자,소재지도로명주소,조성년도,면적(제곱미터),총 안치 가능 기수,기 안치 기수,향후 안치 가능 기수,데이터기준일
동화경모공원,김한극,경기도 파주시 탄현면 헤이리로 98,1995,599,"29,316","4,926","24,390",2021-05-31
통일로추모공원,박형길,경기도 파주시 조리읍 장곡리 598-196,2003,"1,416","28,080","17,093","10,987",2021-05-31
크리스찬메모리얼파크,김윤배,경기도 파주시 조리읍 홀작로 164,2004,"2,798","39,122","15,248","23,874",2021-05-31
(재)서현공원,정광식,경기도 파주시 파주읍 광탄면 용미리 753-9,2011,"5,295","35,000","16,672","18,329",2021-05-31
상락원,주영희,경기도 파주시 야동동 산17-1,1986,84,"2,000",547,"1,453",2021-05-31
참회와 속죄의 성당,이기헌,경기도 파주시 탄현면 성동로111,2014,784,"4,959","1,886","3,073",2021-05-31
보광사,김재호,경기도 파주시 광탄면 보광로 474번길 87,2002,899.91,"11,000","6,644","4,356",2021-05-31
약수암(파주추모공원),이병태,경기도 파주시 파주읍 약수골길 86,2006,452,"56,806","8,869","48,008",2021-05-31
검단사,이승훈,경기도 파주시 탄현면 성동리 689,2015,36,108,30,78,2021-05-31
새문안교회,새문안교회,경기도 파주시 광탄면 영장리 22-3,2019,337,"4,508",366,"4,142",2021-05-31
