순번,관측소명,지구명,상세위치,설치일자,측기검정일자,측기,위도,경도
1,애룡교,파주,파주읍 연풍리 7-3,2012-06-01,2015-11-01,우량+수위,37.829398,126.850925
2,연풍2교,파주,파주읍 연풍리 372-42,2012-06-01,2015-11-01,우량,37.827487,126.835334
3,설원교,법원,법원읍 직천리 667-3,2012-06-01,2015-11-01,우량+수위,37.902524,126.914946
4,웅담새마을교,법원,법원읍 웅담리 308-10,2012-06-01,2015-11-01,우량+수위,37.907388,126.897088
5,웅비교,법원,법원읍 웅담리 395-3,2012-06-01,2015-11-01,우량+수위,37.913689,126.898434
6,영장교,광탄,광탄면 마장리 16-10,2012-06-01,2015-11-01,우량+수위,37.771212,126.897673
7,중산교,광탄,광탄면 기산리 518,2012-06-01,2015-11-01,우량+수위,37.774794,126.920871
8,가송가든,광탄,광탄면 영장리 233-7,2012-06-01,2015-11-01,우량,37.775153,126.905317
9,유일교,광탄,광탄면 마장리 99-4,2012-06-01,2015-11-01,우량,37.774165,126.885335
10,마장교,광탄,광탄면 마장리 408-8,2012-06-01,2015-11-01,우량,37.778926,126.878591
11,영국군전적지,적성,적성면 구읍리 112-2,2012-06-01,2015-11-01,우량,37.947342,126.933549
12,계곡산장,적성,적성면 설마리 산43-1,2012-06-01,2015-11-01,우량,37.939087,126.944296
13,하나로클럽,조리,조리읍 장곡리 466-4,2012-06-01,2015-11-01,우량,37.731729,126.834506
14,금촌7단지,금촌2동,금능동 420-6,2012-06-01,2015-11-01,우량,37.746626,126.772282
15,비룡훈련소,적성,적성면 설마리 347번지,2012-06-01,2015-11-01,우량,37.938728,126.944564
16,범륜사,적성,적성면 설마리 산 47,2012-07-01,2015-11-01,우량,37.931449,126.946516
17,통일교,적성,적성면 설마리 산14,2012-07-01,2015-11-01,우량,37.936059,126.944781
18,황포돛배,적성,적성면 두지리 214-2,2013-04-01,2016-04-01,우량,37.941402,126.877192
19,파평우체국,파평,파평면 눌노리 238-4,2013-04-01,2016-04-01,우량,37.930782,126.858166
20,퇴골계곡,적성,적성면 마지리 0-1가,2013-08-01,2016-04-01,우량,37.945843,126.922431
21,마지2교,적성,적성면 마지리 336-3,2013-12-01,2016-04-01,우량,37.956699,126.926392
22,대능교,법원,법원읍 대능리 219-6,2015-05-01,2015-05-01,우량+수위,37.847327,126.869075
23,칠정교,문산,문산읍 선유리 217-8,2015-05-01,2015-05-01,우량,37.867414,126.816265
24,초리골,법원,법원읍 법원리 59-5,2016-04-01,2016-04-01,우량,37.863906,126.899883
25,대궐터,파평,파평면 금파리 349-13,2017-03-01,2017-03-01,우량,37.899048,126.815918
26,원두막,파평,파평면 금파리 산14-30,2017-03-01,2017-03-01,우량,37.924527,126.829898
27,힐링파크,적성,적성면 설마리 산 44-2,2017-08-01,2017-08-01,우량,37.936863,126.944392
28,곡능천교,교하,하지석동 439-1,2019-05-01,2019-05-01,우량,37.755278,126.733055
29,영천배수갑문,교하,오도동 298,2019-05-01,2019-05-01,우량,37.751035,126.720636
30,선유교,문산,선유리 480-3,2020-06-01,2020-06-01,우량,37.86331,126.8058
31,금촌기존펌프장,금촌,금촌동 329-74,2020-06-01,2020-06-01,우량,37.76495,126.77032
32,도마산교,광탄,창만리 77-10,2020-06-01,2020-06-01,우량,37.80161,126.87952
