업종,업소명,대표자,시도,시군구,새 주소,읍/면/동,연락처,품목1,가격1,품목2,가격2,품목3,가격3,위도,경도,기준일자
한식,현대식당,임경진,경기도,파주시,적성면 청송로 1039,적성면,031-959-3953,한우등심(180g),"32,000",불고기(250g),"15,000",곱창전골(2인분),"24,000",37.9553375,126.9203186,2021-04-20
이미용업,영태이용원,황호주,경기도,파주시,월롱면 영태길 7,월롱면,031-943-1806,컷트,"7,000",,,,,37.7821388,126.7887268,2021-04-20
이미용업,로이미용실,김혜란,경기도,파주시,광탄면 혜음로 1127-2,광탄면,031-957-5007,파마,"25,000",컷트,"10,000",염색,"25,000",37.7819366,126.847229,2021-04-20
이미용업,헤어짱,최수남,경기도,파주시,탄현면 여치길 81,탄현면,031-944-0810,커트(성인),"7,000",퍼머,"25,000",드라이,"10,000",37.7704163,126.7025681,2021-04-20
이미용업,시온미용실,송도자,경기도,파주시,월롱면 쉰우물길 13-16,월롱면,031-941-5285,일반펌,"15,000",커트(성인),"5,000",염색,"15,000",37.777874,126.7895126,2021-04-20
이미용업,은혜미용실,정영신,경기도,파주시,파평면 장마루로 246-1,파평면,031-958-9761,파마,"15,000",컷트,"7,000",학생컷트,"5,000",37.9437332,126.8376846,2021-04-20
이미용업,팜스헤어클럽,신순자,경기도,파주시,송화로 11 팜스상가 169동 2층 210,아동동,031-947-8908,퍼머,"20,000",커트,"7,000",드라이,"7,000",37.7719841,126.7770309,2021-04-20
이미용업,아씨미용실,박순녀,경기도,파주시,정담길 105,금촌동,031-941-8129,퍼머,"20,000",커트,"7,000",드라이,"7,000",37.7705612,126.7736664,2021-04-20
한식,중앙스넥,엄남이,경기도,파주시,금정24길 21,금촌동,031-943-1252,냉면,"6,000",순대국,"7,000",호박만두,"7,000",37.7629089,126.7739182,2021-04-20
한식,소망순대국,한미,경기도,파주시,금정24길 19,금촌동,031-944-3929,순대국,"7,000",돼지국밥,"7,000",냉면,"6,000",37.7628441,126.7737808,2021-04-20
한식,털보순대,이분임,경기도,파주시,금정24길 15 83호,금촌동,031-941-5558,비빔밥,"6,000",냉면,"6,000",순대국,"7,000",37.7627563,126.7734985,2021-04-20
이미용업,스타미용실,박영희,경기도,파주시,금정24길 5-1,금촌동,031-941-2882,퍼머,"20,000",커트,"8,000",염색,"15,000",37.7626152,126.7730255,2021-04-20
이미용업,조희미용실,신유범,경기도,파주시,문산읍 문향로75번길 19-12,문산읍,031-954-1116,일반펌,"30,000",컷트,"10,000",새치 뿌리염색,"15,000",37.8584862,126.7843781,2021-04-20
