상호,영업소소재지(도로명),영업소소재지(지번),업종명
황금성게임랜드,"경기도 포천시 중앙로119번길 4, 동원예원프라자 (신읍동)",경기도 포천시 신읍동 43-20번지 동원예원프라자 ,일반게임제공업
터미널게임장,"경기도 포천시 소흘읍 솔모루로98번길 2, 3층",경기도 포천시 소흘읍 송우리 107-18번지 ,일반게임제공업
황금게임랜드,"경기도 포천시 소흘읍 솔모루로 83, 솔모루빌딩",경기도 포천시 소흘읍 송우리 196-9번지 솔모루빌딩 ,일반게임제공업
한성게임랜드,경기도 포천시 소흘읍 솔모루로92번길 9-15,경기도 포천시 소흘읍 송우리 107-8번지 ,일반게임제공업
예원성인게임랜드,"경기도 포천시 중앙로119번길 4, 동원예원프라자 2층 (신읍동)",경기도 포천시 신읍동 43-20번지 동원예원프라자 ,일반게임제공업
장마당게임랜드,"경기도 포천시 소흘읍 솔모루로58번길 18, 1층",경기도 포천시 소흘읍 송우리 142-1번지 ,일반게임제공업
삼성게임랜드,"경기도 포천시 소흘읍 솔모루로109번길 5, 에스케이빌딩 1층",경기도 포천시 소흘읍 송우리 221-11번지 ,일반게임제공업
우리게임랜드,경기도 포천시 소흘읍 솔모루로 95,경기도 포천시 소흘읍 송우리 196-1번지 ,일반게임제공업
카지노게임장,"경기도 포천시 포천로1585번길 26-6, 3층 (신읍동)",경기도 포천시 신읍동 47-31번지 ,일반게임제공업
올레게임랜드,"경기도 포천시 중앙로119번길 17, 3층 (신읍동)",경기도 포천시 신읍동 47-6번지 ,일반게임제공업
포천게임랜드,"경기도 포천시 중앙로110번길 6, 4층 (신읍동)",경기도 포천시 신읍동 23-4번지 ,일반게임제공업
킹콩게임랜드,"경기도 포천시 원앙로 24, 1층 (신읍동)",경기도 포천시 신읍동 176-4번지 ,일반게임제공업
양문게임랜드,경기도 포천시 영중면 양문로10길 11,경기도 포천시 영중면 양문리 848-4번지 ,청소년게임제공업
PC마을,경기도 포천시 가산면 포천로 865,경기도 포천시 가산면 마산리 186번지 ,청소년게임제공업
드림게임장,경기도 포천시 이동면 장암1길 15,경기도 포천시 이동면 장암리 508-5번지 ,청소년게임제공업
나이스게임방,"경기도 포천시 소흘읍 솔모루로92번길 6-4, 가동 1층",경기도 포천시 소흘읍 송우리 110-105번지 ,청소년게임제공업
뀨뽑기방,"경기도 포천시 중앙로119번길 18-1, 1층 (신읍동)",경기도 포천시 신읍동 47-18번지 ,청소년게임제공업
뽀바바,경기도 포천시 일동면 기산서길 3-4,경기도 포천시 일동면 기산리 91-112번지 ,청소년게임제공업
뽑아가,"경기도 포천시 영북면 운천로 17-1, 1층",경기도 포천시 영북면 운천리 513-17번지 ,청소년게임제공업
토이팡 인형뽑기,"경기도 포천시 일동면 화동로1051번길 1, 1층",경기도 포천시 일동면 기산리 90-105번지 ,청소년게임제공업
착한인형,경기도 포천시 가산면 가산로 376,경기도 포천시 가산면 마산리 183번지 ,청소년게임제공업
혜은게임장,"경기도 포천시 영중면 양문로5길 10-8, 1층",경기도 포천시 영중면 양문리 804-1번지 ,청소년게임제공업
뽑아봅세,경기도 포천시 내촌면 내촌로 51,경기도 포천시 내촌면 내리 496-3번지 ,청소년게임제공업
인형뽑기게임존,경기도 포천시 영중면 양문로 101,경기도 포천시 영중면 양문리 802-10번지 ,청소년게임제공업
뽑기천국,"경기도 포천시 중앙로119번길 11-2, 1층 (신읍동)",경기도 포천시 신읍동 45-12번지 ,청소년게임제공업
홍두깨게임장,"경기도 포천시 소흘읍 호국로 571, 정우빌딩",경기도 포천시 소흘읍 송우리 494-1번지 정우빌딩 ,청소년게임제공업
천지게임랜드,"경기도 포천시 소흘읍 솔모루로58번길 18, 1층",경기도 포천시 소흘읍 송우리 142-1번지 ,청소년게임제공업
