업종명,업소명,영업자,소재지(도로명),소재지(지번)
일반음식점,한중,양연주,경기도 포천시 관인면 관인로19번길 6,경기도 포천시 관인면 탄동리 665번지 4호  
일반음식점,서울회관,김명옥,경기도 포천시 관인면 탄동길 8,경기도 포천시 관인면 649번지 28호  
일반음식점,화성식당,고병수, ,경기도 포천시 관인면 탄동리 650번지  
일반음식점,뚱보칡냉면,최미숙,경기도 포천시 관인면 관인로 21,경기도 포천시 관인면 탄동리 652번지 14호  
일반음식점,매일식당,이춘자,경기도 포천시 이동면 장암1길 30,경기도 포천시 이동면 장암리 481번지 29호  
일반음식점,춘하추동,김보경,경기도 포천시 내촌면 내촌로 71,경기도 포천시 내촌면 내리 521번지 5호  
일반음식점,깊은산초가집,양원녀, ,경기도 포천시 신읍동 23번지 5호  
일반음식점,민추어탕,채윤숙,경기도 포천시 중앙로 100 (신읍동),경기도 포천시 신읍동 33번지 18호  
일반음식점,현대반점,송순영,경기도 포천시 중앙로105번길 15-1 (신읍동),경기도 포천시 신읍동 54번지 14호  
일반음식점,미미식당,이경애,경기도 포천시 화현면 화동로 592-1,경기도 포천시 화현면 106번지 20호  
일반음식점,남원통닭,명경애,경기도 포천시 관인면 관인로 35,경기도 포천시 관인면 탄동리 651번지 6호  
일반음식점,대원갈비,정형순,경기도 포천시 영북면 운천로9번길 9-1,경기도 포천시 영북면 운천리 506번지 46호  
일반음식점,차이나각,이희환,경기도 포천시 영북면 운천로 19-10,경기도 포천시 영북면 운천리 513번지 47호  
일반음식점,옛마당,홍순기,경기도 포천시 영북면 운천로33번길 5,경기도 포천시 영북면 운천리 517번지 4호  
일반음식점,유정식당,송오덕,경기도 포천시 영북면 산정호수로411번길 91,경기도 포천시 영북면 산정리 191번지  
일반음식점,청운쉼터,서승환,경기도 포천시 이동면 포화로 328,경기도 포천시 이동면 도평리 23번지 2호  
일반음식점,전주솔밭갈비,은순예,경기도 포천시 이동면 포화로 178,경기도 포천시 이동면 도평리 720번지  
일반음식점,선녀탕집,박경자, ,경기도 포천시 이동면 도평리 720번지  
일반음식점,황해식당,이현자, ,경기도 포천시 이동면 도평리 83번지 4호  
일반음식점,산울림식당,차철승,경기도 포천시 이동면 포화로 304,경기도 포천시 이동면 도평리 27번지  
일반음식점,동헌네민박식당,김병철, ,경기도 포천시 이동면 도평리 산 75번지  
일반음식점,은행나무집,박영순, ,경기도 포천시 이동면 도평리 산 75번지  
일반음식점,등나무집,김민욱,경기도 포천시 이동면 포화로 319,경기도 포천시 이동면 도평리 산 75번지  
일반음식점,인혜식당,이원자, ,경기도 포천시 이동면 노곡리 902번지 11호  
일반음식점,이동원조숲속갈비,김정미,경기도 포천시 이동면 포화로 201,경기도 포천시 이동면 도평리 42번지 1호  
일반음식점,친한친구,김향숙,경기도 포천시 군내면 청군로 3435,경기도 포천시 군내면 구읍리 733번지 6호  
일반음식점,밀리네소주방,엄수정,경기도 포천시 이동면 장암2길 21-1,경기도 포천시 이동면 장암리 504번지 20호  
일반음식점,포천집,박복순, ,경기도 포천시 이동면 도평리 186번지  
일반음식점,초원갈비,유서용,경기도 포천시 이동면 성장로1289번길 57,경기도 포천시 이동면 장암리 477번지 1호  
일반음식점,원조이동김미자할머니갈비,정상 외 1명,경기도 포천시 이동면 화동로 2087,경기도 포천시 이동면 장암리 216번지 4호  
일반음식점,태화정가든,조주민,경기도 포천시 일동면 화동로 833,경기도 포천시 일동면 기산리 692번지 13호  
일반음식점,윤선식당,심수애,경기도 포천시 일동면 화동로1051번길 11-5,경기도 포천시 일동면 기산리 90번지 94호  
일반음식점,명문생선구이,류문선, ,경기도 포천시 영중면 양문리 803번지  
일반음식점,장안순대국,최옥현,경기도 포천시 일동면 화동로1043번길 8-12,경기도 포천시 일동면 기산리 90번지 122호  
일반음식점,평택집,이명자,경기도 포천시 일동면 화동로 1041  1층,경기도 포천시 일동면 기산리 89번지 74호 1층 
일반음식점,김밥천국,고희경,경기도 포천시 일동면 화동로 1074,경기도 포천시 일동면 기산리 82번지 5호  
일반음식점,한식뷔페금강산,유제월,경기도 포천시 영중면 호국로 2995,경기도 포천시 영중면 양문리 885번지 3호  
일반음식점,태봉분식,김대희,경기도 포천시 소흘읍 솔모루로92번길 8,경기도 포천시 소흘읍 송우리 110번지 57호  
일반음식점,미미향,손안리,경기도 포천시 이동면 화동로 2061-1,경기도 포천시 이동면 장암리 242번지 15호  
일반음식점,정성식당,이영숙, ,경기도 포천시 이동면 도평리 산 75번지  
일반음식점,수원집,김선희, ,경기도 포천시 군내면 구읍리 733번지  
일반음식점,수보식당,김정아,경기도 포천시 소흘읍 송우로21번길 1,경기도 포천시 소흘읍 송우리 135번지 2호  
일반음식점,중흥관,왕경신, ,경기도 포천시 일동면 기산리 94번지  
일반음식점,불불이족발,김광순,경기도 포천시 구절초로 40 (신읍동),경기도 포천시 신읍동 47번지 11호  
일반음식점,별미촌순대,김원필,경기도 포천시 영북면 운천로9번길 6-5,경기도 포천시 영북면 운천리 506번지 36호  
일반음식점,칠정식당,오미좌자,경기도 포천시 소흘읍 솔모루로 64,경기도 포천시 소흘읍 송우리 141번지 16호  
일반음식점,한양갈비,김영철, ,경기도 포천시 신읍동 23번지 12호  
일반음식점,한마음분식,정도학, ,경기도 포천시 신읍동 173번지  
일반음식점,김근자할머니집,박성진,경기도 포천시 이동면 성장로1289번길 57,경기도 포천시 이동면 장암리 477번지 1호  
일반음식점,구포숯불갈비,안말련, ,경기도 포천시 신읍동 48번지  
일반음식점,꽃잎,양태종,경기도 포천시 중앙로141번길 16 (신읍동),경기도 포천시 신읍동 190번지 7호  
일반음식점,전주식당,송미숙,경기도 포천시 유교로 7 (자작동),경기도 포천시 자작동 30번지 1호  
일반음식점,퍼줄래생고기,이애주,경기도 포천시 호국로 991 (선단동),경기도 포천시 선단동 52번지 7호  
일반음식점,앵커맨,최경심,경기도 포천시 포천로1585번길 15 (신읍동),경기도 포천시 신읍동 172번지 6호  
일반음식점,오뚜기식당,강석순,경기도 포천시 이동면 장암1길 20-1,경기도 포천시 이동면 장암리 507번지 4호  
일반음식점,느티나무갈비,김선낭 외 1명,경기도 포천시 이동면 성장로1289번길 57,경기도 포천시 이동면 장암리 477번지 1호  
일반음식점,초류향,김혜정,경기도 포천시 이동면 갈골안길 127,경기도 포천시 이동면 노곡리 280번지 52호  
일반음식점,9137,이준미,경기도 포천시 이동면 낭유길 1,경기도 포천시 이동면 노곡리 894번지 28호  
일반음식점,순두부와메밀마을,한영희,경기도 포천시 일동면 화동로 1076,경기도 포천시 일동면 기산리 82번지 14호  
일반음식점,이동닭집,김명순,경기도 포천시 이동면 장암1길 16-2,경기도 포천시 이동면 장암리 507번지 13호  
일반음식점,가일집,최옥열,경기도 포천시 일동면 화동로 1039  1층,경기도 포천시 일동면 기산리 89번지 53호 1층 
일반음식점,실비집,조윤정,경기도 포천시 일동면 화동로 1054-1,경기도 포천시 일동면 기산리 83번지 89호  
일반음식점,우진식당,양윤문,경기도 포천시 일동면 화동로 1046-1,경기도 포천시 일동면 기산리 90번지 159호  
일반음식점,충남식당,서성희,경기도 포천시 영중면 양문로3길 10,경기도 포천시 영중면 양문리 801번지 7호  
일반음식점,양문통닭,최정숙, ,경기도 포천시 영중면 양문리 809번지  
일반음식점,내촌집,안청미, ,경기도 포천시 내촌면 내리 485번지  
일반음식점,FOOD COURT(푸드코트),김광인,경기도 포천시 내촌면 금강로2536번길 27,경기도 포천시 내촌면 소학리 295번지  
일반음식점,청계산장,서연례,경기도 포천시 일동면 운악청계로1480번길 90-22,경기도 포천시 일동면 기산리 1번지 6호  
일반음식점,삼거리식당,진국강,경기도 포천시 내촌면 내촌로 63,경기도 포천시 내촌면 내리 479번지 1호  
일반음식점,한상궁왕족발,김민,경기도 포천시 선마로 11 (선단동),경기도 포천시 선단동 56번지 8호  
일반음식점,진국수,양영미,경기도 포천시 신읍1길 6-18 (신읍동),경기도 포천시 신읍동 53번지 3호  
일반음식점,제일갈비,김근자,경기도 포천시 이동면 성장로1289번길 57,경기도 포천시 이동면 장암리 477번지 1호  
일반음식점,담소,조현숙,경기도 포천시 일동면 성장로 505,경기도 포천시 일동면 수입리 857번지 1호  
일반음식점,한마당,김정기,경기도 포천시 소흘읍 송우로21번길 5,경기도 포천시 소흘읍 송우리 138번지 5호  
일반음식점,사또오리,박경옥,경기도 포천시 소흘읍 송우로 7,경기도 포천시 소흘읍 송우리 121번지 1호  
일반음식점,육대장,이찬욱,경기도 포천시 소흘읍 호국로 241,경기도 포천시 소흘읍 이동교리 392번지 13호  
일반음식점,신미양꼬치,PIAO XIANGZI,경기도 포천시 소흘읍 봉솔로3길 9,경기도 포천시 소흘읍 송우리 154번지  
일반음식점,로즈시크렛,길나혜,경기도 포천시 일동면 화동로1043번길 2-3,경기도 포천시 일동면 기산리 90번지 119호  
일반음식점,목포해물탕,이수경,경기도 포천시 중앙로98번길 6 (신읍동),경기도 포천시 신읍동 33번지 6호  
일반음식점,대박야식,최장숙,경기도 포천시 중앙로98번길 3-2 (신읍동),경기도 포천시 신읍동 33번지 21호  
일반음식점,동진식당,김연자,경기도 포천시 중앙로141번길 8 (신읍동),경기도 포천시 신읍동 192번지 45호  
일반음식점,치어스어게인,이연옥,경기도 포천시 포천로 1584 (신읍동),경기도 포천시 신읍동 191번지 46호  
일반음식점,먹고나식당,배상학,경기도 포천시 화합로 271 (동교동),경기도 포천시 동교동 499번지 46호  
일반음식점,맛고을,김명자, ,경기도 포천시 어룡동 297번지  
일반음식점,몽중몽,현부수,경기도 포천시 호국로 997 (선단동),경기도 포천시 선단동 52번지 1호  
일반음식점,명성가든,박학수,경기도 포천시 호국로929번길 132 (선단동),경기도 포천시 선단동 858번지 1호  
일반음식점,만인의집,박정옥,경기도 포천시 원앙로31번길 8-9 (신읍동),경기도 포천시 신읍동 167번지 31호  
일반음식점,고향식당,김미순,경기도 포천시 신읍길 27 (신읍동),경기도 포천시 신읍동 127번지 11호  
일반음식점,김밥나라,김병철,경기도 포천시 중앙로 101-1 (신읍동),경기도 포천시 신읍동 35번지 14호  
일반음식점,송지아구찜,류재옥,경기도 포천시 포천로 1603 (신읍동),경기도 포천시 신읍동 178번지 20호  
일반음식점,퀸즈(Queen's),유명숙,경기도 포천시 중앙로110번길 6-1 (신읍동),경기도 포천시 신읍동 23번지 4호  
