도서관명,웹사이트주소(URL),도서관도로명주소,도로명지번주소,인기도서목록(30개),전화번호,데이터기준일
포천시립중앙도서관,lib.pocheon.go.kr/center,경기도 포천시 신북면 중앙로207번길 26,경기도 포천시 신북면 가채리 770,오늘은 이만 좀 쉴게요,031-538-3911,2020-06-30
포천시립중앙도서관,lib.pocheon.go.kr/center,경기도 포천시 신북면 중앙로207번길 26,경기도 포천시 신북면 가채리 770,(설민석의)세계사 대모험 3.독일편-전쟁과 평화,031-538-3911,2020-06-30
포천시립중앙도서관,lib.pocheon.go.kr/center,경기도 포천시 신북면 중앙로207번길 26,경기도 포천시 신북면 가채리 770,타인의 해석,031-538-3911,2020-06-30
포천시립중앙도서관,lib.pocheon.go.kr/center,경기도 포천시 신북면 중앙로207번길 26,경기도 포천시 신북면 가채리 770,(설민석의)한국사 대모험 13.,031-538-3911,2020-06-30
포천시립중앙도서관,lib.pocheon.go.kr/center,경기도 포천시 신북면 중앙로207번길 26,경기도 포천시 신북면 가채리 770,넛지,031-538-3911,2020-06-30
포천시립중앙도서관,lib.pocheon.go.kr/center,경기도 포천시 신북면 중앙로207번길 26,경기도 포천시 신북면 가채리 770,스무고개 탐정 11. 탐정대회 2부,031-538-3911,2020-06-30
포천시립소흘도서관,lib.pocheon.go.kr/sh,경기도 포천시 소흘읍 송우로 101-29,경기도 포천시 소흘읍 송우리 728-7,나는 개다,031-538-3951,2020-06-30
포천시립소흘도서관,lib.pocheon.go.kr/sh,경기도 포천시 소흘읍 송우로 101-29,경기도 포천시 소흘읍 송우리 728-7,당신이 옳다,031-538-3951,2020-06-30
포천시립소흘도서관,lib.pocheon.go.kr/sh,경기도 포천시 소흘읍 송우로 101-29,경기도 포천시 소흘읍 송우리 728-7,신통방통 홈쇼핑,031-538-3951,2020-06-30
포천시립소흘도서관,lib.pocheon.go.kr/sh,경기도 포천시 소흘읍 송우로 101-29,경기도 포천시 소흘읍 송우리 728-7,페인트,031-538-3951,2020-06-30
포천시립소흘도서관,lib.pocheon.go.kr/sh,경기도 포천시 소흘읍 송우로 101-29,경기도 포천시 소흘읍 송우리 728-7,쿠키런 서바이벌 대작전 1.정글편,031-538-3951,2020-06-30
포천시립소흘도서관,lib.pocheon.go.kr/sh,경기도 포천시 소흘읍 송우로 101-29,경기도 포천시 소흘읍 송우리 728-7,그냥 다니는 거지 뭐: 버티는 직장인을 위한 블랙힐링코미디,031-538-3951,2020-06-30
포천시립가산도서관,lib.pocheon.go.kr/gs,경기도 포천시 가산면 선마로 223,경기도 포천시 가산면 마산리 601-1,멈추면 비로소 보이는 것들,031-538-3981,2020-06-30
포천시립가산도서관,lib.pocheon.go.kr/gs,경기도 포천시 가산면 선마로 223,경기도 포천시 가산면 마산리 601-1,검은바다: 강제징용자의 눈물,031-538-3981,2020-06-30
포천시립가산도서관,lib.pocheon.go.kr/gs,경기도 포천시 가산면 선마로 223,경기도 포천시 가산면 마산리 601-1,(엑셀을 활용한) 데이터 과학 실무 입문,031-538-3981,2020-06-30
포천시립가산도서관,lib.pocheon.go.kr/gs,경기도 포천시 가산면 선마로 223,경기도 포천시 가산면 마산리 601-1,한밤중 톰의 정원에서,031-538-3981,2020-06-30
포천시립가산도서관,lib.pocheon.go.kr/gs,경기도 포천시 가산면 선마로 223,경기도 포천시 가산면 마산리 601-1,연필의 101가지 사용법,031-538-3981,2020-06-30
포천시립가산도서관,lib.pocheon.go.kr/gs,경기도 포천시 가산면 선마로 223,경기도 포천시 가산면 마산리 601-1,행복한 의자나무,031-538-3981,2020-06-30
포천시립일동도서관,lib.pocheon.go.kr/id,경기도 포천시 일동면 화동로 1021,경기도 포천시 일동면 기산리 284-3,직지,031-538-3931,2020-06-30
포천시립일동도서관,lib.pocheon.go.kr/id,경기도 포천시 일동면 화동로 1021,경기도 포천시 일동면 기산리 284-3,무엇이든 해결단 허팝연구소 5.,031-538-3931,2020-06-30
포천시립일동도서관,lib.pocheon.go.kr/id,경기도 포천시 일동면 화동로 1021,경기도 포천시 일동면 기산리 284-3,트렌드 코리아 2020,031-538-3931,2020-06-30
포천시립일동도서관,lib.pocheon.go.kr/id,경기도 포천시 일동면 화동로 1021,경기도 포천시 일동면 기산리 284-3,설민석의 한국사 대모험,031-538-3931,2020-06-30
포천시립일동도서관,lib.pocheon.go.kr/id,경기도 포천시 일동면 화동로 1021,경기도 포천시 일동면 기산리 284-3,에이트: 인공지능에 대체되지 않는 나를 만드는 법,031-538-3931,2020-06-30
포천시립일동도서관,lib.pocheon.go.kr/id,경기도 포천시 일동면 화동로 1021,경기도 포천시 일동면 기산리 284-3,GOGO 카카오 프렌즈 10. 이집트,031-538-3931,2020-06-30
포천시립영북도서관,lib.pocheon.go.kr/yb,경기도 포천시 영북면 운천안길 3,경기도 포천시 영북면 운천리 540-2,아리랑 6. 제2부 민족혼,031-538-3971,2020-06-30
포천시립영중도서관,lib.pocheon.go.kr/yj,경기도 포천시 영중면 양문로 151,경기도 포천시 영중면 양문리 833-2,기사단장 죽이기,031-538-3941,2020-06-30
포천시립영중도서관,lib.pocheon.go.kr/yj,경기도 포천시 영중면 양문로 151,경기도 포천시 영중면 양문리 833-2,꼬무리별이 이야기,031-538-3941,2020-06-30
