업종명,업소명,소재지(도로명),소재지전화
일반음식점,아모르,경기도 하남시 미사대로 953 (배알미동), 031- 794-7773
일반음식점,왕대구뽈찜,경기도 하남시 신장1로 6 (신장동), 031- 796-3773
일반음식점,느티나무집,경기도 하남시 아랫배알미길 64-11 (배알미동), 031- 793-5020
일반음식점,감골집,"경기도 하남시 아랫배알미길 78-5, 1층 (배알미동)", 031- 792-4908
일반음식점,터줏대감,"경기도 하남시 초이로160번길 21, 1층 (초이동)",02  - 427-1588
일반음식점,베네치아,경기도 하남시 미사대로 925 (배알미동), 031- 791-6364
일반음식점,털보집,"경기도 하남시 검단산로 377, 1층 (창우동)", 031- 792-3815
일반음식점,금단가든,"경기도 하남시 윗배알미길 129-35, 1층 (배알미동)", 031- 793-5262
일반음식점,구좌리 얼크니 손칼국수,경기도 하남시 아랫배알미길 50 (배알미동), 031- 793-5232
일반음식점,(주)기와집,경기도 하남시 윗배알미길 223 (배알미동), 031- 793-0838
일반음식점,미사반점,"경기도 하남시 미사강변중앙로204번길 45, 성산타워플러스 1층 107,108호 (망월동)",  02-0323-6933
일반음식점,배알미 63,"경기도 하남시 아랫배알미길 42, 1층 (배알미동)", 031- 793-5022
일반음식점,마방집,"경기도 하남시 하남대로 674, 1층 (천현동)",031 -791 -0011
일반음식점,손가네,경기도 하남시 아랫배알미길 58 (배알미동),031 -792 -2193
일반음식점,풍년식당,"경기도 하남시 조정대로 34-1, 1층 (풍산동)", 031- 792-4575
일반음식점,서부음식점,"경기도 하남시 초이로160번길 25, 1층 (초이동)",02  -429 -0977
일반음식점,초이반점,"경기도 하남시 초이로160번길 6, 1층 (초이동)",02  -426 -3554
일반음식점,장수족발,"경기도 하남시 신평로67번길 5 (신장동,(1층))", 031- 792-3151
일반음식점,Top 고추장찌개,"경기도 하남시 신장로136번길 8, 1층 (덕풍동)",031 -793 -5767
일반음식점,공주식당,"경기도 하남시 신장로178번길 5-4 (덕풍동,(1층))",031 -791 -1797
일반음식점,(주)아워홈 캐슬렉스하남 G.C점(클럽하우스),"경기도 하남시 감이로 317, 1층 (감이동)",  02- 480-5642
일반음식점,소문난손칼국수집,"경기도 하남시 하남대로801번길 58 (신장동,(1층))",031 -795 -6200
일반음식점,송도아구탕,"경기도 하남시 대성로319번길 13 (덕풍동,(1층))",031 -794 -9977
일반음식점,이정수치킨전문점,"경기도 하남시 신장로 167 (덕풍동,(1층))", 031- 793-8866
일반음식점,사카,"경기도 하남시 신장로 127 (덕풍동,(2층))", 031- 791-9420
일반음식점,辛 쭈꾸미,"경기도 하남시 신평로55번길 7, 1층 (신장동)",031 -792 -4763
일반음식점,장다리 한우마당,"경기도 하남시 아랫배알미길 70, 1층 (배알미동)",031 -794 -3023
일반음식점,신장페리카나치킨,"경기도 하남시 하남대로787번길 31 (신장동,(1층))",031 -794 -3033
일반음식점,솥뚜껑삼겹살,"경기도 하남시 신장로 172 (덕풍동,(외 1필지) 1층)",031 -794 -1417
일반음식점,어부,"경기도 하남시 신장로136번길 12 (덕풍동,(1층))", 031- 792-9786
일반음식점,천하불닭발,"경기도 하남시 신평로55번길 13 (덕풍동,(1층))", 031- 791-6005
일반음식점,강동복집,"경기도 하남시 조정대로 150 (덕풍동,아이테코 지하1층 RB113,114호)", 031-790 -4111
일반음식점,새말집,"경기도 하남시 수리북로34번길 8 (덕풍동,(1층))",031 -793 -3781
일반음식점,대가족발,"경기도 하남시 신장로 97, 1층 (신장동)",031 -791 -3043
일반음식점,풍전호프,"경기도 하남시 대성로319번길 8-1 (덕풍동,(1층))",031 -793 -5761
일반음식점,맥코이치킨,"경기도 하남시 신평로 82 (신장동,(1층))",031 -793 -8646
일반음식점,물레방아,"경기도 하남시 고골로 413 (상사창동,(1층))", 031- 793-6217
일반음식점,고골산장,"경기도 하남시 고골로 405 (상사창동,(1층))", 031- 793-7601
일반음식점,하남집클라쓰,"경기도 하남시 대성로319번길 22 (덕풍동,(1층))",031 -791 -5105
일반음식점,은행나무집,"경기도 하남시 고골로 98, 1층 (하사창동)",031 -791 -8895
일반음식점,쭈꾸미사랑,"경기도 하남시 신평로55번길 22, 1층 (덕풍동)",031 -793 -6460
일반음식점,호프하우스,"경기도 하남시 신장1로9번길 47 (신장동,,430-118(1층))", 031- 793-1182
일반음식점,덕풍아구찜,"경기도 하남시 하남대로855번길 55 (덕풍동,(1층))", 031- 794-1227
일반음식점,청춘시대,"경기도 하남시 신장로136번길 18 (덕풍동,(1층))", 031- 793-3458
일반음식점,커맥하우스,"경기도 하남시 신장1로3번길 32 (신장동,(1층))",031 -792 -8231
