"상호명","주소","전화번호","가격","업종"
"미스터헤어컷","경기도 하남시 신장로 104","031-795-8559","남성컷 8,000원","이미용"
"나이스가이","경기도 하남시 대청로 32","031-792-0119","남성컷 7,000원","이미용"
"젠틀맨","경기도 하남시 대성로116번길 59-3","031-796-8266","남성컷 9,000원","이미용"
"싸닭","경기도 하남시 하남대로 847","031-792-8255","튀김닭 11,000원","기타"
"왕솥뚜껑흑돼지","경기도 하남시 신평로 69","031-791-6525","고추장삼겹살 12,000원","한식"
"팔미원","경기도 하남시 신장로 15번길 74","031-796-5654","짜장면 3,500원","중식"
"황토가마숯불고기","경기도 하남시 검단산로 211","031-793-7400","칼국수+고기 7,000원","한식"
"국수마을","경기도 하남시 수리북로 34번길 3","031-793-8254","멸치국수 4,000원","한식"
"육쌈냉면하남점","경기도 하남시 신평로 62","031-792-6392","냉면+숯불고기 7,000원","한식"
"두메촌 갈비","경기도 하남시 천현로 35","031-796-4246","돼지갈비(600g) 33,000원","한식"
"풍성가든","경기도 하남시 감북로 47","02-482-1967","만둣국 6,000원","한식"
"홍가갈비","경기도 하남시 신장로 136번길 10","031-795-2644","왕갈비구이 12,000원","한식"
"아리수숯불갈비","경기도 하남시 대청로 9-17","031-792-8900","소갈비살(600g) 30,000원","한식"
"숯불구이근고기","경기도 하남시 대청로 59번길 46","031-793-5889","삼겹살(600g) 26,000원","한식"
"이도수2마리치킨","경기도 하남시 하남대로 791","031-791-1441","튀김닭 두마리 16,000원","기타"
"투가리","경기도 하남시 신평로 80","070-7566-2810","콩나물해장국 3,000원","한식"
