업종,상호,소재지(지번),소재지(도로명),관리기관,데이터기준일자
관광펜션업,바다뜰이야기펜션,경기도 화성시 서신면 제부리 40-1번지 ,경기도 화성시 서신면 해안길 96-19,관광진흥과,2020-06-24
관광펜션업,다소니펜션,경기도 화성시 서신면 제부리 10-20 ,경기도 화성시 서신면 해안길442번길 62-6,관광진흥과,2020-06-24
관광펜션업,수에뇨펜션,경기도 화성시 서신면 제부리 270-8 ,경기도 화성시 서신면 해안길 377,관광진흥과,2020-06-24
관광펜션업,미고펜션,경기도 화성시 서신면 제부리 103번지 ,경기도 화성시 서신면 해안길178번길 48-7,관광진흥과,2020-06-24
관광펜션업,초원펜션,경기도 화성시 서신면 제부리 40-5 ,경기도 화성시 서신면 해안길 96-1,관광진흥과,2020-06-24
관광펜션업,리베펜션,경기도 화성시 서신면 제부리 187번지 (및 187-2번지) ,경기도 화성시 서신면 해안길178번길 72 (및 해안길 178번길 74),관광진흥과,2020-06-24
관광펜션업,해송펜션,경기도 화성시 서신면 제부리 41-1번지 ,경기도 화성시 서신면 해안길 116-7,관광진흥과,2020-06-24
관광펜션업,동미산펜션,경기도 화성시 서신면 제부리 76번지 ,경기도 화성시 서신면 제부말길 165,관광진흥과,2020-06-24
관광펜션업,테라스의 아침펜션,경기도 화성시 서신면 제부리 288-58번지 외 제부리 288-100 ,경기도 화성시 서신면 해안길 412-13 (외 1 (해안길 412-19)),관광진흥과,2020-06-24
관광펜션업,나무향기펜션2,경기도 화성시 서신면 제부리 288-12번지 ,경기도 화성시 서신면 해안길 412-10,관광진흥과,2020-06-24
관광펜션업,연리지펜션,경기도 화성시 서신면 제부리 42-15번지 ,경기도 화성시 서신면 해안길 150,관광진흥과,2020-06-24
관광펜션업,좋은이웃펜션,경기도 화성시 서신면 제부리 96번지 ,경기도 화성시 서신면 해안길178번길 40,관광진흥과,2020-06-24
관광펜션업,애플펜션,경기도 화성시 서신면 제부리 102번지 ,경기도 화성시 서신면 해안길178번길 50,관광진흥과,2020-06-24
관광펜션업,휴콘도,경기도 화성시 서신면 제부리 190-191번지 ,경기도 화성시 서신면 해안길 272,관광진흥과,2020-06-24
관광펜션업,블루하우스,경기도 화성시 서신면 제부리 190-101번지 ,경기도 화성시 서신면 해안길 246-10,관광진흥과,2020-06-24
관광펜션업,섬마을콘도민박,경기도 화성시 서신면 제부리 198-6번지 ,경기도 화성시 서신면 해안길178번길 96,관광진흥과,2020-06-24
관광펜션업,오브레펜션(카사),경기도 화성시 서신면 제부리 288-106번지 ,경기도 화성시 서신면 해안길 391,관광진흥과,2020-06-24
관광펜션업,오브레펜션(팔라디오),경기도 화성시 서신면 제부리 288-121번지 ,경기도 화성시 서신면 해안길 391-10,관광진흥과,2020-06-24
관광펜션업,펜션캐빈,경기도 화성시 서신면 제부리 186-1번지 ,경기도 화성시 서신면 해안길178번길 70,관광진흥과,2020-06-24
관광펜션업,레인보우펜션,경기도 화성시 서신면 제부리 40-8번지 ,경기도 화성시 서신면 해안길 102-4,관광진흥과,2020-06-24
관광펜션업,바다향기펜션,경기도 화성시 서신면 제부리 42-7번지 ,경기도 화성시 서신면 해안길 144,관광진흥과,2020-06-24
관광펜션업,인디고펜션,경기도 화성시 서신면 제부리 120번지 ,"경기도 화성시 서신면 해안길178번길 70-12, 1, 2동",관광진흥과,2020-06-24
관광펜션업,프리마베라펜션,경기도 화성시 서신면 제부리 270-6번지 ,"경기도 화성시 서신면 해안길 381, B동 1층",관광진흥과,2020-06-24
관광펜션업,작은섬 2,경기도 화성시 서신면 제부리 190-81번지 ,경기도 화성시 서신면 해안길178번길 57,관광진흥과,2020-06-24
관광펜션업,작은섬 1,경기도 화성시 서신면 제부리 190-81번지 ,경기도 화성시 서신면 해안길178번길 57,관광진흥과,2020-06-24
관광펜션업,솔잎펜션 2,경기도 화성시 서신면 제부리 10-2번지 ,"경기도 화성시 서신면 해안길442번길 52, 1층",관광진흥과,2020-06-24
관광펜션업,솔잎펜션 1,경기도 화성시 서신면 제부리 10-25번지 ,경기도 화성시 서신면 해안길442번길 46,관광진흥과,2020-06-24
관광펜션업,디앤와이펜션,경기도 화성시 서신면 제부리 40-14번지 ,"경기도 화성시 서신면 해안길 114, 1동 1, 2, 3층",관광진흥과,2020-06-24
관광펜션업,갯벌펜션(민박),경기도 화성시 서신면 제부리 40-13번지 ,경기도 화성시 서신면 해안길 116-6,관광진흥과,2020-06-24
관광펜션업,양지팬션,경기도 화성시 서신면 제부리 290-1번지 ,경기도 화성시 서신면 해안길 353-6 (제부리 209-41),관광진흥과,2020-06-24
관광펜션업,양지리조텔,경기도 화성시 서신면 제부리 290-1번지 ,경기도 화성시 서신면 해안길 353-6 (제부리 290-1),관광진흥과,2020-06-24
관광펜션업,토닥토닥,경기도 화성시 서신면 제부리 95번지 ,"경기도 화성시 서신면 해안길178번길 48-6, 1층",관광진흥과,2020-06-24
관광펜션업,나그랑펜션,경기도 화성시 서신면 제부리 190-95번지 ,경기도 화성시 서신면 해안길 246-3,관광진흥과,2020-06-24
관광펜션업,올레펜션,경기도 화성시 서신면 제부리 198-5번지 ,경기도 화성시 서신면 해안길178번길 88,관광진흥과,2020-06-24
