어린이집,도로명 주소,위도,경도,전화번호,관리기관,연장 보육반 설치 현황,데이터기준일자
옹달샘어린이집,"경기도 화성시 동탄순환대로26길 81 458동 103호(영천동, 동탄 행복마을 푸르지오)",37.2118394,127.1212053,031-373-7551,화성시 아동보육과,N,2020-03-27
하랑어린이집,경기도 화성시 동탄대로12길 71 1841동 103호,37.18140013,127.1104747,031-375-9572,화성시 아동보육과,N,2020-03-27
조이풀어린이집,경기도 화성시 남양읍 남양천로 17 301동 101호,37.20862801,126.8201173,031-355-9561,화성시 아동보육과,N,2020-03-27
사랑나무어린이집,"경기도 화성시 동탄대로12길 71 1847동 104호(오산동, 센트럴힐즈 동탄)",37.18113404,127.1117941,031-372-0288,화성시 아동보육과,N,2020-03-27
감람나무어린이집,"경기도 화성시 동탄순환대로20길 31 2102동 101호(목동,e편한세상동탄)",37.1904327,127.1274303,070-7503-3591,화성시 아동보육과,N,2020-03-27
부영나래어린이집,경기도 화성시 향남읍 하길로 69 906동104호(향남오색마을사랑으로부영),37.11237584,126.9182815,031-352-3074,화성시 아동보육과,N,2020-03-27
대방숲속어린이집,경기도 화성시 수노을1로 108 303동 104호,37.28734104,126.8176498,031-357-2156,화성시 아동보육과,Y,2020-03-27
키움어린이집,경기도 화성시 봉담읍 상리1길 127 101동 105호,37.22900068,126.9409806,031-298-6888,화성시 아동보육과,N,2020-03-27
금강키즈어린이집,경기도 화성시 수노을1로 192 708동 104호,37.28489071,126.8210337,031-355-7055,화성시 아동보육과,Y,2020-03-27
아이원어린이집,"경기도 화성시 동탄대로1길 20 2911동 104호(장지동, 풍림아이원)",37.16088716,127.1032705,031-8058-3392,화성시 아동보육과,N,2020-03-27
금강사랑숲어린이집,경기도 화성시 수노을1로 192 금강펜테리움 센트럴파크 705동 103호,37.2834255,126.8201669,031-355-1397,화성시 아동보육과,N,2020-03-27
나래키즈어린이집,경기도 화성시 봉담읍 상리1길 127 107동 105호,37.22854237,126.9412771,031-203-8070,화성시 아동보육과,N,2020-03-27
별초롱어린이집,"경기도 화성시 동탄순환대로7길 21 3006동 101호(산척동, 더레이크시티부영4단지)",37.16756112,127.1097572,031-372-2550,화성시 아동보육과,N,2020-03-27
네잎클로바어린이집,경기도 화성시 남양읍 남양로786번길 15 1006동110호,37.20634724,126.8343596,031-8058-0129,화성시 아동보육과,N,2020-03-27
대방아이나라어린이집,경기도 화성시 수노을1로 107 대방2차아파트 205동 104호,37.28920908,126.8180278,031-357-6679,화성시 아동보육과,Y,2020-03-27
대방다둥어린이집,경기도 화성시 수노을1로 108 309동 101호,37.28924477,126.8164029,031-355-9828,화성시 아동보육과,Y,2020-03-27
파크천사어린이집,"경기도 화성시 동탄대로24가길 30 136동 104호(영천동, 엘에이치동탄파크퍼스트리움)",37.21548643,127.114481,031-373-7493,화성시 아동보육과,N,2020-03-27
