상영관명,상영관소재지(지번),상영관소재지(도로명),연락처,관리기관,데이터기준일자
롯데시네마 병점관,경기도 화성시 병점동 844-1번지 씨네샤르망 ,"경기도 화성시 효행로 1052, 씨네샤르망 (병점동)",070-7425-5743,문화예술과,2020-06-16
롯데시네마 병점관,경기도 화성시 병점동 844-1번지 씨네샤르망 ,"경기도 화성시 효행로 1052, 씨네샤르망 (병점동)",,문화예술과,2020-06-16
롯데시네마 병점관,경기도 화성시 병점동 844-1번지 씨네샤르망 ,"경기도 화성시 효행로 1052, 씨네샤르망 (병점동)",,문화예술과,2020-06-16
롯데시네마 병점관,경기도 화성시 병점동 844-1번지 씨네샤르망 ,"경기도 화성시 효행로 1052, 씨네샤르망 (병점동)",,문화예술과,2020-06-16
롯데시네마 병점관,경기도 화성시 병점동 844-1번지 씨네샤르망 ,"경기도 화성시 효행로 1052, 씨네샤르망 (병점동)",,문화예술과,2020-06-16
롯데시네마 병점관,경기도 화성시 병점동 844-1번지 씨네샤르망 ,"경기도 화성시 효행로 1052, 씨네샤르망 (병점동)",,문화예술과,2020-06-16
롯데시네마 병점관,경기도 화성시 병점동 844-1번지 씨네샤르망 ,"경기도 화성시 효행로 1052, 씨네샤르망 (병점동)",,문화예술과,2020-06-16
롯데시네마 병점관,경기도 화성시 병점동 844-1번지 씨네샤르망 ,"경기도 화성시 효행로 1052, 씨네샤르망 (병점동)",,문화예술과,2020-06-16
메가박스 동탄 1관,경기도 화성시 반송동 93-2번지 ,경기도 화성시 동탄지성로 11 (반송동),031-613-9161,문화예술과,2020-06-16
메가박스 동탄 2관,경기도 화성시 반송동 93-2번지 ,경기도 화성시 동탄지성로 11 (반송동),031-613-9161,문화예술과,2020-06-16
메가박스 동탄 3관,경기도 화성시 반송동 93-2번지 ,경기도 화성시 동탄지성로 11 (반송동),031-613-9161,문화예술과,2020-06-16
메가박스 동탄 4관,경기도 화성시 반송동 93-2번지 ,경기도 화성시 동탄지성로 11 (반송동),031-613-9161,문화예술과,2020-06-16
메가박스 동탄 5관,경기도 화성시 반송동 93-2번지 ,경기도 화성시 동탄지성로 11 (반송동),031-613-9161,문화예술과,2020-06-16
메가박스 동탄 6관,경기도 화성시 반송동 93-2번지 ,경기도 화성시 동탄지성로 11 (반송동),031-613-9161,문화예술과,2020-06-16
메가박스 동탄 7관,경기도 화성시 반송동 93-2번지 ,경기도 화성시 동탄지성로 11 (반송동),031-613-9161,문화예술과,2020-06-16
메가박스 동탄 8관,경기도 화성시 반송동 93-2번지 ,경기도 화성시 동탄지성로 11 (반송동),031-613-9161,문화예술과,2020-06-16
CGV 동탄 1관,경기도 화성시 반송동 96번지 메타폴리스 A동 ,"경기도 화성시 동탄중앙로 220, A동 (반송동,메타폴리스)",03180155022,문화예술과,2020-06-16
CGV 동탄 2관,경기도 화성시 반송동 96번지 메타폴리스 A동 ,"경기도 화성시 동탄중앙로 220, A동 (반송동,메타폴리스)",,문화예술과,2020-06-16
CGV 동탄 3관,경기도 화성시 반송동 96번지 메타폴리스 A동 ,"경기도 화성시 동탄중앙로 220, A동 (반송동,메타폴리스)",,문화예술과,2020-06-16
CGV 동탄 4관,경기도 화성시 반송동 96번지 메타폴리스 A동 ,"경기도 화성시 동탄중앙로 220, A동 (반송동,메타폴리스)",,문화예술과,2020-06-16
CGV 동탄 5관,경기도 화성시 반송동 96번지 메타폴리스 A동 ,"경기도 화성시 동탄중앙로 220, A동 (반송동,메타폴리스)",,문화예술과,2020-06-16
CGV 동탄 6관,경기도 화성시 반송동 96번지 메타폴리스 A동 ,"경기도 화성시 동탄중앙로 220, A동 (반송동,메타폴리스)",,문화예술과,2020-06-16
CGV 동탄 7관,경기도 화성시 반송동 96번지 메타폴리스 A동 ,"경기도 화성시 동탄중앙로 220, A동 (반송동,메타폴리스)",,문화예술과,2020-06-16
CGV 동탄 8관,경기도 화성시 반송동 96번지 메타폴리스 A동 ,"경기도 화성시 동탄중앙로 220, A동 (반송동,메타폴리스)",,문화예술과,2020-06-16
롯데시네마 향남(제1관),경기도 화성시 향남읍 하길리 1470-2번지 ,"경기도 화성시 향남읍 상신하길로298번길 7-21, 7층",070-4423-7181,문화예술과,2020-06-16
